,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Ночник,"Материал: резина
Размер: 9.4*7.6*12.3 см
Работает от батареек",3500,"3,1","268,05 ₽",45-50 календ дней,1800,"Фото 1-2 календ дней

Доставка 10-12 календ дней",
,Ночник,"Материал: резина
Размер: 8.7*8*7.5 см
Работает от батареек",3500,"2,5","211,32 ₽",45-50 календ дней,1800,"Фото 1-2 календ дней

Доставка 10-12 календ дней",
,Селфи-лампа,"Материал: PP
Размер: 80 х 30 мм
Зарядка черех USB micro",3500,"1,6","139,62 ₽",37-42 календ дня,1700,"Фото 10 календ дней

Доставка 10-12 календ дней",
,"Карандаши
","Длинные
Длина тубуса 19,7 см Диаметр тубуса 3,4 см Длина карандаша 17,5 см   
Наклейка на тубус
Тубус полностью картонный",3500,"1,88","161,13",45-50 календ дней,3200,"Фото 3-5 календ дней

Доставка 10-12 календ дней",
,Йо-йо,"Материал: пластик
Диаметр: 5,5 см
без лэд  Прозрачн корпус+запечатка
Печать либо наклейка с двух сторон",3500,"7,65","700,33",50-60 календ дней,"111653,55","15 кд - фото+видео
+10-12 кд - доставка",
,,"Материал: пластик
Диаметр: 5,5 см
без лэд  выкрас корпуса+запечатка 
Печать либо наклейка с двух сторон",,"7,96","728,67",,,,
,,"Материал: пластик
Диаметр: 5,5 см
с лэд  Прозрачн корпус+запечатка
Печать либо наклейка с двух сторон",,"8,27","757,01",,,,
,,"Материал: пластик
Диаметр: 5,5 см
с лэд  выкрас корпуса+запечатка
Печать либо наклейка с двух сторон ",,"8,58","785,35",,,,
,Йо-йо,"Материал: пластик
Диаметр: 5,5 см
без лэд/ с лэд",3500,"4,87","445,25",37-42 календ дня,1700,"
Доставка 10-12 календ дней",
,Калейдоскоп,"Материал: картон
Размер: 19*4.3CM

Кастом: отсутствует (доступна полная запечатка по макету клиента)",3400,"1,65","150,60 ₽",39-44 календ. дн.,1900,"Фото 1-2 календ дней

Доставка 10-12 календ дней",
