,"Менеджер: Добрынин Павел
Email: paveld@megamind.ru
Телефон: 
",,,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,Образец не включен в стоимость тиража,,
Фото,Наименование,Ссылка,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Образец,,Доп. фото
,,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Портплед,https://detail.1688.com/offer/703213162479.html?spm=a26352.b28411319.offerlist.23.3ebb1e62m8Z4MZ,"Материал: Натуральная кожа
Размер: 60*100 см
Упаковка: опп-пакет
", Дизайн: слепое тиснение,100,"276,70","27 725,76",45-50,39 100,"Фото - 10
Доставка - 12-13",
,,,,,,,,,,,
 ,Косметичка,https://detail.1688.com/offer/840224431326.html,"Материал: PU
Размер: 26*23*13.5cm
Упаковка: opp
Примечание от фабрики: сумка разделенна внутри пополам отсеком-карманом,  с одной стороны два дополнительных кармана , с другой один. сверху имееится ручка",Дизайн: Тиснение,300,"8,45","878,67",38-43,"11 500,00","Фото - 13
Доставка - 13-15",
,,,,,400,"8,2","852,91",38-43,,,
 ,Косметичка https://detail.1688.com/offer/825935770072.html,https://detail.1688.com/offer/825935770072.html,"Материал: PU
Размер: 12*26,5*12.5cm
Упаковка: opp
Примечание от фабрики: сумка разделенна внутри пополам отсеком-карманом,  с одной стороны два дополнительных кармана , с другой один. сверху имееится ручка",Дизайн: Тиснение,300,"5,9","626,17",40-45,"11 400,00","Фото - 13
Доставка - 13-15",
,,,,,400,"5,85","624,75",40-45,,,
 ,Набор: шёлковый платок + коробка,https://detail.1688.com/offer/655313569989.html?spm=a26352.b28411319.offerlist.38.4f751e6279fSR0&cosite=-&tracelog=p4p&_p_isad=1&clickid=a15114d63c97455d8a09f0da192435e2&sessionid=7b165cf55b1a900c7d3e36492c1201c5,"Материал: натуральный шёлк
Размер: платка - 85*85см; коробки - 26*26*2см
Примечание от фабрики: возможные варианты цветов коробки - чёрный, белый, синий; платка - см. в доп. фото","Дизайн: лого клиента могут нанести на коробку (тиснение с позолотой или серебром), либо  пришить с помощью этикетки на сам платок",400,"32,85","3291,41",Производство 25-30 Доставка 25-30,"21 900,00","Фото 5-7
Доставка 13-15",
,,,,,,,,,,,
 ,Портплед,https://detail.1688.com/offer/601493869662.html?spm=a26352.b28411319.offerlist.11.3ebb1e62m8Z4MZ,"Материал: PU
Размер: 60*100 см
Упаковка: опп-пакет
",Дизайн: слепое тиснение,100,"44,37","4 445,60",47-52,"18 503,56","Фото 7
Доставка 12-13",
,,,,,,,,,,,
,Шкатулка-кошелек,https://detail.1688.com/offer/669513565334.html?spm=a26352.23971191.offerlist.3.11731e62SQrz4u,"Материал: PU
Размер: 30.5*20.5cm
Упаковка: opp
Примечание от фабрики: сумка разделенна внутри пополам отсеком на молнии ,  с одной стороны два отсек для сережек , с другой стороны отсек для колец",Дизайн: Тиснение,300,"11,2","1 162,60",50-60,"13 100,00","Фото 13
Доставка 20-21",
,,,,,400,"11,1","1 145,97",50-60,,,
,Бокс для украшений,https://detail.1688.com/offer/671639617853.html?share_token=LyqUsxIlPhQvrJGFkX/O1Nwmr19k6xukp6edWTgn19/WAmlUw63RAQ==&__share_id=81846ebc-bb5e-46dc-9a65-1ded9791ab55&rpg-cnt=share.offerDetail&offerId=671639617853&__zhi_token=qdyOftq00xgaz&spm=a262eq.8992535/20241125.5103953.0,"Материал: PU
Размер: 26cm*26cm*9cm
Упаковка: opp
Примечание от фабрики: в шкатулке есть отделения для колец , ожерелья, сережек , часов , браслетов и тд.В шкателке два этажа .",Дизайн: Тиснение от 800штук,300,"27,6","2 864,33",30-35,"9 500,00",Фото 3-4 дня Доставка 6-9 ,
,,,,,800( с лого ),"28,3","2 921,63",55-60,"23 200,00",Фото 16 дней Доставка 20-23,
 ,Косметичка ,https://detail.1688.com/offer/853050729736.html?spm=a26352.b28411319.offerlist.12.ddca1e62n7ZAPQ,"Материал: натуральная кожа
Размер: 210*140*140 мм
Примечание от фабрики: ",Дизайн: лого клиента,400,"61,94","6206,3",Производство 20-25 Доставка 25-30,"18 000,00","Фото 8-10
Доставка 13-15",
,,,,,,,,,,,
 ,Косметичка ,https://detail.1688.com/offer/575658966960.html?spm=a26352.b28411319.offerlist.6.4ddc1e62bd0JVK,"Материал: натуральная кожа
Размер: 205*130*70 мм
Примечание от фабрики: ",Дизайн: лого клиента,400,"38,16","3823,85",Производство 20-25 Доставка 25-30,"11 600,00","Фото 10-15
Доставка 13-15",
,,,,,,,,,,,
 ,Косметичка ,https://detail.1688.com/offer/826503200258.html?spm=a26352.b28411319.offerlist.20.277b1e62kbVM0k&cosite=-&tracelog=p4p&_p_isad=1&clickid=6fd6db1c81814271a442b41e7f71fc92&sessionid=cf349febf68fbc818d467b65ada05bcc,"Материал: натуральная кожа
Размер: 75*40*75 мм
Примечание от фабрики: ",Дизайн: лого клиента,400,"19,57","1961,12",Производство 20-25 Доставка 25-30,"11 400,00","Фото 8
Доставка 13-15",
