,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Баночка  500ml,"Материал:  pet, pp
Размер: 500ml
Упаковка: пакет 
Примечание от фабрики: ", Дизайн:   стикер с логотипом на бутылке  ,500,"1,8","149,4",45-50,"2,1","179,6",35-40,"1787,96 (стоковый образец)",2,12-14,
,,,,1000,"1,7","145,2",45-50,"2,1","175,4",35-40,,,,
,Баночка  1000ml,"Материал:  pet, pp
Размер: 1000ml
Упаковка: пакет 
Примечание от фабрики: ", Дизайн:   стикер с логотипом на бутылке  ,500,"2,3","192,0",45-50,"2,7","233,3",35-40,"1831,3 (стоковый образец)",2,12-14,
,,,,1000,"2,2","187,8",45-50,"2,7","229,1",35-40,,,,
,Баночка  500ml,"Материал:  pet, pp
Размер: 500ml
Упаковка: пакет 
Примечание от фабрики:  1000мл нет, лого от 1000шт", Дизайн:  без брендирования ,500,"1,6","135,7",45-50,"2,0","1167,3",35-40,"1675,73 (стоковый образец)",2,12-14,
,,, Дизайн: лого 1 цвет,1000,"1,7","147,2",45-50,"2,1","178,8",35-40,,,,
,Диспенсер 500ml,"Материал:  аллюминевая рамка, бутылка - HDPE
Размер: 500ml
Упаковка: фабричная коробка 
Примечание от фабрики:  ", Дизайн:   стикер с логотипом на бутылке  ,500,"16,3","1383,9",50-55,"19,1","1622,3",40-45,"3868,42  (стоковый образец)",2,12-14,
,,,,1000,"15,4","1307,6",50-55,"18,2","1546,0",40-45,,,,
,Баночка  500ml,"Материал:  pet, pp
Размер: 500ml
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:   шелкография 1 цвет ,1000,"1,5","128,2",50-55,"2,0","165,9",40-45,1900 (стоковый образец),2,12-14,
,,," Дизайн:  без брендирования ,",1000,"1,3","117,0",45-50,"1,6","154,8",35-40,,,,
,Баночка  500ml -длинная ,"Материал:  HDPE
Размер: 500ml
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:   шелкография 1 цвет ,1000,"1,9","149,3",50-55,"2,2","176,8",40-45,1900 (стоковый образец),2,12-14,
,,," Дизайн:  без брендирования ,",1000,"1,7","138,6",45-50,"2,0","166,1",35-40,,,,
,Баночка  500ml - короткая ,"Материал:  HDPE
Размер: 500ml
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:   шелкография 1 цвет ,1000,"2,3","179,7",50-55,"2,7","212,4",40-45,1900 (стоковый образец),2,12-14,
,,," Дизайн:  без брендирования ,",1000,"2,0","165,3",45-50,"2,4","197,9",35-40,,,,
