,,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Менеджер,Фото,Наименование,ТЗ клиента,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
Саша, ,"Набор «Учимся считать»","Деревянный набор для тех, кто учится считать. 
В набор входят деревянные подставка, цифры, пинцет и шарики. Материал: дерево. Размеры: 
28 х 10 см. 

Возможности персонализации: нанесением логотипа при помощи шелкографии либо 
при помощи лазерной печати 
","Материал: дерево
Размер: 30.5*11.5*5cm
Упаковка: коробка
Примечание от фабрики: ", Дизайн: сток,200,"30,0","2549,3",509852,35-40,"32,1","2725,9",545180,25-30,4 371,2,12-14,
,,,,,,,,,,,,,,,,,,
Саша, ,"Набор «Учимся считать»","Деревянный набор для тех, кто учится считать. 
В набор входят деревянные подставка, цифры, пинцет и шарики. Материал: дерево. Размеры: 
28 х 10 см. 

Возможности персонализации: нанесением логотипа при помощи шелкографии либо 
при помощи лазерной печати 
","Материал: дерево
Размер: 32*20.5*4.5cm
Упаковка: коробка
Примечание от фабрики: ", Дизайн: сток,200,"13,7","1160,8",232168,35-40,"16,3","1383,4",276674,25-30,4 139,2,12-14,
,,,,,,,,,,,,,,,,,,
Света Л, ,Погремушка,"Погремушка из хлопка на буковом колечке
","Материал: дерево, органический хлопок
Размер: 70 мм
Упаковка: инд пакет
Примечание от фабрики: много стоковых форм", Дизайн: гравировка лого на ручке,200,"8,3","702,6",140520,45-50,"8,6","728,4",145680,35-40,2 250,6,16-18,
Саша, ,"Игрушка-шуршалка кошелек
","Мягкий котик-кошелёк. Помогает развивать координацию и мелкую моторику. 

Лапки двигаются, а ушки шуршат. В комплекте подвеска-грызунок и мягкая подвеска в виде мышки.","Материал: полиэстер; силикон; EVA
Размер: 12*13 cm
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: по запросу, производства с нуля",200,"9,9","844,6",168926,45-50,"9,8","832,0",166396,35-40,7 965,10,20-22,
,,,,,,,,,,,,,,,,,,
Света Л, ,"Тактильные развивающие игрушки","Набор из 6 разнофактурных шариков ярких цветов и размеров – функциональная развивающая забава для малыша. При сжатии, издают мягкий свистящий звук, не имеют встроенных пищалок.

Подходят для игр в воде. Во время веселых игр ребенок социализируется и учится усидчивости. Изготовлены из качественного и безопасного ПВХ-материала. 

Размер: 21,5 х 16,5 х 9,5 см. Индивидуальная упаковка: сетка + бирка. Подходят для самых маленьких. 
","Материал: ПВХ
Размер: упаковка 23 х 20.5 см
Упаковка: пакет с карточкой / коробка, сток
Примечание от фабрики: брендирование коробки от 3000 шт", Дизайн: сток,200,"8,4","712,5",142508,40-45,"9,1","770,4",154074,30-35,2 200,3,13-15,
Саша, ,"Набор «Космическое путешествие»","Ночник-проектор звёздного неба в форме астронавта. Работает от встроенного аккумулятора и USB-провода. ","Материал: ABS/PC/
Размер: 110*93*121mm
Упаковка: картонная 
Примечание от фабрики: 1200 mah", Дизайн: сток,300,"14,0","1191,8",357531,30-35,"15,2","1295,6",388686,20-25,2 820,3,13-15,
,,,,,,,,,,,,,,,,,,
Света Ч, ,"Умные восьмёрки","Комплект из трёх умных восьмёрок разного размера. Развивают координацию, улучшает внимание, зрительную и моторную реакцию, эмоциональную устойчивость. Материал: дерево. Восьмёрки можно брать с собой в поездки. 

Размеры: восьмёрка мини – 27 х 10 см, восьмёрка миди – 35 х 12 см, восьмёрка макси – 48 х 16 см.
Есть возможность брендирования 
по индивидуальному дизайну.  
","Материал: липа
Размер: 10*20 см
Упаковка: индивидуальная коробка
Примечание от фабрики: есть две модели, в комплекте 1 доска и 2 мячика"," Дизайн: нет, из наличия",300,"8,2","698,4",209517,40-45,"8,7","741,4",222432,30-35,1 800,2,12-14,
, ,Микроскоп,"Микроскоп с увеличением 1200х в кейсе. Поможет организовать собственную мини-лабораторию 
в собственном месте. 

В комплект входят все необходимые принадлежности для опытов юного биолога, а также 5 карточек 
с подробным описанием интересных опытов. 

Цвет: фиолетовый ","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,300,,,0,,,,0,,,,10-12,
,,,,,,,,,,,,,,,,,,
Арина, ,"Кружка с динозавром","Кружка с динозавриком на дне. Материал: керамика. Объём: 300 мл. 

Цвет: фиолетовый","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,300,,,0,,,,0,,,,10-12,
,,,,,,,,,,,,,,,,,,
