,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото,Крайняя дата заказа  тиража (АВИА доставка)
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",,
 ,Шоппер для раскрашивания ,"Материал: парусина 
Размер:  27х33
Упаковка:  пакет 
Примечание от фабрики: "," Дизайн:  белая сумка, картинка по макету клиента ",300,"2,1","219,5",35-40,"2,5","258,1",25-30,4 373,7,17-19,,20.02.2025
,,,,500,"2,1","217,3",,"2,5","255,8",,,,,,
 ,Фломастеры ,"Материал: пластик 
Размер:  12 цветов 
Упаковка:  коробка
Примечание от фабрики: ", Дизайн:  без брендирования ,300,"4,8","491,2",35-40,"5,5","562,5",25-30,,,,,20.02.2025
,,,,500,"4,7","483,0",,"5,4","554,3",,,,,,
 ,Наклейки ,"Материал: самоклеящаяся виниловая пленка и эпоксидная смола
Размер:  3х3
Упаковка:  пакет 
Примечание от фабрики: ", Дизайн:  по макету клиента ,300,"0,4","44,2",35-40,"0,5","53,2",25-30,3 865,7,17-19,,20.02.2025
,,,,500,"0,3","35,3",,"0,4","41,5",,,,,,
 ,Значок ,"Материал: металл, плстик 
Размер:  58 мм
Упаковка:  пакет 
Примечание от фабрики: ", Дизайн:  по макету клиента ,300,"1,0","106,3",35-40,"1,1","116,5",25-30,3 952,7,17-19,,20.02.2025
,,,,500,"0,9","89,7",,"0,9","96,6",,,,,,
 ,Значок ,"Материал: акрил 
Размер:  4 см
Упаковка:  пакет 
Примечание от фабрики: ", Дизайн:  по макету клиента ,300,"0,8","78,7",35-40,0.8,"82,5",25-30,3 865,7,17-19,,20.02.2025
,,,,500,"0,7","76,4",,"0,8","80,3",,,,,,
 ,Брелок ,"Материал: акрил 
Размер:  4х4
Упаковка:  пакет 
Примечание от фабрики: ", Дизайн:  по макету клиента ,300,"0,9","95,3",35-40,"1,0","102,9",25-30,3 865,7,17-19,,20.02.2025
,,,,500,"0,8","83,1",,"0,9","88,4",,,,,,
 ,Брелок ,"Материал: pvc
Размер:  
Упаковка:  пакет 
Примечание от фабрики: ", Дизайн:  по макету клиента ,300,"2,0","205,1",40-45,"2,1","211,5",30-35,8 746,7,17-19,,16.02.2025
,,,,500,"1,8","186,3",,"1,9","191,0",,,,,,
 ,Попсокет ,"Материал: pvc
Размер:  40 мм
Упаковка:  пакет 
Примечание от фабрики: ", Дизайн: печать картинки по макету клиента ,300,"0,7","73,9",35-40,"0,7","76,0",25-30,3 849,7,17-19,,20.02.2025
,,,,500,"0,7","75,0",,"0,8","77,7",,,,,,
 ,Картхолдер с лянъярдом ,"Материал: pvc
Размер:  
Упаковка:  пакет 
Примечание от фабрики: ", Дизайн: печать картинки по макету клиента ,300,"2,4","244,2",35-40,"2,5","258,3",25-30,8 865,7,17-19,,16.02.2025
,,,,500,"2,5","259,2",,"2,7","282,3",,,,,,
