,"Менеджер: Добрынин Павел
Email: paveld@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Тряпка из микрофибры - набор 3шт,"Материал: 80% полиэстер,20% нейлон
Размер: 30*30
Упаковка: ОПП-пакет"," Дизайн: с логотипом клиента, вид нанесения - шелкография ",500,"1,1","102,1",20-25,"1,06","103,05",20-25,"6 190,18",17-18,
,,,,,,,,,,,,,
 ,Тряпка из микрофибры - набор 3шт,"Материал: полиэстер
Размер: 30*30
Упаковка: ОПП-пакет"," Дизайн: с логотипом клиента, вид нанесения - печать",500,"0,52","51,05",30-35,"0,53","51,78",20-25,"4 988,99",15-18,
,,,,,,,,,,,,,
 ,Тряпка из микрофибры - набор 3шт,"Материал: полиэстер
Размер: 30*30
Упаковка: ОПП-пакет"," Дизайн: с логотипом клиента, вид нанесения - шелкография",500,"0,54","52,89",30-35,"0,56","54,79",20-25,"4 992,63",15-18,
,,,,,,,,,,,,,
,Ракель - набор 3шт,"Материал: резина
Размер: 12*7.5，10*7.5，7.5*6.5
Упаковка: ОПП-пакет"," Дизайн: с логотипом клиента, вид нанесения - Уф печать",500,"5,5","536,3",20-25,"5,74","560,35",20-25,"2 895,60",17-18,
,,,,,,,,,,,,,
,Кружка 350 мл,"Материал: керамика
Размер: 82*105*55 мм
Примечание от фабрики: способ нанесения логотипа - шелкография, кружки можно мыть в посудомоечной машине; возможные цвета кружки см в доп.фото", Дизайн: с логотипом клиента,,,,,,,,"7 500,00",15-17,
,,,,500,"4,44","433,28",32-37,,,,,,
,Кружка 350 мл,"Материал: керамика
Размер: 80*80 мм
Примечание от фабрики: ещё один возможный цвет кружки см в доп.фото; способ нанесения логотипа - шелкография, кружки можно мыть в посудомоечной машине;", Дизайн: с логотипом клиента,,,,,,,,"7 800,00",15-17,
,,,,500,"6,08","593,84",32-37,,,,,,
,Кружка 350 мл,"Материал: фарфор 
Размер: 9,5*8 см
Примечание от фабрики: способ нанесения логотипа - шелкография, кружки можно мыть в посудомоечной машине; возможные цвета кружки см в доп.фото", Дизайн: с логотипом клиента,,,,,,,,"10 300,00",17-19,
,,,,500,"5,61","547,94",32-37,,,,,,
,"Кружка 350 мл, с ложкой и крышкой","Материал: фарфор
Размер: 9,5*8 см
Примечание от фабрики: способ нанесения логотипа - шелкография, кружки можно мыть в посудомоечной машине; возможные цвета кружки см в доп.фото", Дизайн: с логотипом клиента,,,,,,,,"10 900,00",17-19,
,,,,500,"8,37","817,02",32-37,,,,,,
,Канцелярский нож,"Материал: металл
Размер: 16*4 см
Упаковка: опп-пакет или заводская коробка (без кастома клиентом)
Примечание от фабрики: 
Прилагаются 8 лезвий", Дизайн: гравировка лого по макету клиента,500,"5,1","497,9",45-50,,,,"6 800,00","Фото - 3-4
Доставка - 10-12",
,,,,,,,,,,,,,
,Канцелярский нож,"Материал: металл
Размер: 13,5*3см в разложенном виде, 9*3см в сложенном виде
Упаковка: опп-пакет или заводская коробка (без возможности кастома клиентом)
Примечание от фабрики: 
Цвета: см. доп. фото", Дизайн: гравировка лого по макету клиента,500,"6,7","650,6",45-50,,,,"11 100,00","Фото - 5-7
Доставка - 10-12",
,,,,,,,,,,,,,
,Держатель,"Материал: ABS + магнит
Размер: 66*90 мм

Выдерживает 15 кг", Дизайн: печать по макету клиента,500,"2,4","237,3",45-50,,,,"13 500,00","Фото 6-8

Доставка 10-12",
,,,,,,,,,,,,,
,Брендированная коробка  с наполнителем,"Материал: картон
Размер: примерно 30*20*15
", Дизайн: изготовление по макету клиента,500,"Примерно
25", Примерно 2500,45-50,,,,"29 100,00","Фото 7-8

Доставка 10-12",
