,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Мягкая игрушка,"Материал: ткань, плюш
Скелет внутри, делает игрушку подвижной
Примерный размер: высота 15-20 см

Кастом: полный кастом по макету клиента, со всеми деталями и одеждой","50 000
100 000","13,49
11,02","1201,02
980,46","60 календ. дн.
90 календ. дн.",24600,10 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,,,"50 000
100 000","16,10
14,64","1473,49
1339,64","85-90 календ. дн.
115-120 календ. дн.",,,
,,"Материал: велюр, синтепон
Скелет внутри, делает игрушку подвижной
Примерный размер: высота 23-25 см

Кастом: полный кастом по макету клиента, со всеми деталями и одеждой",1500-3000,"13,51","1 202,19 ₽",25 календ. дн.,25000,10 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,,,1500-3000,"18,55","1 650,75 ₽",50-55 календ. дн.,,,
,Конструктор,"Кастомный конструктор по макету клиента
Высота: 20см
Материал: пластик обычный
Кол-во деталей: 350 (обсуждается)
Упаковка: кастомная коробка по макету клиента
Инструкция: прилагается
","50 000
100 000","3,82
3,49","339,96
310,84","30 календ. дн.
60 календ. дн.",47700,7 календ. дн. - фото+видео + 10-12 календ. дн. доставка,видео
,,,"50 000
100 000","16,34
16,05","1615,46
1468,91","55-60 календ. дн.
85-90 календ. дн.",,,
,Наклейки стерео-варио,"Материал: pet
Упаковка: опп-пакетик

Кастом: УФ печать изображения клиента","50 000
100 000","0,12","10,83",7 календ. дн.,38100,7 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,,,"50 000
100 000","0,53","48,46",32-37 календ. дн.,,,
,Наклейки обычные,"Материал: пластик
Размер: 5-6 см
Клеятся после опускания в воду
Упаковка: опп-пакетик

В одной упаковке пять видов наклеек
Кастом: дизайн пяти наклеек по макету клиента","50 000
100 000","0,16","14,30",20 календ. дн.,5600,5-7 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,,,"50 000
100 000","0,35","31,98","45-50 календ. дн.
50-55 календ. дн.",,,
,Антистресс (только производство),"Материал: ПУ
Размер: 5-6 см
Упаковка: опп-пакетик","50 000
100 000","2,61
2,56","232,71
228,01",50-60 календ дн,398 000,15 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,Антистресс,,"50 000
100 000","3,18
3,11","290,71
284,27",80 - 85 календ дн,,,
,Брелок (только производство),"Материал: ПВХ
Размер: 4-5 см
Упаковка: опп-пакетик",50 000 - 100 000,"1,6","146,60 ₽",12-15 календ дн,15 000,12 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,Брелок,,50 000 - 100 000,"3,2","290,7",50-55 календ дней,,,
,Переводные тату (только производство),"Материал: бумага, чернила
Размер: примерно 5х5 см
","50 000
100 000","0,02
0,017","1,87 ₽
1,61 ₽",7-8 календ дн,23 500,7 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,Переводные тату,,"50 000
100 000","0,03
0,02","2,38
2,10",35-40 календ дней,,,
