2,"Менеджер: Эмина Арина Ильинична
Email: arinae@megamind.ru
Телефон: +7 (918) 370-96-97
",,,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,Наценка ,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Носки вязка в рубчик,"Материал: хлопок не менее 70%
Размер: мужской (40-45), женский (36-39)
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: носки не могут быть полностью сделаны реблистыми, носок и пятка должны быть сшиты в классическом стиле", Дизайн: вязка в рубчик согласно макету,"1,5",150000,"1,4","134,7",60-65,"1,55","150,28",50-55,"7 000,00",13-17,
,,,,"1,5",250000,"1,36","132,24",65-70,"1,52","147,8",55-60,,,
,,,,"1,5",350000,"1,31","127,3",75-80,"1,47","142,86",65-70,,,
 ,Носки - комплект 2 пары,"Материал: хлопок не менее 70%
Размер: мужской (40-45), женский (36-39)
Упаковка: индивидуальный пакет с зип-локом
Примечание от фабрики: носки не могут быть полностью сделаны реблистыми, носок и пятка должны быть сшиты в классическом стиле", Дизайн: вязка в рубчик согласно макету ,"1,5",150000,"2,3","222,4",55-60,"2,45","237,94",45-50,,,
,,,,"1,5",250000,"2,24","217,44",65-70,"2,4",233,55-60,,,
,,,,"1,5",350000,"2,24","217,44",75-80,"2,4",233,65-70,,,
 ,Плед,"Материал: полиэстер 100%
Размер: 70*100 см
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: 
плотность ткани 180 г/м2
Точная цена будет известна после расчета по готовому макет"," Дизайн: вышивка лого 10*10 см, выкрас в соответствии с пантоном","1,5",150000,"4,0","392,9",60-65,"5,36","521,75",50-55,"22 500,00",17-19,
,,,,"1,5",250000,"4,01","390,41",65-80,"5,34","519,27",55-70,,,
,,,,"1,5",350000,"3,99","387,93",75-90,"5,31","516,79",65-80,,,
 ,Коффер,"Материал: алюминий
Размер: 360 мл, 11,5*8*6 см
Упаковка: индивидуальная упаковка в коробку белого цвета, 9,6*12,6 см
Примечание от фабрики: 
Точная цена будет известна после расчета по готовому макет"," Дизайн: печать логотипа 3+0 (шелкография), выкрас в пантон","1,45",150000,"4,1","401,1",50-55,"4,89","475,61",40-45,"7 500,00",13-15,
,,,,"1,43",250000,"4,02","390,86",55-60,"4,77","464,32",45-50,,,
,,,,"1,4",350000,"3,86","375,72",70-75,"4,6","447,64",60-65,,,
 ,Бутылка с ремешком,"Материал: алюминий + ПП крышка + силиконовая ручка 
Размер: 600 мл, 6,6*22,7 см
Упаковка: белая картонная коробка + пакет OPP
Примечание от фабрики: 
Точная цена будет известна после расчета по готовому макет"," Дизайн: 
- круговая УФ печать
- выкрас в пантон","1,5",150000,"3,3","325,4",55-60,"4,02","391,51",45-50,"17 000,00",13-15,
,,,,"1,47",250000,"3,28","318,88",70-75,"3,94","383,68",60-65,,,
,,,,"1,45",350000,"3,23","314,54",80-85,"3,89","378,45",70-75,,,
 ,Бутылка с кнопкой,"Материал: алюминий  + ПП крышка
Размер: 500 мл, 6,6*19,5 см
Упаковка: белая картонная коробка + пакет OPP
Примечание от фабрики: 
Точная цена будет известна после расчета по готовому макет"," Дизайн: 
- круговая УФ печать
- выкрас в пантон","1,5",150000,"3,7","359,6",55-60,"4,62","449,55",45-50,"17 000,00",13-15,
,,,,"1,47",250000,"3,62","352,44",70-75,"4,53","440,55",60-65,,,
,,,,"1,45",350000,"3,57","347,65",80-85,"4,47","434,55",70-75,,,
 ,Худи белое,"Материал: хлопок, полиэстер 
Размер: в соответствии с размерной сеткой
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: 
Точная цена будет известна после расчета по готовому макету и производства образца", Дизайн: производство в соответствии с макетом,"1,5",150000,"15,3","1487,8",85-90,"17,15","1668,43",75-80,"16 500,00",18-22,
,,,,"1,5",250000,"15,04","1463,04",,"16,89","1643,65",,,,
,,,,"1,5",350000,"14,78","1438,27",,"16,64","1618,88",,,,
 ,Футболка белая,"Материал: хлопок, полиэстер 
Размер: в соответствии с размерной сеткой
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: 
Точная цена будет известна после расчета по готовому макету и производства образца", Дизайн: производство в соответствии с макетом,"1,5",150000,"9,2","892,7",70-75,"10,34","1005,61",60-65,"16 500,00",18-22,
,,,,"1,5",250000,"8,92","867,96",,"10,08","980,84",,,,
,,,,"1,5",350000,"8,67","843,18",,"9,83","956,07",,,,
 ,Худи оранжевое,"Материал: хлопок, полиэстер 
Размер: в соответствии с размерной сеткой
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: 
Точная цена будет известна после расчета по готовому макету и производства образца", Дизайн: производство в соответствии с макетом,"1,5",150000,"15,0","1455,3",85-90,"16,33","1589,1",75-80,"15 500,00",13-17,
,,,,"1,5",250000,"14,19","1380,99",,"15,57","1514,78",,,,
,,,,"1,5",350000,"13,68","1331,45",,"15,06","1465,24",,,,
 ,Футболка оранжевая,"Материал: хлопок, полиэстер 
Размер: в соответствии с размерной сеткой
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: 
Точная цена будет известна после расчета по готовому макету и производства образца", Дизайн: производство в соответствии с макетом,"1,5",150000,"8,0","774,1",70-75,"8,78","854,38",60-65,"10 000,00",13-19,
,,,,"1,5",250000,"7,7","749,33",,"8,53","829,6",,,,
,,,,"1,5",350000,"7,45","724,56",,"8,27","804,83",,,,
 ,Брелок ПВХ,"Материал: ПВХ
Размер: бургер 4*5 см, лого 50*15*5 мм
Логотип объемный с одной стороны
Фурнитура: как на референсе, колечко цепочка и карабин металлические
Упаковка: индивидуальный пакетик
Примечание от фабрики: ", Дизайн: индивидуальная форма,"1,7",150000,"1,1","105,9",60-65,"1,23","119,56",50-55,"95 000,00",17-20,
,,,,"1,7",250000,"1,06","102,84",65-70,"1,2","116,49",55-60,,,
,,,,"1,7",350000,"1,03","99,92",65-70,"1,17","113,57",55-60,,,
 ,"Брелок
Бургер сквиш антистресс","Материал: бургер - PU, лого Пвх
Размер: бургер 6*7 см, лого 50*15*5 мм
Логотип объемный с одной стороны
Фурнитура: как на референсе, колечко цепочка и карабин металлические
Упаковка: индивидуальный пакетик
Примечание от фабрики: ", Дизайн: индивидуальная форма,"1,7",150000,"0,8","81,6",60-65,"0,89","86,66",50-55,"164 000,00",32-35,
,,,,"1,7",250000,"0,8","77,74",65-70,"0,85","82,84",55-60,,,
,,,,"1,7",350000,"0,78","76,11",65-70,"0,83","81,2",55-60,,,
 ,Брелок акрил,"Материал: акрил
Размер: бургер 40*50*3 мм, лого 50*15*3 мм
Фурнитура: как на референсе, колечко цепочка и карабин металлические
Упаковка: индивидуальный пакетик
Примечание от фабрики: ", Дизайн: индивидуальная форма,"1,7",150000,"0,9","86,1",35-40,"0,94","91,15",25-30,"1 800,00",14-17,
,,,,"1,7",250000,"0,8","77,63",45-50,"0,85","82,73",35-40,,,
,,,,"1,7",350000,"0,74","72,01",55-60,"0,79","77,11",45-50,,,
 ,Карандаш ,"Материал: дерево, HB
Размер: 17.6*0.72cm
Упаковка: 
Примечание от фабрики: ", Дизайн: флажок с логотипом,"1,5",150000,"0,5","47,4",70-75,"0,5","49,6",60-65,"16 000,00",20-22,
,,,,"1,5",250000,"0,43","42,38",,"0,46","44,6",,,,
,,,,"1,5",350000,"0,38","37,4",,"0,41","39,6",,,,
 ,Браслет ,"Материал: резиновый 
Размер: 202*12*2mm
Упаковка: индивидуальный пакетик
Примечание от фабрики: "," Дизайн: нанесение логотипа, цвет браслета близкий к пантону ","1,55",150000,"0,2","19,1",55-60,"0,24","23,2",45-50,"10 500,00",20-22,
,,,,"1,53",250000,"0,19","18,9",,"0,23","22,91",,,,
,,,,"1,5",350000,"0,18","18,5",,"0,23","22,4",,,,
 ,Ракетка с мячиком ,"Материал: дерево  
Размер: 23*11*0.3CM
Упаковка: индивидуальный пакет 
Примечание от фабрики: ",,"1,5",150000,"0,7","70,5",55-60,"0,89","86,87",45-50,"26 000,00",20-22,
,,,,"1,5",250000,"0,7",68,,"0,86","84,4",,,,
,,,,"1,5",350000,"0,65","63,03",,"0,8","79,4",,,,
 ,Шоппер,"Материал: холщевая ткань - терилен с хлопком 
Размер: 35*40 см
Ручки: из основной ткани 
Упаковка: индивидуальный пакет
Примечание от фабрики: точная стоимость после образца, зависит от сложности нанесения"," Дизайн: цифровая печать с двух сторон 4+0, бирка с логотипом вшитая в шов","1,55",150000,"2,1","208,4",70-75,"2,56","249,34",60-65,"8 800,00",19-22,
,,,,"1,5",250000,"2,06","200,4",75-80,"2,47","240,06",65-70,,,
,,,,"1,45",350000,"1,99","193,72",85-90,"2,38","232,05",75-80,,,
 ,Шоппер,"Материал: 100% хлопок, плотность 330-340 гр
Размер: 35*40 см
Ручки: из стропы
Упаковка: индивидуальный пакет
Примечание от фабрики: точная стоимость после образца, зависит от сложности нанесения"," Дизайн: цифровая печать с одной стороны 2+0, бирка с логотипом","1,55",150000,"2,6","257,0",85-90,"3,06","297,98",75-80,"8 800,00",19-22,
,,,,"1,5",250000,"2,54","247,47",95-100,"2,95","287,12",85-90,,,
,,,,"1,45",350000,"2,46","239,22",115-120,"2,85","277,55",105-110,,,
 ,Кепка,"Материал: 100% хлопок, плотность 300 гр
Размер: стандартный, взрослый
Конструкция: 6 клиеньев, отверстия в кепке для вентиляции, регулировка размера - металл серебро матовое
Упаковка: индивидуальный пакет
Примечание от фабрики: точная стоимость после образца, зависит от сложности вышивки", Дизайн: вышивка логотипа,"1,55",150000,"2,6","248,3",55-60,"2,83","275,06",45-50,"8 700,00",17-20,
,,,,"1,5",250000,"2,44","237,79",70-75,"2,71","263,71",60-65,,,
,,,,"1,45",350000,"2,34","227,47",85-90,"2,6","252,52",75-80,,,
 ,Шнурки комплект 2 пары,"Материал: полиэстер
Размер: 140 см
Упаковка: набор упакован в индивидуальный пакет 
Примечание от фабрики: точная стоимость после образца, зависит от сложности нанесения", Дизайн: термотрансферная полная запечатка,"1,55",150000,"1,0","100,2",70-75,"1,14","111,27",65-70,"6 400,00",15-18,
,,,,"1,5",250000,1,"96,97",75-80,"1,11","107,67",65-70,,,
,,,,"1,45",350000,"0,96","93,74",85-90,"1,07","104,08",75-80,,,
