,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Рюкзак ,"Материал:  кож зам
Размер: 42х31х12
Упаковка: пакет 
Примечание от фабрики: "," Дизайн:  без брендирования, серый или черный рюкзак ",100,"31,9","2709,8",32-37,"36,5","3100,0",22-27,6 048,2,12-14,
,,,,150,"31,8","2704,2",32-37,"36,4","3094,3",22-27,,,,
,,, Дизайн: черная бирка кож зам с лого - шелкография/тиснение ,100,"33,6","2859,0",35-40,"38,2","3249,2",25-30,10 144,3-5,12-15,
,,,,150,"33,3","2828,5",35-40,"37,9","3218,6",25-30,,,,
,,, Дизайн: лого на рюкзаке  - шелкография/тиснение ,100,"32,8","2783,5",40-45 ,"37,4","3182,3",30-35,10 144,3-5,12-15,
,,,,150,"32,7","2777,8",40-45 ,"37,4","3176,6",30-35,,,,
 ,Полотенце в чехле ,"Материал:  полиэстер 
Размер: 100х30см 
Упаковка: силиконовый чехол
Примечание от фабрики: ", Дизайн:  без брендирования,100,"5,3","447,0",32-37,"5,6","475,6",22-27,6 048,2,12-14,
 ,Ремень для багажа с весами,"Материал:  полиэстер 
Размер: длина 200см, ширина 5см 
Упаковка: пакет 
Примечание от фабрики: "," Дизайн:  без брендирования,",100,"5,5","464,7",32-37,"5,9","502,8",22-27,2 713,2,12-14,
,,,,150,"4,8","409,0",32-37,"5,3","447,2",22-27,,,,
