,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД + Питер,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Плед с капюшоном лама,"Материал: коралловый флис
Размер: 70*140 см
Упаковка: опп-пакет
Примечание от фабрики: 
Кастом и замена цвета только от 1000 шт."," Дизайн: цвет ламы, близкий к пантону клиента, вышивка логотипа",1000,"7,4","688,3",45-50,,,,14 200,15,25-27,
,,,,,,,,,,,,,,
 ,Брелок лама,"Материал: ПВХ
Размер:  примерно 7*2 см
Упаковка: опп-пакет
Примечание от фабрики: соединенительные швы на ножках и вдоль туловища", Дизайн: кастом по макету клиента,1315,"2,7","228,24
+
открытие формы (входит в стоимость образца, предполагается запуск через сигнальный образец)",40-45,,,,93 214,8,18-20,
,,,,,,,,,,,,,,
 ,Мешок,"Материал: дюспо, внутри плащевка
Размер:  примерно 33*42 см
Упаковка: опп-пакет
Примечание от фабрики: на веревочках затягивающихся", Дизайн: кастом по макету клиента (полная запечатка),1315,"3,72","345,62",57-62,"4,0","373,4",47-52,11 700,8,25-27,
,,,,,,,,,,,,,,
 ,Ночник проектор,"Материал: ABS + PS
Размер:  112*108*109 мм 
Упаковка: заводская коробка, размер коробки - 145*125*115 мм
Примечание от фабрики: Входное напряжение: 5V
Потребляемая мощность: 5W
Источник излучения: LED
Комплектация: Проектор в форме земного шара, руководство, USB кабель, лампы для галактической серии × 12"," Дизайн: с лого на коробке - наклейка, на ночном проекторе - шелкография",305,"25,77","2 396,51",42-47,"27,3","2539,7",27-32,7 700,3,13-15,
,,,,,,,,,,,,,,
,,," Дизайн: либо логотип на коробке, но нет на проекторе, либо нет логотипа на коробке, но есть на проекторе",305,"25,51","2 372,50",42-47,"27,1","2515,7",27-32,7 700,3,13-15,
,,,,,,,,,,,,,,
 ,Термомозайка без утюга,"Материал: пластик + металл
Размер:  
Упаковка: индивидуальная коробка по дизайну клиента
Примечание от фабрики: В наборе будет : бокс из бусин на 4300 штук, 12 отдельных карточек (возможно сделать книгу , но это дороже) , 2 прямоугольных планшета 14,5*14,5 см , 1 пинцет , 12 металлических припяжей для брелков."," Дизайн: кастом коробки + 12 карточек отдельнух по дизайну клиента( можно сделать книгу по дизайну клиента , но это будет дороже) ",500,"11,67","1 050,70",47-52,,,,14 300,7,17-19,
,,,,,,,,,,,,,,
 ,Термомозайка с утюгом ,"Материал: пластик + металл
Размер:  
Упаковка: индивидуальная коробка по дизайну клиента
Примечание от фабрики: В наборе будет : бокс из бусин на 4300 штук, 12 отдельных карточек (возможно сделать книгу , но это дороже) , 2 прямоугольных планшета 14,5*14,5 см , 1 пинцет , 12 металлических припяжей для брелков, утюг"," Дизайн: кастом коробки + 12 карточек отдельнух по дизайну клиента( можно сделать книгу по дизайну клиента , но это будет дороже) ",500,"17,51","1 575,84",47-52,,,,15 300,7,17-19,
,,,,,,,,,,,,,,
 ,Мешок для игрушек,"Материал: оксфорд
Размер: 1,5 м
Упаковка: опп
Цвет: голубой, розовый, фиолетовый, красный, зеленый, оранжевый", Дизайн: полная запечатка с одной стороны (можно с двух сторон за доп расходы),1315,"7,67","690,26",45-50,,,,4 500,7,17-19,
,,,,,,,,,,,,,,
 ,Детское полотенце с капюшоном ,"Материал: коралловый флис
Размер: 80*80 см
Упаковка: опп-пакет
Примечание от фабрики:
 
Стоковое полотенце с возможностью нанесения лого клиента ", Дизайн: возможна вышивка лого клиента ,310,"13,4","1179,6",40-45,,,,20000 (цена образца с лого),10,20-22,
,,,,,,,,,,,,,,
 ,Детское полотенце с капюшоном ,"Материал: коралловый флис
Размер: по макету клиента, примерно 80*60 см
Упаковка: опп-пакет
Примечание от фабрики:
 
Полотенце по инд. дизайну с ламой и + возможностью нанесения лого клиента ", Дизайн: капюшон в виде ламы + возможна вышивка лого клиента ,310,"16,4","1441,2",45-50,,,,26 400,10,20-22,
,,,,,,,,,,,,,,
 ,Термомозайка без утюга,"Материал: пластик
Размер: 26*13.2*2.2 см
Упаковка: индивидуальная картонная коробка по дизайну клиента
Примечание от фабрики: состав набора см на фото", Дизайн: сток + кастомная коробка + инструкция на русском,325,"6,38","561,60",30-35,,,,3 500,1,11-13,
,,,,,,,,,,,,,,
 ,Утюг для термомозайки,"Материал: пластик
Размер: 10,6*6*6,5 см
Упаковка: индивидуальная картонная коробка стоковая
Цвета: ", Дизайн: сток,325,"8,69","738,82",30-35,,,,3 500,1,11-13,
