,"Менеджер: Багандова Виктория
Email: victoriabagandova@megamind.ru
Телефон: +8 (991) 641-94-30
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Блокнот ,"Материал: бумага, обложка - искусственная кожа 
Размер: а5
Упаковка:  ОРР пакет
Примечание от фабрики: минимальный тираж 100 штук"," Дизайн: Удаление заводских надписей, тиснение, горячее тиснение серебром или УФ печать по макету клиента",100,"5,39","475,12 ₽","47 511,66 ₽",50-55,,,0,,4 800,6,16-18,
,,,,130,"4,85","427,60 ₽","55 588,64 ₽",50-55,,,0,,,,,
 ,Ионизатор воздуха,"Материал: Пластик  
Размер: 17,6*17,6*27,2
Упаковка:  Картонная коробка 
Примечание от фабрики: 
Питание - usb type-c
Напряжение - 5В
Материал - пластик 
Длина провода - 1м
Необходимо оформление декларации соответствия и сертификата соответствия. Общая стоимость - примерно 100.000 р. Не входит в стоимость."," Дизайн: Черный цвет изделия, лого клиента, тип печати - цветная печать  ",70,"36,5","3226,0",225820,45-50,,,0,,7 500,20,30-32,
,,,,100,"36,4","2092,2",209224,45-50,,,0,,,,10-12,
,,,,130,"36,3","3088,3","401481,6",45-50,, ,#VALUE!,,,,10-12,
,Зарядная станция,"Материал: Пластик  
Размер: 7,5*7,5*7,5 см 
Упаковка:  Картонная коробка 
Примечание от фабрики: 
Общая мощность 15Вт
Можность зарядки для телефона - 15 Вт
Для часов - 2,5 Вт
Для наушников - 3 Вт
Зарядка для часов съемная, подключается через type-c разъем к основному корпусу зарядной станции и к адаптеру, подключенному к сети
В комплекте идет провод type-c - type-c 
Питание от аккумулятора  
Необходимо оформление декларации соответствия и сертификата соответствия. Общая стоимость - примерно 100.000 р. Не входит в стоимость."," Дизайн: Черный цвет изделия
Лого- лазерная гравировка, серым цветом, на месте логотипа фабрики 
Цветной логотип сделать нельзя",70,"27,0","2325,0","162747,2",35-40,,,0,,7 600,12,22-24,
,,,,100,"26,9","2316,9",231685,35-40,,,0,,,,,
,,,,130,"26,9","2312,9","300679,6",35-40,,,0,,,,,
,Шахматы,"Материал: дерево
Размер: 48*48 см, в сложенном виде - 48*24 
Упаковка:  Картонная коробка 
Примечание от фабрики: 
Минимальный тираж от 500 шт. ", Дизайн: Выкрас  основы в цвета клиента в соответсвии с цветевой палитрой Pantone,500,"13,0","1132,0",566000,40-45,,,,,14 400,15,25-27,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
