,"Менеджер: Титова Алина
Email: alina@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
Фабрика 1,,,,,,,,,,,,,
 ,тапочки размер 43,"Материал: флис, поролон, ЭВА
Размер: 43 размер, 29 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн: нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,48000,"2,9","316,9",60-65 кд,"3,735","410,8390125",50-55 кд,"12 500,00",9-11 кд (фото и видео);12-14 кд (отправка в Москву),
 ,тапочки размер 38-39,"Материал: флис, поролон, ЭВА
Размер: 38-39, примерно 25 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,12000,"9,4","1031,8",60-65 кд,"12,797","1407,70205",50-55 кд,"12 500,00",9-11 кд (фото и видео);12-14 кд (отправка в Москву),
 ,тапочки размер 33-35 (детские),"Материал: флис, поролон, ЭВА
Размер: 33-35, примерно 22 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,7200,"15,2","1667,3",60-65 кд,"20,85","2293,8",50-55 кд,"12 500,00",9-11 кд (фото и видео);12-14 кд (отправка в Москву),
Отправка контейнером,,,,,,,,,,,,,
 ,тапочки размер 43,"Материал: флис, поролон, ЭВА
Размер: 43 размер, 29 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн: нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,48000,"2,3","249,4",70-75 кд,,,,"12 500,00",9-11 кд (фото и видео);12-14 кд (отправка в Москву),
,,,,,,,,,,,,,
 ,тапочки размер 38-39,"Материал: флис, поролон, ЭВА
Размер: 38-39, примерно 25 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,12000,"6,9","761,9",70-75 кд,,,,"12 500,00",,
 ,тапочки размер 33-35 (детские),"Материал: флис, поролон, ЭВА
Размер: 33-35, примерно 22 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,7200,"11,1","1217,4",70-75 кд,,,,,,
Альтернативный способ доставки,,,,,,,,,,,,,
 ,тапочки размер 43,"Материал: флис, поролон, ЭВА
Размер: 43 размер, 29 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн: нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,48000,"2,0","231,5",55-60 кд,,,,"12 500,00",9-11 кд (фото и видео);12-14 кд (отправка в Москву),
,,,,,,,,,,,,,
 ,тапочки размер 38-39,"Материал: флис, поролон, ЭВА
Размер: 38-39, примерно 25 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,12000,"2,0","231,6",55-60 кд,,,,"12 500,00",,
 ,тапочки размер 33-35 (детские),"Материал: флис, поролон, ЭВА
Размер: 33-35, примерно 22 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,7200,"2,0","231,5",55-60 кд,,,,,,
Фабрика 2,,,,,,,,,,,,,
 ,тапочки размер 43,"Материал: флис, поролон, ЭВА
Размер: 43 размер, 29 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости, в стоимость образца включено 3 образца муж, жен, дет", Дизайн: нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,48000,"2,7","300,4",75-80 кд,"3,55","391,11",65-75 кд,"12 500,00",9-11 кд (фото и видео);12-14 кд (отправка в Москву),
 ,тапочки размер 38-39,"Материал: флис, поролон, ЭВА
Размер: 38-39, примерно 25 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости, в стоимость образца включено 3 образца муж, жен, дет", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,12000,"9,0","987,9",75-80 кд,"12,28","1350,81",65-75 кд,,,
 ,тапочки размер 33-35 (детские),"Материал: флис, поролон, ЭВА
Размер: 33-35, примерно 22 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости, в стоимость образца включено 3 образца муж, жен, дет", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,7200,"14,5","1599,7",75-80 кд,"20,04","2204,59",65-75 кд,,,
Отправка контейнером,,,,,,,,,,,,,
 ,тапочки размер 43,"Материал: флис, поролон, ЭВА
Размер: 43 размер, 29 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн: нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,48000,"2,1","235,2",90-95 кд,,,,"12 500,00",9-11 кд (фото и видео);12-14 кд (отправка в Москву),
 ,тапочки размер 38-39,"Материал: флис, поролон, ЭВА
Размер: 38-39, примерно 25 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,12000,"6,6","727,2",90-95 кд,,,,,,
 ,тапочки размер 33-35 (детские),"Материал: флис, поролон, ЭВА
Размер: 33-35, примерно 22 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,7200,"10,6","1165,3",90-95 кд,,,,,,
Альтернативный способ доставки,,,,,,,,,,,,,
 ,тапочки размер 43,"Материал: флис, поролон, ЭВА
Размер: 43 размер, 29 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн: нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,48000,"1,9","224,8",60-65 кд,,,,"12 500,00",9-11 кд (фото и видео);12-14 кд (отправка в Москву),
 ,тапочки размер 38-39,"Материал: флис, поролон, ЭВА
Размер: 38-39, примерно 25 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,12000,"1,9","221,6",60-65 кд,,,,,,
 ,тапочки размер 33-35 (детские),"Материал: флис, поролон, ЭВА
Размер: 33-35, примерно 22 см
Упаковка: OPP-пакетик
Примечание от фабрики: по ТЗ, требуется декларация соответствия, примерная стоимость 15.000 рублей, не учтена в стоимости", Дизайн:  нанесение лого в соответствии с картинкой принтингом с использованием гелеобразной краски,7200,"1,9","219,6",60-65 кд,,,,,,
