,"Менеджер: Титова Алина
Email: alina@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото,,
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",,,
 ,Косметичка,"Материал: сетка
Размер: 15*15*7 см
Упаковка: заводская упаковка", Дизайн: кожаная или тканевая нашивка с логотипом,1500,"2,5","253,8",70-75 кд,,,,"20 000,00","13-15 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"2,22","224,72",70-75 кд,,,,,,,,
,,,,5000,"2,22","224,5",80-85 кд,,,,,,,,
 ,Косметичка,"Материал: ПВХ
Размер: 11*4.5*10.5 см
Упаковка: заводская упаковка
"," Дизайн: шелкография для 1-2 цветов/ цифровая печать для большего количества цветов в логотипе
",1500,"1,5","146,3",60-65 кд,,,,"12 100,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"1,46","145,7",60-65 кд,,,,,,,,
,,,,5000,"1,4","139,78",70-75 кд,,,,,,,,
 ,Косметичка,"Материал: ПУ
Размер: 18,5*11 см
Упаковка: заводская упаковка
", Дизайн: шелкография/ тиснение,1500,"2,5","247,0",55-60 кд,,,,"13 500,00","11-13 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"2,43","240,76",55-60 кд,,,,,,,,
,,,,5000,"2,4","237,69",60-65 кд,,,,,,,,
 ,Косметичка,"Материал: полиэстер
Размер: 16*12 см
Упаковка: заводская упаковка
", Дизайн: шелкография/ тканевая этикетка,1500,"1,7","171,9",60-65 кд,,,,"16 500,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"1,65","165,61",65-70 кд,,,,,,,,
,,,,5000,"1,59","159,69",70-75 кд,,,,,,,,
 ,Косметичка,"Материал: ПУ
Размер: 15*13*6 см
Упаковка: заводская упаковка
", Дизайн: шелкография/ тиснение,1500,"3,3","324,9",55-60 кд,,,,"16 500,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"3,16","315,81",60-65 кд,,,,,,,,
,,,,5000,"3,1","309,89",65-70 кд,,,,,,,,
 ,Косметичка,"Материал: искусственная каракульча
Размер: 20*11*11 см
Упаковка: заводская упаковка
Цвет на выбор из палитры", Дизайн: пвх бирка с лого клиента,1500,"9,4","933,3",80-85 кд,,,,"23 000,00","15-17 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"8,83","877,13",80-85 кд,,,,,,,,
,,,,5000,"8,28","823,56",80-85 кд,,,,,,,,
 ,Косметичка,"Материал: полиэфирное волокно
Размер: 18*10 см
Упаковка: заводская упаковка
", Дизайн: вышивка логотипа,1500,"2,3","228,0",45-50 кд,,,,"8 000,00","8-10 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/728235105918.html,
,,,,3000,"2,1","213,16",45-50 кд,,,,,,,,
,,,,5000,"2,1","187,5",50-55 кд,,,,,,,,
 ,Косметичка,"Материал: ТПУ
Размер: 23*15*7 см
Упаковка: заводская упаковка
", Дизайн: цв печать,1500,"2,7","274,5",55-60 кд,,,,"10 700,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"2,62","262,99",55-60 кд,,,,,,,,
,,,,5000,"2,51","251,97",60-65 кд,,,,,,,,
 ,Косметичка,"Материал: полиэстер
Размер: 18*9*7 см
Упаковка: заводская упаковка
", Дизайн: тканевая этикетка,1500,"2,3","230,8",65-70 кд,,,,"16 500,00","13-15 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/744153481525.html,
,,,,3000,"2,17","217,89",65-70 кд,,,,,,,,
,,,,5000,"2,11","189,5",65-70 кд,,,,,,,,
