,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Акриловые фломастеры,"Материал: пластик
Размер: 141*13мм
Упаковка: ОППпакетик
Цвет: фабричный синий или зеленый

Толщина линии 0,7 мм", Дизайн: сток / термотрансфер лого одноцвет / настройка цвета,300-500 сток,,,,,"93,06",22-27,2 000,"Фото 1

Доставка 10-12",
,,,,5000 с лого одноцвет (термотрансфер),,,,,"91,04",22-27,22 000,"Фото 10-13

Доставка 10-12",
,,,,5000 с лого и настройкой цвета (необходим физический образец),,,,,"92,62",25-30,22 000,"Фото 10-13

Доставка 10-12",
 ,Акриловые фломастеры,"Материал: пластик
Размер: 145*10мм
Упаковка: коробочка
Цвет: фабричный синий или зеленый

Толщина линии 0,7-1мм", Дизайн: сток,300-500 сток,,,,,"76,02",22-27,2 000,"Фото 1-2
Достоавка 10-12",
,,,,,,,,,,,,,
 ,Фломастеры,"Материал: пластик
Размер: 145*10мм
Упаковка: коробочка
Цвет: фабричный синий и/или зеленый", Дизайн: сток,от 500,,,,"1,1","96,8",20-25,"2 000,00","Фото 1-2
Достоавка 10-12",
,,,,,,,,,,,,,
 ,Фломастеры,"Материал: пластик
Размер: 145*10мм
Упаковка: коробочка
Цвет: фабричный синий или зеленый", Дизайн: сток,от 200,,,,"1,0","97,7",20-25,"2 000,00","Фото 1-2
Достоавка 10-12",
,,,,,,,,,,,,,
 ,Скрепка на одежду с шильдом,"Материал: пластик + ПВХ
Размер: скрепка 10*40 мм + шильд примерно 30*30*3 мм
Упаковка: опп пакетик", Дизайн: изготовление по макету клиента,500,,,,"1,6","155,8",32-37,12 500,"Фото 7
Достоавка 10-12",
,,,,1000,,,,"1,38","132,7",32-37,,,
 ,ПВХ шильд,"Материал: ПВХ
Размер:  примерно 30*30*3 мм
Упаковка: опп пакетик", Дизайн: изготовление по макету клиента,500,,,,"1,2","116,3",32-37,12 500,"Фото 7
Достоавка 10-12",
,,,,1000,,,,"1,1","105,54",32-37,,,
