,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Брелок,"Материал: металл
Без упаковки
Размер: 5 см
Вес: 12 гр",2000,"1,7","154,5",45-50 кд,"14738,28",20-22 кд,
,Значок,"Материал: магнит
Размер: 3х3 см
Пол: Универсальный
Возраст: Для взрослых
Застежка: цанга-бабочка
Вес: 5 гр
",5*500/1000 шт,"0,62 / 2500шт.

0,56  / 5000шт,","57,17 / 2500шт.

51,47 / 5000шт.",48-53 кд,"14665,2",25-27 кд,
,Брелок + ремувка,"Материал: ПВХ
Размер: 6-7 см
Брелок и ремувка комплектом (=1шт)",1000,"5,4","495,1",50-55 кд,"16901,12",17-19 кд,
,Рюкзак складной,"Материал: полиэстер
Размеры: 45 х 31,5 х 13,5 / 
 в сложенном виде 19,5 х 16
Цифровая печать",5000,"6,5","597,3",70-75 кд,"12919,53",,
,Зонт с запечаткой внутри,"Автоматический зонт

Цвет: чёрный
Материал: полиэстер
Размер: 21 дюйм
Количество спиц: 8 штук
Чехол: можно сделать (+20 руб. примерно)

Кастом: полная запечатка купола изнутри, печать на чехле (если нужен чехол)",500-1500,"10,78","986,58",45-50 кд,"11382,87",,
,,"Зонт-трость

Цвет: чёрный
Материал: полиэстер
Размер: 23 дюйма
Количество спиц: 8 штук
Чехол: можно сделать (+20 руб. примерно)

Кастом: полная запечатка купола изнутри, печать на чехле (если нужен чехол)",,"10,93","999,96",,,,
,Попсокет,"Материал: пвх
Размер: 2-3 см

Упаковка: опп-пакетик

Кастом: по дизайну клиента",500-1500,"0,96","89,28 ₽",38-43 кд,"9426,35",17-19 кд,
,,"Материал: акрил
Размер: 2-3 см

Упаковка: опп-пакетик

Кастом: по дизайну клиента",500-1500,"0,79","73,22 ₽",33-38 кд,"1931,44",12-15 кд,
,Блокнот,"Материал: бумага, картон
Кол-во листов: 60
На кольцах
Внутри доступна линовка страниц или просто чистые листы

Кастом: форма по дизайну клиента",3000,"1,28","116,97",50-55 кд,"19346,10",17-19 кд,
,Джибитсы штучно,"25*25 мм
один дизайн
индивидуальная упаковка",500 /1000/2500,"0,67

0,5

0,44","61,92

46,63

40,63",50-55 кд,15378 - за 1 дизайн,17-19 кд,
,Джибитсы набор из 5 шт на подложке,"2 вида наборов 1000 шт
за 1 вид набора",2000,"5,4","503,1",50-55 кд,15378 - за 1 дизайн,17-19 кд,
