,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Махровый рюкзак,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 40 х 12 х  30 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
На создание отвязов требуется неделя", Дизайн: полный кастом по макету клиента,500,"34,0","3305,8",85-90,"38,4","3734,2",75-90,9 660,21,31-33,
,,,,1000,"32,4","3157,3",,"35,0","3441,9",,,,,
,,,,3000,"30,9","3007,0",,"33,3","3278,0",,,,,
,,,,5000,"29,5","2870,3",,"31,8","3129,0",,,,,
,Обвес ПУ,"Материал: PU + резинка
Размер: 13 СМ


"," Дизайн: форма по макету клиента

Необходимый цвет материала для обвеса уточняется по запросу",500,"3,2","287,6","55-60","3,4","309,8",45-50,"12 200
",15,"25-27",
,,,,1000,"3,0","272,4",,"3,3","295,7",,,,,
,,,,3000,"2,7","238,7",,"2,8","254,5",,,,,
,,,,5000,"2,6","232,8",,"2,8","248,6",,,,,
,Обвес паракорд,"Материал: нейлон, металлический карабин
Размер: 14 см в длину без учета кольца
"," Дизайн: форма по макету клиента

Необходимый цвет материала для обвеса уточняется по запросу",500,"1,4","122,0",65-70,"1,4","129,0",55-60,2800 в стоковых цветах,5,15-17,
,,,,1000,"1,3","120,4",70-80,"1,4","127,4",60-70,,,,
,,,,3000,"1,1","100,7",85-90,"1,2","111,5",75-85,,,,
,,,,5000,"1,0","91,3",,"1,1","101,4",,,,,
 ,Рюкзак,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 40 х 12 х  30 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте", Дизайн: полный кастом по макету клиента,500,"27,9","2598,1",85-90,"30,8","2861,6",75-80,"8 400,00",21,31-33,
,,,,1000,"27,5","2555,6",,"30,31","2819,05",,,,,
,,,,3000,"26,7","2479,6",,"29,41","2735,31",,,,,
 ,Поясная сумка,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 13 х 20 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,500,"9,6","896,9",85-90,"10,52","978,67",75-80,"3 800,00",21,31-33,
,,,,1000,"9,3","868,0",,"10,35","962,8",,,,,
,,,,3000,"9,1","841,7",,"10,04","933,89",,,,,
,Поясная сумка,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 13 х 20 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
+ тафтинг", Дизайн: полный кастом по макету клиента,500,"10,1","941,7",85-90,"11,046","1 027,60",75-80,"3 800,00",21,31-33,
,,,,1000,"9,6","911,4",,"10,86","1 010,90",,,,,
,,,,3000,"9,6","883,8",,"10,54","980,58",,,,,
 ,Чехол для ноутбука,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,500,"16,4","1526,0",85-90,"18,02","1 676,17",75-80,"5 000,00",21,31-33,
,,,,1000,"16,1","1496,5",,"17,71","1646,7",,,,,
,,,,3000,"15,9","1481,2",,"17,54","1631,39",,,,,
,Сумка для аккумулятора,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,500,"5,7","526,3",85-90,"5,94","552,66",75-80,"3 000,00",21,31-33,
,,,,1000,"5,5","510,4",,"5,77","536,79",,,,,
,,,,3000,"5,3","495,1",,"5,61","521,49",,,,,
,Чехол для ноутбука,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн
+ тафтинг", Дизайн: полный кастом по макету клиента,500,"17,2","1602,3",85-90,"18,92","1 759,97",75-80,"5 000,00",21,31-33,
,,,,1000,"16,9","1571,3",,"18,595","1 729,03",,,,,
,,,,3000,"16,7","1555,2",,"18,41","1 712,95",,,,,
