,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Зонт,"Материал: полиэстер, нержавеющая сталь
Размер: 8 спиц, 27 дюймов 
Упаковка: опп-пакет
Примечание от фабрики: чехол, если потребуется +20 руб к стоимости, возможен кастом", Дизайн: печать лого клиента (цифровая печать),500,"11,5","1 085,29 ₽",45-50 календ. дн.,,,,"11 328,91",5 календ. дн. фото+видео - 10-12 календ. дн.,
,,,,,,,,,,,,,
 ,Бейсболка,"Материал: хлопок
Размер: универсальный
Упаковка: опп-пакет
Примечание от фабрики: металлическая застежка", Дизайн: печать лого клиента (вышивка),550,"5,8","537,1",70-75 календ. дн.,,,,"10 191,82","7 календ. дн. фото+видео - 10-12 календ. дн.
",
,,,,,,,,,,,,,
 ,Ручка,"Материал: пластик
Размер: 
Упаковка: нет
Примечание от фабрики: цвет чернил синий, покрытие софт-тач, цвет ручки - фабричный синий", Дизайн: гравирочка лого,8000,"0,4","38,37 ₽",30-35 календ. дн.,,,,"2 820,91","5 календ. дн. фото+видео - 10-12 календ. дн.
",
,,,,,,,,,,,,,
 ,Ручка,"Материал: пластик
Размер: 
Упаковка: фабричная коробочка
Примечание от фабрики: цвет чернил синий, покрытие софт-тач, цвет ручки фабричный синий", Дизайн: гравиновка лого,800,"1,5","143,09 ₽",45-50 календ. дн.,,,,"12 794,86","10 календ. дн. фото+видео - 10-12 календ. дн.
",
,,,,,,,,,,,,,
 ,Ручка,"Материал: пластик
Размер: 
Упаковка: нет
Примечание от фабрики: цвет чернил синий, цвет ручки фабричный синий", Дизайн: печать лого (шелкография),12000,"0,2","16,64 ₽",45-55 календ. дн.,,,,"6 145,56","3 календ. дн. фото+видео - 10-12 календ. дн.
",
,,,,,,,,,,,,,
 ,Дождевик,"Материал: ЭВА
Размер: 120 СМ
Упаковка: ОПП пакет

Плащ дождевик БЕЛЫЙ US Basic Hawaii light с чехлом унисекс (материал EVA, удлинненная модель, рукав реглан, регулировка ширины рукава по низу при помощи кнопки, капюшон с прозрачным козырьком и утягивающим шнуром. Складывается в сумку чехол на кнопках) размер XL-XXL"," Дизайн: по нижнему краю подола нашивка (типа шильда, размер 60х20 мм) из материала синего цвета waterproof (полиэстер) с нанесением логотипа (белого)",500,"7,8","707,9",40-46,,,,8 800,"7 календ. дн. фото+видео - 10-12 календ. дн.
",
,,,,,,,,,,,,,
 ,Футболка оверсайз,"Материал: хлопок 100%
Размер: оверсайз
Упаковка: ОПП пакет
"," Дизайн: DTF печать, выкрас в пантон",500,"16,8","1530,7",65-70,,,,9 100,"10 календ. дн. фото+видео - 10-12 календ. дн.
",
,,,,,,,,,,,,,
 ,Худи петля,"Материал: хлопок 100%
Размер: по макету клиента
Цвет: синий
Упаковка: ОПП пакет
"," Дизайн: DTF печать, выкрас в пантон",200,"37,4","3416,1",65-70,,,,16 700,"10 календ. дн. фото+видео - 10-12 календ. дн.
",
,,,,,,,,,,,,,
 ,Худи премиум с начесом,"Материал: хлопок 80% полиэстер 20%
Размер: по макету клиента
Цвет: синий
Упаковка: ОПП пакет
Плотность: 320гр/м2"," Дизайн: DTF печать, выкрас в пантон",300,"41,6","3793,1",65-70,,,,18 200,"10 календ. дн. фото+видео - 10-12 календ. дн.
",
,,,,,,,,,,,,,
 ,Блокнот,"Материал: PU, бумага
Размер: А5
Упаковка: ОПП пакет

Бизнес -блокнот (серия Color it) для записей (формат А5, цвет синий, искусственная кожа с покрытием soft-touch, 70 г/мкв, блок 256 стр. , недатированный, ляссе/ форзац и срез в цвет обложки)"," Дизайн: блинт лого клиента, выкрас в пантон",3650,"5,1","463,9",40-45,,,,9 000,"3 календ. дн. фото+видео - 10-12 календ. дн.
",
