,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Криомассажер,"Материал: пластик, гель
Вес: 140 гр 
Упаковка: фабричная коробка
Примечание от фабрики: 
Каникулы 20.01 - 10.02"," Дизайн: настройка цвета, логотип шелкография в один цвет",1000,,,,"6,0","639,3",35-40,17 700,7,17-19,
,,,,2000,,,,"5,7","608,3",35-40,,,,
,,,,3000,,,,"5,4","577,9",35-40,,,,
 ,Маска-лифтинг,"Материал: гель
Вес: 12 гр
Упаковка: белый пакет
Примечание от фабрики: 
Каникулы 18.01 - 06.02

Логотип Clarins не может быть напечатан", Дизайн: цветная наклейка на пакете,1000,,,,"0,9","94,2",35-40,2 500,7,17-19,
,,,,2000,,,,"0,8","87,4",35-40,,,,
,,,,3000,,,,"0,8","81,1",35-40,,,,
,"Маска-лифтинг
Набор","Материал: гель
Размер: универсальный
Упаковка: цветная коробка
Примечание от фабрики: 
Каникулы 20.01 - 08.02

Логотип Clarins не может быть напечатан", Дизайн: цветная коробка с логотипом,1000,,,,"6,0","643,6",35-40,--,--,--,
,,,,2000,,,,"5,7","612,6",35-40,,,,
,,,,3000,,,,"5,4","582,2",35-40,,,,
 ,Силиконовый спонж,"Материал: силикон
Размер: 76х76 мм
Упаковка: прозрачный пакет
Примечание от фабрики: 
Каникулы 15.01 - 05.02"," Дизайн: настройка цвета, печать логотипа",1000,,,,"1,4","154,1",30-35,14 200,5,15-17,
,,,,2000,,,,"1,4","147,3",30-35,,,,
,,,,3000,,,,"1,3","141,0",30-35,,,,
 ,Электрическая щеточка,"Материал: пластик, силикон
Размер: 78х75х39 мм
Упаковка: фабричная коробка
Примечание от фабрики: 
Каникулы 19.01 - 07.02

Требуется оформление ДС и СС, примерно 100 тыс.руб., не включено в стоимость"," Дизайн: настройка цвета, печать логотипа",1000,,,,"10,3","1083,8",40-45,11 600,7,17-19,
,,,,2000,,,,"9,7","1022,7",40-45,,,,
,,,,3000,,,,"9,4","992,2",40-45,,,,
 ,Пакет,"Материал: opp+vmpet+pe
Размер: 12х22 см
Упаковка: без индивидуальной упаковки
Примечание от фабрики: 
Каникулы 21.01 - 06.02", Дизайн: печать в 2 цвета,1000,,,,"1,9","192,5",35-40,--,--,--,
,,,,2000,,,,"1,2","128,4",35-40,,,,
,,,,3000,,,,"1,0","107,0",35-40,,,,
 ,Гидрогелевая маска,"Материал: ПВХ, полиэстер, гелевые шарики
Размер: 20*9*1см
Упаковка: OPP пакет
Примечание от фабрики: Каникулы 24.01 - 05.02"," Дизайн:  настройка цвета, шелкография лого",1000,,,,"1,7","179,0",30-35,11 200,5,15-17,
,,,,2000,,,,"1,6","166,0",30-35,,,,
,,,,3000,,,,"1,5","157,0",30-35,,,,
 ,Кисть для макияжа,"Материал: нейлон, металл, дерево
Размер: 20,5*4см
Упаковка: OPP пакет
Примечание от фабрики: Каникулы 20.01 - 07.02
Нанесение лого от 3000шт, настройка цвета от 10000шт"," Дизайн: белый корпус, без кастома",1000,,,,"0,8","84,0",45-50,10 800,9,19-21,
,,,,2000,,,,"0,8","81,0",45-50,,,,
,,," Дизайн: белый корпус, шелкография / УФ печать лого",3000,,,,"0,7","71,0",45-50,,,,
 ,Кисть для макияжа,"Материал: пластик, силикон
Размер: 14,1*2,2см
Упаковка: OPP пакет
Примечание от фабрики:  Каникулы 22.01 - 05.02
Нанесение лого от 3000шт, настройка цвета от 20000шт"," Дизайн: белый корпус, без кастома",1000,,,,"0,2","26,0",35-40,1900 (стоковый),1,11-13,
,,,,2000,,,,"0,2","25,0",35-40,,,,
,,," Дизайн: белый корпус, шелкография лого",3000,,,,"0,2","20,0",35-40,,,,
 ,Маска для сна,"Материал: полиэстер, ВПЭ
Размер: 250*105*25мм
Упаковка: OPP пакет
Примечание от фабрики:  Каникулы 20.01 - 10.02
Фабрика не рекомендует использовать белый цвет, так как он может со временем пожелтеть"," Дизайн: настройка цвета, термотрансфер лого",1000,,,,"6,2","649,0",35-40,32 300,7,17-19,
,,,,2000,,,,"6,0","633,0",35-40,,,,
,,,,3000,,,,"5,9","627,0",35-40,,,,
 ,Маска для сна,"Материал: полиэстер, ВПЭ
Размер: 25,5*10,5см
Упаковка: OPP пакет
Примечание от фабрики: Каникулы 20.01 - 07.02"," Дизайн: настройка цвета, шелкография лого",1000,,,,"4,7","495,0",40-45,8 400,6,16-18,
,,,,2000,,,,"4,5","479,0",40-45,,,,
,,,,3000,,,,"4,4","464,0",40-45,,,,
