,"Менеджер: Шубина Дарья
Email: daryashu@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Новогодняя елка с игрушками на липучках,"Материал: фетр
Размер: 102*68 см
Упаковка: заводская упаковка
Примечание от фабрики: "," Дизайн: 3 фигурки мобильного телефона по макету клиента, инструкция на русском языке",7700,"6,4","563,9",60-65,,,,6 000,8,18-20,
,,,,,,,,,,,,,,
 ,"Мягкая ледянка

(Указана примерная стоимость, точная после изготовления образца)","Материал: оксфорд, ПВХ, вспененный полиэтилен
Размер: диаметр 35 см
Упаковка: заводская упаковка
Примечание от фабрики: 

", Дизайн: изготавливается индивидуально по макету клиента,7700,"7,1","640,7",65-70,,,,13 500,10,20-22,
,,,,,,,,,,,,,,
 ,Настольная беспроводная лампа с usb-проводом в комплекте,"Материал: пластик
Размер: 10*10,5*36 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн:инструкция на русском языке,7700,"6,4","572,0",50-55,,,,4 000,7,17-19,
,,,,,,,,,,,,,,
 ,"Спортивная сумка

(указана примерная стоимость, точная после изготовления образца)","Материал: оксфорд 420D
Размер: 40*20 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: по тз клиента,7700,"32,5","2879,5",105-110,,,,35 500,15,25-27,
 ,Подарочный мешок,"Материал: Хлорированный полиэтилен
Размер: 18*28 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: печать клиента,7700,"0,6","51,7",52-57,,,,71 500,17,27-29,
