,"Менеджер: Стародумова Ксения
Email: ksenias@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Набор чайный,"Материал: керамика
Размер: чашки 45 мл, чайник 220 мл
Упаковка: упаковка в подарочную коробку и подарочный пакет
", Дизайн: шелкография логотипа на подарочной коробке и подарочном пакете,22,"41,0","4104,0",35-40 календарных дней,,,,"4 630,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,Набор кофейный,"Материал: нержавеющая сталь, стекло
Размер:  кофейник 300 мл, чайник 600 мл
Упаковка: в корбку и подарочный пакет
", Дизайн: УФ-печать логотипа на коробке и подарочном пакете,22,"104,0","10367,0",40-45 календарных дней,,,,"22 000,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,Настенные часы,"Материал: акрил
Размер: 30*30 см
Упаковка: упаковка в индивидуальную коробку
",Дизайн: УФ-печать логотипа на часах,22,"16,0","1592,0",35-40 календарных дней,,,,"6 000,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,Лампа настольная,"Материал: металл
Размер: 26*28 см
Упаковка: упаковка в индивидуальную коробку
", Дизайн: наклейка на подставке лампы,22,"51,6","5109,0",35-40 календарных дней,,,,"18 335,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
,Поднос для сервировки,"Материал: древесина
Размер: 40*40 см
Упаковка: без индивидуальной упаковки
 "," Дизайн: черный цвет, шелкография логотипа",22,"19,5","1990,0",35-40 календарных дней,,,,"6 130,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,"Набор подарочный: термос, массажер для шеи, портативная зарядка","Материал: пластик, нержавеющая сталь
Характеристики: павербанк 10000 мАч, термос с экрано, оторбажающим уровень температуры напитка
Упаковка: упаковка в подарочную коробку и подарочный пакет
"," Дизайн: печать логотипа на подарочной коробке и подарочном пакете; доступные цвета: черный, белый, розовый.",22,"51,1","5282,0",35-40 календарных дней,,,,"16 265,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,Часы настенные,"Материал: акрил
Размер: 323*435 мм
Упаковка: упаковка в индивидуальную коробку
",Дизайн: шелкография логотипа на часах,22,"28,0","2805,0",35-40 календарных дней,,,,"11 837,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,Упаковочная коробка,"Материал: бумага
Размер: размер зависит от выбранного набора
Примечание от фабрики: цена зависит от дизайна", Дизайн: дизайн зависит от выбранного набора и пожеланий клиента,22,"30,9","3000,0",35-40 календарных дней,,,,Цена зависит от дизайна и размера упаковки,12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
, Лампа настольная,"Материал: стекло, древесина
Размер: 15*12*19см
Упаковка: упаковка в индивидуальную корбку
",Дизайн: Наклейка логотипа на боковой стороне лампы,22,"44,0","4405,0",35-40 календарных дней,,,,"14 050,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,часы настенные,"Материал: металл, древесина
Размер: 50 см
Упаковка: упаковка в индивидуальную коробку
", Дизайн: гравировка логотипа на деревянной дощечки в нижней части часов,22,"59,0","5846,0",35-40 календарных дней,,,,"17 350,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,Камин портативный,"Материал: нержавеющая сталь, стекло, декоративные камушки
Размер: 16*27
Упаковка: упаковка в индивидуальную коробку
Примечание от фабрики: нанесение логотипа невозможно
Необходима декларация соответствия", Дизайн: без нанесения,22,"60,0","6170,0",35-40 календарных дней,,,,"14 050,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,Брелок ручной работы из натурального меха,"Материал: мех норки
Упаковка: в ОПП пакет
","Дизайн: без нанесения; доступные цвета - бежевый, белый, серый",44,"22,3","2213,0",35-40 календарных дней,,,,"4 520,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,Брелок из натуральной кожи,"Материал: натуральная кожа
Размер: 16.5*6.5cm
Упаковка: без индивидуальной упаковки
",Дизайн: бронзирование логотипа на натуральной коже,44,"28,0","2724,0",40-45 календарных дней,,,,"7 455,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,Очиститель воздуха,"Материал: металл, пластик
Размер: 29*29*61 см
Упаковка: упаковка в индивидуальную коробку
Необходима декларация соответствия",Дизайн: печать логотипа шелкографией,22,"294,0","30483,0",40-45 календарных дней,,,,"55 243,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
 ,Плед,"Материал: шерсть
Размер: 180*200
Упаковка: упаковка в ОПП пакет
Необходима декларация соответствия",Дизайн: без нанесения,22,"64,0","6373,0",35-40 календарных дней,,,,"15 480,00",12-14 календарных дней (фото и видео); 12-14 календарных дней (доставка в Москву),
