,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,,,,,,,,,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ЖД ($.):,Цена за шт. ЖД (руб.):,Срок жд,Цена за шт. Авиа ($.):,Цена за шт. Авиа (руб.):,Срок авиа ,комментарии,Образец кастом ,Срок образца,Образец сток ,Срок образца,Комментарий по образцам,Фото , 
,,,,,,,,,,,,,,,,,
,Лента для телефона,"Материал: основная лента - репсовая лента 22 мм, выкрашеная в пантон 199 С, длина 140 см. Дополнительная лента - стропа 20 мм, полиэфир, выкрашеная в пантон 199 С. Фурнитура: карабин пластиковый треугольный - 2 штуки, пряжка-регулятор пластиковая - 1 шт, держатель пластиковый - 2 штуки, карабин 56*85 мм - 1 штука, держатель в чехол 1 штука, карабин металлический 1 штука Размер: 2х90 см; Нанесение: Бирка из хлопка, видимая часть 10*20 мм, термотрансфер 4+0.",1000,"3,51","323,22",40-45,"3,88","356,96",30-35,,14400,21-26 дней,,,Макет делает фабрика после предоставления тех задания и файлов нанесения,,
,,,2000,"3,4","312,85",45-50,"3,77","346,59",35-40,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Беспроводные наушники VIP,"Зарядный чехол
Кабель для зарядки USB-C
Нанесение:  цветная печать
Фабричная коробка",1000,"10,49","964,69",40-45,"10,8","993,84",30-35,,6100,15-18,2600,12-15,Максимальный размер гравировки на кейсе 30*11 мм,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Чехол,"Материал: силикон
Размер под кейс для наушников
Нанесение логотипа 1 цвет
Цвет близкий к пантону
Упаковка: индивидуальный пакетик",1000,"1,54","141,93",40-45,"1,65","151,65",30-35,,166000,22-25,1800,12-15,Необходимо открывать молд под размер кейса наушников,,
,Бутылка для воды из тритана,"Материал: тритан
Емкость: 500 мл;
Размер: d6,5 х 23,2 см
Нанесение: УФ-печать с подъемом 4+4;
Упаковка: Индивидуальная фирменная коробка + шубер (бумага мелованная, матовая, печать 4+0) / брендированная коробка из картона, печать 4+0;                         КАСТОМ ОТ 1000ШТ (В НАЛИЧИИ НЕТ, ВСЕ ПРОИЗВОДСТВО)",1000,"8,45","777,33",55-60 дней ,"9,2","846,4",50-55 дней ,,"20977,49","кастом  уф печать - 20-25 дней (7 дней фото )




","2578,85","стоковый - 12-15 дней




","стоковая бутылка етсть черная матовая 1000мл, 500мл есть голубой и розовый цвет. У бутылки с двух сторон есть выпуклые части, на них не получится нанестти печать, только по центру сзади/спереди.Также есть полностью ровные бутылки, на них можно сделать например круговую печать. Размер нанесения на бутылку как желтая (500мл) - высота 14 ширина 7. Размер нанесения на бутылку как черная (500мл) - высота 15 ширина по кругу 20см. Цена с кастомом коробки ",,
,,,3000,"8,05","740,22",60-65 дней ,"8,78","807,46",55-60 дней ,,,,,,,,
,,,5000,"8,4","772,98",65-70 дней ,"8,37","769,66",60-65 дней ,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Стакан пластиковый с запечаткой 100% c крышкой,Материал: PP пластик Размер: 47*54*12 мм Объем: 350 млЗапечатка 4+0,1000,"1,7","156,2",40-50 дней ,"1,9","173,3",30-40 дней ,,19100,21-26 дней,2300,12-15 дней,исходник для визуала в задаче,,
,,,5000,"1,5","133,5",,"1,6","150,8",,,,,,,,,
,,,10000,"1,3","122,8",50-55 дней ,"1,5","139,9",40-45 дней ,,,,,,,,
,,,20000,"1,3","114,7",,"1,4","131,9",,,,,,,,,
,,,50000,"1,2","109,4",,"1,4","126,6",,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Бутылка для воды из тритана А5,Материал: тритан,3001 и более из тритана кастом,"12,25","1127,44",55-60 дней,"12,79","1176,24",45-50 дней,"согласно тз, упаковка брендированная коробка из картона, печать 4+0;","очень дорогой образец из тритана индивидуальный дизайн, открытие формы от 3000 штук",,,,,,
