,"Менеджер: Эмина Арина
Email: arinae@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Караоке 1 тип,"Материал: пластик
Размер: 16,8*13,9*17,1 см
Упаковка: индивидуальная упаковка в заводскую коробку (19,2*15,7*7,2 см)
Примечание от фабрики: 
- версия Блютуз 5.3
- емкость аккумулятора 3000мАч
- компелктация: инструкция, зарядка (кабель) Type-C, 1 динамик, 2 микрофона
- цвет в наличии: черный/белый ", Дизайн: нанесение монохромного лого (шелкография),1100,"59,8","5500,8",40-50,"64,88","5968,54",30-40,"18 500,00",17-19,
 ,Караоке 2 тип,"Материал: пластик
Размер: 18*16*18,5 см
Упаковка: индивидуальная упаковка в заводскую коробку
Примечание от фабрики: 
- версия Блютуз 5.0
- емкость аккумулятора 2400мАч
- компелктация: инструкция, два кабеля (для зарядки и для подключения), 1 динамик, 2 микрофона
- цвет в наличии: черный/золотой/белый
- могут сделать инструкцию на русском"," Дизайн: нанесение монохромного лого (шелкография)

Можно сделать индивидуальную подарочну коробку, это прибавит примерно 100-150 рублей к цене и несколько дней к срокам",1100,"57,0","5242,7",50-55,"61,74","5679,86",40-45,"13 500,00",17-19,
,,," Дизайн: без нанесения лого

Можно сделать индивидуальную подарочну коробку, это прибавит примерно 100-150 рублей к цене и несколько дней к срокам",1100,"56,2","5167,7",25-32,"60,92","5604,9",15-22,"8 500,00",10-12,
 ,Караоке 3 тип,"Материал: пластик
Размер: 19,5*17*31,5 см
Упаковка: индивидуальная упаковка в заводскую коробку
Примечание от фабрики: 
- версия Блютуз 5.0 (дистанция 10 м)
- емкость аккумулятора 2000мАч
- компелктация: инструкция, кабели для зарядки и подключения, 1 динамик, 2 микрофона
- цвет в наличии: красный/желтый/синий
- могут сделать инструкцию на русском"," Дизайн: нанесение монохромного лого (шелкография)

Можно сделать индивидуальную подарочну коробку, это прибавит примерно 120-170 рублей к цене и несколько дней к срокам",1100,"100,9","9285,0",50-55,"108,93","10021,71",40-45,"16 500,00",17-19,
,,," Дизайн: без нанесения лого

Можно сделать индивидуальную подарочну коробку, это прибавит примерно 120-170 рублей к цене и несколько дней к срокам",,"100,7","9260,0",25-32,"108,66","9996,72",15-22,"14 000,00",10-12,
 ,Караоке 4 тип,"Материал: пластик
Размер: 15,5*17,5*33 см
Упаковка: индивидуальная упаковка в заводскую коробку
Примечание от фабрики: 
- версия Блютуз 4.2 
- емкость аккумулятора 2000мАч
- компелктация: инструкция, кабели для зарядки и подключения, 1 динамик, 2 микрофона
- цвет в наличии: золотой/черный
- могут сделать инструкцию на русском"," Дизайн: нанесение монохромного лого (шелкография)

Можно сделать индивидуальную подарочну коробку, это прибавит примерно 120-170 рублей к цене и несколько дней к срокам",1100,"114,8","10557,5",50-55,"123,85","11394,04",40-45,"17 500,00",17-19,
,,," Дизайн: без нанесения лого

Можно сделать индивидуальную подарочну коробку, это прибавит примерно 120-170 рублей к цене и несколько дней к срокам",,"114,5","10532,5",25-32,"123,58","11369,06",15-22,"15 500,00",10-12,
 ,Караоке 5 тип,"Материал: пластик
Размер: 21*23,2*21 см
Упаковка: индивидуальная упаковка в заводскую коробку
Примечание от фабрики: 
- версия Блютуз 5.0
- емкость аккумулятора 3000мАч
- компелктация: инструкция, кабели для зарядки и подключения, 1 динамик, 2 микрофона
- цвет в наличии: золотой с деревом/черный с деревом
- могут сделать инструкцию на русском"," Дизайн: нанесение монохромного лого (шелкография)

",1100,"140,3","12909,7",55-60,"152,64","14043,12",45-50,"21 500,00",30-32,
,,," Дизайн: без нанесения лого

",,"139,8","12859,7",25-32,"152,1","13993,16",15-22,"19 000,00",10-12,
 ,Караоке 6 тип,"Материал: пластик
Размер: 30*12*20 см
Упаковка: индивидуальная упаковка в заводскую коробку
Примечание от фабрики: 
- версия Блютуз 5.0 
- емкость аккумулятора 3000мАч
- компелктация: инструкция, кабели для зарядки и подключения, 1 динамик, 2 микрофона
- цвет в наличии: черный/белый/коричневый
- могут сделать инструкцию на русском"," Дизайн: нанесение монохромного лого (шелкография)

",1100,"113,5","10441,1",50-55,"124,05","11412,58",40-45,"19 000,00",17-19,
,,," Дизайн: без нанесения лого

",,"113,2","10416,1",25-32,"123,78","11387,6",15-22,"16 000,00",10-12,
,Караоке ,"Материал: пластки 
Упаковка - инд коробка 
Два микрофона ",Печать в 1 цвет ,1300-1500,"45,6","4190,7",50-55,"48,39","4451,51",45-50,15000,17-22,
,Караоке ,"Материал: пластки 
Упаковка - инд коробка 
Два микрофона ",Печать в 1 цвет ,1300-1500,"39,0","3589,2",50-55,"42,16","3879,02",45-50,15000,17-22,
,Караоке ,"Материал: пластки 
Упаковка - инд коробка 
Два микрофона ",Печать в 1 цвет ,1300-1500,"36,5","3355,0",50-55,"39,62","3644,8",45-50,15000,17-22,
