,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,Бутылка с магсейф кольцом,"Материал: нержавеющая сталь
Размер: 245*80 мм
Упаковка: фабричная инд коробка 255*85 мм
Цвет: черный / металл", Дизайн: сток,700,-,-,-,"12,5","1060,3",22-27,5 000,1,11-13,
,,, Дизайн: печать / гравировка лого,700,-,-,-,"13,4","1134,9",25-30,8 000,5,15-17,
,Чехол для очков,"Материал: силикон
Размер: 15*12*2 см
Упаковка: опп
Цвет: см. фото", Дизайн: сток,300,-,-,-,"3,6","302,8",18-22,3 000,2,12-14,
,,,,,,,,,,,,,,
,Чехол для очков,"Материал: силикон
Размер: 175*75*35мм
Упаковка: опп
Цвет: см. фото + можно настроить 
Примечание от фабрики: 
Цвет шнурка можно выбрать из раскладки фабрики (см.доп.фото)", Дизайн: сток,300,-,-,-,"4,9","412,9",18-22,3 000,2,12-14,
,,, Дизайн: печать лого (шелкография) + выкрас в цвет Пантон  + цвет шнурка можно выбрать из раскладки фабрики ,300,-,-,-,"5,2","442,1",25-30,8 000,7,17-19,
,Чехол для очков,"Материал: силикон
Размер: 175*75*35мм
Упаковка: опп
Цвет: см. фото + можно настроить 
Примечание от фабрики: 
Цвет шнурка может быть зелёный, красный, синий, жёлтый ", Дизайн: сток,300,-,-,-,"4,9","412,9",18-22,3 000,2,12-14,
,,, Дизайн: печать лого (шелкография) + выкрас в цвет Пантон ,300,-,-,-,"5,2","442,1",25-30,8 000,7,17-19,
,"Чехол для очков
новый просчёт","Материал: силикон
Размер: 175*75*35мм
Упаковка: опп
Цвет: серый (стоковый) 
Примечание от фабрики: 
Цвет шнурка см.фото", Дизайн: стоковый серый цвет чехла + шнур (цвет из стока) + молния (цвет по Пантону) + Уф-печать/шелкография,400,-,-,-,"5,4","461,6",25-30,8 000,7,17-19,
,,,,,,,,,,,,,,
,"Чехол для очков
ИТОГОВЫЙ ПРОСЧЁТ","Материал: силикон
Размер: 175*75*35мм
Упаковка: опп
Цвет: серый (стоковый) 
Примечание от фабрики: 
Цвет шнурка см.фото", Дизайн: стоковый серый цвет чехла + шнур (оранжевый цвет из стока) + молния (оранжевый цвет) + печать в 1 цвете лого по макету клиента,400,-,-,-,"6,3","538,6",25-31,8 000,7,17-19,
