,"Менеджер: Авагян Кристина
Email: kristinaa@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,маска для сна,"материал: искусственный шелк
печать логотипа: шелкография/ вышивка
размер: 20*10 см
 упаковка:одинарный полипропилен, 10 шт. в  упаковке
доступно множество цветов на выбор",500,"печать лого:1,53
вышивка лого:1,7","печать лого:140 
вышивка лого:151,64 ",,7130,,
,маска для сна,"материал: искусственный шелк
печать логотипа : шелкография/ вышивка
размер: 20*10 см
 упаковка:одинарный полипропилен, 10 шт. в  упаковке
доступно множество цветов на выбор",1000,"печать лого:1,27
вышивка лого:1,42","печать лого:117 
вышивка лого: 126,5",45-50 календ дней,7130,7-10 календ дней фото/видео 12-14 календ дней доставка до Москвы,
,маска для сна,"
материал: хлопок
печать логотипа: шелкография/ вышивка
размер: 20*10 см
 упаковка:одинарный полипропилен, 10 шт. в  упаковке
доступно множество цветов на выбор",500,"печать лого: 2
вышивка лого:2,23","печать лого: 183 
вышивка лого: 198,5",45-50 календ дней,7130,7-10 календ дней фото/видео 12-14 календ дней доставка до Москвы,
,маска для сна,"материал: хлопок
печать логотипа: шелкография / вышивка
размер: 20*10 см
 упаковка:одинарный полипропилен, 10 шт. в  упаковке
доступно множество цветов на выбор",1000,"печать лого: 1,86
вышивка лого: 2,01","печать лого: 170
вышивка лого: 178,6",45-50 календ дней,7130,7-10 календ дней фото/видео 12-14 календ дней доставка до Москвы,
,маска для сна с паровым горячим компрессом для массажа глаз,"материал: ткань La Mer с вышивкой или лайкра для термопечати
размер: 26*10,8*2,5 см
вес: 67 гр маска 44 гр батарея
разъем: Type-C
 упаковка: цветная картонная коробка
цвета: черный, желтый, зеленый

Функция: массаж, горячий компресс, три уровня регулировки температуры, 4 уровня вибрации, голосовое сопровождение на английском языке",500,"вышивка: 21
термопечать: 20,72","вышивка: 1868
термопечать: 1844",60-70 календ дней,80360,25 календ дней фото/видео 12-14 календ дней доставка до Москвы,
,маска для сна с паровым горячим компрессом для массажа глаз,"материал: ткань La Mer с вышивкой или лайкра ледяной шелк
с термопечатью
размер: 26*10,8*2,5 см
разъем: Type-C
вес: 67 гр маска 44 гр батарея

 упаковка: цветная картонная коробка

цвета: черный, желтый, зеленый

Функция: массаж, горячий компресс, три уровня регулировки температуры, 4 уровня вибрации,  голосовое сопровождение на английском языке",1000,"вышивка: 20,3
термопечать:20,06","вышивка: 1806
термопечать: 1785,3",60-70 календ дней,80360,26 календ дней фото/видео 12-14 календ дней доставка до Москвы,
,маска для сна с наушниками,"материал: хлопок, полиэстер, нейлон
Версия Bluetooth: 5,3 
Размер цветной коробки: 24*11*2,5 
Расстояние передачи Bluetooth: 10 м 
Канал наушников: стерео (2.0) 
Время воспроизведения музыки: 10 часов на средней громкости 
Сопротивление динамика: 32 Ом 
Емкость аккумулятора: 150 мА/ч 
Мощность аккумулятора: 0,55 Вт",500,"вышивка: 11,48
","вышивка: 1021,5",45 -55 календарных дней,7385,5-10 фото/видео 12-15 кд доставка до Москвы,
,маска для сна с наушниками,"материал: Хлопок, полиэстер, нейлон 
Версия Bluetooth: 5,3 
Размер цветной коробки: 24*11*2,5 
Расстояние передачи Bluetooth: 10 м 
Канал наушников: стерео (2.0) 
Время воспроизведения музыки: 10 часов на средней громкости 
Сопротивление динамика: 32 Ом 
Емкость аккумулятора: 150 мА/ч 
Мощность аккумулятора: 0,55 Вт",1000,вышивка: 10,"вышивка: 891,3",45 -55 календарных дней,7385,5-10 фото/видео 12-15 кд доставка до Москвы,
,подушка для путешествий,"материал: эластичный лавсан
наполнитель: пена с эффектом памяти
размер:26*33 см
логотип: вышишвка
Упаковка - мешок OPP",1000,"8,34","742,0",40 -50 календарных дней,8009,5-10 фото/видео 12-15 кд доставка до Москвы,
,подушка для путешествий со своим мешком,"материал: бархат
наполнитель: пена с эффектом памяти
размер:26*33 см
логотип: вышишвка
упаковка в пакете OPP (30*30*10 см)
Упаковка сумки на шнурке (15*14*13 см)
цвета: черный, темно-серый, темно-синий, розовый",1000,"8,86","788,4",45 -55 календарных дней,15912,7-10 фото/видео 12-15 кд доставка до Москвы,
,подушка для путешествий со своим мешком,"материал: бархат + хлопковый наполнитель из ПП.
размер: 28*28*10 см
цвета: красный, зеленый, коричневый, бежевый,черный, розовый, желтый",1000,"7,73","687,8",55-65 календарных дней,8009,7-10 фото/видео 12-15 кд доставка до Москвы,
