,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Пушистая панама,"Материал: плюш
Цвет: белый, чёрный, бежевый
Размер: М (56-58см)
Внутри прокладка, сохраняющая тепло

Взрослая модель
Кастом: замена цвета или печать лого на бирке",500,"5,69","531,68",,"8475,51",,
,Шапка с углами-ушками,"Материал: плюш
Цвет: белый, чёрный, бежевый, коричневый

Взрослая модель
Кастом: замена цвета или вышивка лого",500,"7,48","698,93",,"8634,41",,
,Пушистая шапка,"Материал: хлопок (вязка)
Цвет: см. доп. фото
Тянущийся материал

Взрослая модель
Кастом: замена цвета или вышивка лого на бирке на шапке",300,"6,11","571,58",,"6222,94",,
,Наушники меховые,"Материал: плюш+ искуственный мех
Цвет: коричневый
Вес примерно: 75 гр.
Нанесение: печать
Взрослая модель",500,"3,38
3,68","304,44
331,37","50-55 кд
40-45 кд","12 803,04 ₽","10 кд - фото+видео
+10 кд - доставка",
,Наушники меховые,"Материал: ткань+ искуственный мех
Цвет: коричневый
Нанесение: вышивка с 2-х сторон
Взрослая модель",1000,"4,1","372,6",40-45 кд,"13 915,06 ₽","10 кд - фото+видео
+10 кд - доставка",
,Наушники меховые,"Материал: акрил+ искуственный мех
Цвет: коричневый
Нанесение: вышивка с 2-х сторон
Взрослая модель",1000,"5,1","457,3",40-45 кд,"13 915,06 ₽","10 кд - фото+видео
+10 кд - доставка",
,Наушники меховые,"Материал: искуственный мех
Цвет: коричневый
Нанесение: тканевая бирка
Взрослая модель",1000,"3,8","338,2",40-45 кд,"13 915,06 ₽","10 кд - фото+видео
+10 кд - доставка",
,Наушники меховые,"Материал: искуственный мех
Цвет: коричневый
Нанесение: печать логотипа
Взрослая модель",500,"12,3","1109,8","21-28 кд - только производство
+25-30 кд - доставка","10 638,12 ₽","7-10 кд - фото+видео
+10 кд - доставка",
,Шапка детская с шарфом,"Материал: ткань
Цвет: красный, голубой, белый, розовый, жёлтый
Нанесение: тиснение лого на кожзам бирке
Детская модель
Образец не делают",500,"6,28","587,19",,,,
,Десткая шапка с ушками,"Материал: плюш
Цвет: синий, красный, жёлтый,розовый
Нанесение: печать логотипа на бирке
Детская модель",500,"7,87","735,69",,"9111,10",,
,Шапка семейная,"Материал: ткань
Цвет: белый, бежевый, коричневый, розовый, красный, жёлтый, серый, чёрный
Нанесение: печать логотипа на пу бирке
Взрослая модель",300,"3,45","322,14",,"3970,37",,
,,"Материал: плюш
Цвет: белый, бежевый, коричневый, розовый, красный, жёлтый, серый, чёрный
Нанесение: печать логотипа на пу бирке
Детская модель",300,"3,33","311,20",,,,
