,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Пакет ,"Материал:  картон 250гр
Размер:  450х300х100мм

",Брендирование: дизайн и цвет клиента  (как в тз),2000,"1,5","141,6",40-45 дней ,"2,14","196,64",35-40 дней,"3898,72  (каждый размер)",15-20 дней (5-7 дней фото/видео),
,,,,2500,"1,0","93,0",,"1,39","127,44",,,,
,,Материал: картон 250гр Размер: 350х450х100мм,,2000,"1,63","150,35",,"2,23","205,4",,,,
,,,,2500,"1,52","139,56",,"2,12","194,62",,,,
,,Материал: картон 250гр Размер: 350х250х80мм,,2000,1,"92,33",,"1,38","126,73",,,,
,,,,2500,"1,61","147,79",,"2,2","202,85",,,,
 ,Календарь,"Материал:  картон 180гр
Размер: 84×36
",Брендирование: дизайн и цвет клиента  (как в тз),2000,"6,4","587,4",45-50  дней ,"8,25","759,44",40-45  дней,"9 052,48",15-20 дней (5 дней фото/видео),
,,,,2500,"6,3","579,3",,"8,17","751,3",,,,
 ,Картхолдер ,"Материал:  кож зам
Размер: 10×8
","Брендирование: синий цвет по карте цветов фабрики, тиснение 1 цвет ",2000,"1,0","93,2",45-50  дней ,"1,1","100,9",40-45  дней,"5 185,10",15-20 дней (5 дней фото/видео),
,,,,2500,"1,0","95,7",,"1,13","103,7",,,,
 ,Чехол для карты+лента ,"Материал:  кож зам, лента. - нейлон
Размер: лента - 51х2, чехол - 79*111
","Брендирование: выкрас в пантон, шелкография 1 цвет ",2000,"2,7","251,6",45-50  дней ,"2,94","270,18",40-45  дней,"5 944,10",15-20 дней (5 дней фото/видео),
,,,,2500,"2,8","258,8",,"3,02","277,95",,,,
 , Ручка,"Материал:  пластик
Размер: длина 144мм","Брендирование: белая ручка, лого 2 цвета (как в тз)",2000,"0,7","68,4",45-50  дней ,"0,81","74,64",40-45  дней,"3 629,84",15-20 дней (5 дней фото/видео),
,,,,2500,"0,8","70,0",,"0,83","76,38",,,,
 ,Карандаш,"Материал:  дерево
Размер: длина 19см","Брендирование: белый карандаш, лого 1 цвета (как в тз)",2000,"0,2","20,0",45-50  дней ,"0,24","22,54",40-45  дней,"5 794,03",15-20 дней (5 дней фото/видео),
,,,,2500,"0,2","20,4",,"0,25","23,03",,,,
 ,Ежедневник,"Материал:  обложка - кож зам, листы - бумага
Размер: 150х210,  256 стр","Брендирование: синяя обложка по цветам от фабрики, тиснение на обложке (как в тз)",2000,"5,7","525,2",45-50  дней ,"7,45","685,72",40-45  дней,"4 836,67",15-20 дней (5 дней фото/видео),
,,,,2500,"5,9","540,4",,"7,67","705,72",,,,
 ,Шапка,"Материал:  акрил 
Размер: ","Брендирование: цвет можно выьрать из раскладки от фабрики, цифровая печать симолики Министерства ",200,"13,2","1217,9",60-65  дней ,"13,56","1247,48",50-55 дней,"11 112,76",20-25  дней (7дней фото/видео),
,Шарф,"Материал:  акрил 
Размер: 170х90","Брендирование: цвет можно выьрать из раскладки от фабрики, цифровая печать симолики Министерства ",200,"24,4","2239,8",,"25,09","2308,31",,"11 112,76",,
,Коробка,"Материал:  картон 210гр
Размер: 50 длина 45 высота ",Брендирование: коробка синего цвета ,200,"34,5","3174,7",40-45 дней ,"45,73","4206,97",35-40 дней ,"16397,26",15-20 дней (3 дня фото/видко ),
,Плед ,"Материал:  30% шерсть 70: акрил 
Размер: 130х170","Брендирование: ресунок и цвет по тз клиента , текстильная бирка с лого ",200,"24,7","2270,7",60-65 дней,"27,99","2575,22",50-55 дней ,"24823,96",20-25  дней (7дней фото/видео),
 ,"Игра ""Крокодил""","90 карточек в коробке, размер карточке 80х100мм, размер коробки 130х130мм                                                 Материал:  картон ",Брендирование: рисунок и цвет по тз клиента ,200,"12,9","1185,5",60-65 дней,"14,19","1305,94",50-55 дней ,"23698,42",20-25  дней (7дней фото/видео),
