,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,ПЗУ Havit PB5217,"Материал: алюминиевый сплав+силикон
Емкость: 10000mAh/3.7V/37Wh              
Вход: 
USB-C: 5.0V/3.0A, 9.0V/2.0A(18W)
Выход: 
USB-C: 5.0V/3.0A, 9V/2.22A, 12V/1.67A(20W)
Беспроводной выход: 15 Вт (совместим с 10 Вт, 7,5 Вт и 5 Вт)
Размер: 104*63*16 мм
Вес: 197 г±5 г
Цвета: черный, серый, фиолетовый
Упаковка: в эту цену можно закастомить коробку

маркировка входит в стоимость"," Дизайн: печать лого на лицевой (примерно 25*5 мм) / обратной стороне (примерно 30*10 мм) + кастом инд коробочки 

кастом цвета от 3000 шт ",1400,"21,6","1834,0",60-65,только карго,только карго,только карго,"сток 3500

сигнал 6800","1

9","11-13

19-21",
 ,ПЗУ Havit PB5216,"Материал: алюминиевый сплав+силикон
Емкость: 5000mAh/3.7V/37Wh              
Вход: 
USB-C: 5.0V/3.0A, 9.0V/2.0A(18W)
Выход: 
USB-C: 5.0V/3.0A, 9V/2.22A, 12V/1.67A(20W)
Беспроводной выход: 15 Вт (совместим с 10 Вт, 7,5 Вт и 5 Вт)
Размер: 104*63*16 мм
Вес: 130 г±5 г
Цвета: черный, серый, фиолетовый
Упаковка: в эту цену можно закастомить коробку

маркировка входит в стоимость"," Дизайн: печать лого на лицевой (примерно 25*5 мм) / обратной стороне (примерно 30*10 мм) + кастом инд коробочки 

кастом цвета от 3000 шт ",1400,"19,7","1670,2",60-65,только карго,только карго,только карго,"сток 3500

сигнал 6800","1

9","11-13

19-21",
 ,Увлажнитель воздуха с эффектом пламени с функцией часов и колонки,"Материал: ABS + PP
Размер: 283*112*135 мм
Упаковка: индивидуальная коробка 300*130 * 150 мм
Цвет: выкрас в цвет, близкий к цвету клиента (сток - белый, черный, серый)
Вес: 1кг
Объем: 400 мл
Инструкция на русском языке

Функции:
Увлажнение + ароматизация воздуха + ночник+ часы / будильник + bluetooth

маркировка входит в стоимость", Дизайн: печать лого на лицевой стороне (примерно 100*50 мм) + кастом индивидуальной коробки ,1400,"28,8","2450,9",45-50,"33,0","2801,5",35-40,"сток 3500

сигнал 6800","1

9","11-13

19-21",
,Увлажнитель воздуха с эффектом пламени,"Материал: ABS + PP
Размер: 150*104*66 мм
Упаковка: фабричная коробка
Примечание от фабрики: в комлект входит кабель для зарядки, 7 цветов пламени, свет переключается кнопками
Цвет: белый", Дизайн: нанесение логотипа шелкография (примерно 100*50 мм),1400,"17,9","1519,7",45-50,"20,6","1747,6",35-40,"сток 3500

сигнал 10000","1

10","11-13

19-21",
 ,Дождевик,"Материал: EVA            
Размер: длина - 114 см, длина капюшона - 30 см, длина рукова - 72 см
Вес: 150 г± 5 г
Цвета: желтый, фиолетовый, синий, розовый
Упаковка: опп-пакет 





маркировка входит в стоимость","Дизайн: печать лого на лицевой стороне (примерно 5х5 см), обратной (примерно 5х5 см), кастом картонной подложки входит в стоимость",1600,"2,7","229,0",45-50,"3,3","276,7",35-40,"сток 2000

сигнал 12000","1

10","11-13

20-22",
 ,Грелка для рук,"Материал: абс, авиационный алюминий
Емкость: 2500 mAh/3.7V/37Wh              
Вход: 
USB-C: 5.0V/1.0A
Выход: 
USB-C: 5.0V/1.0A
Режимы работы: 3 режима (40/50/60 градусов цельсия)
Размер: 104*62*29,57 мм
Вес: 113 г± 5 г
Цвета: черный, белый, розовый, зеленый


маркировка входит в стоимость"," Дизайн: печать лого на лицевой (примерно 25*5 мм) / обратной стороне (примерно 30*10 мм) 

кастом коробки от 3000 шт ",1600,"8,1","684,5",35-40,только карго,только карго,только карго,"сток 2300

сигнал 3800","1

2","11-13

15-16",
,Грелка для рук - ПЗУ,"Материал: абс, авиационный алюминий
Емкость: 5000 mAh/3.7V/37Wh              
Режимы работы: 60 градусов цельсия
Размер: 102*59.5*24 мм
Вес: 130 г
Цвета: см фото


маркировка входит в стоимость

Наценка 1,43"," Дизайн: печать лого на лицевой (примерно 25*5 мм)
+ кастом коробки",1600,"7,0","592,0",45-50,только карго,только карго,только карго,"сток 2300

сигнал 3800","1

5","11-13

17-19",
 ,Подушка-плед,"Материал: флис           
Размер: подушка - 40х40 см, плед - 100х150 см
Вес: 350 г± 10 г
Упаковка: опп-пакет
Цвета: красный, желтый, черный, синий, зеленый




маркировка входит в стоимость


Наценка 1,38","Дизайн: нанесение логотипа на подушку и плед (офсетная печать,примерно 5х10 см) ",1600,"7,0","596,41",60-65,"8,2","699,2",50-55,"образец только по сигнальному

сигнал 23000

образец ткани

 2500","1

10","11-13

20-22",
