,"Менеджер: Марковская Злата
Email: zlata@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Ветровка,"Материал: противоветровый полиэстер
Размер: в ассортименте от M до 4XL
Цвет: фабричный белый
Упаковка: в пакетик",50,"18,5","1733,0",17-20кд,3 764 ₽,17-20кд,
,Чехол для планшета,"Материал: кожзам
На модель: Samsung tab S6 lite P615 
Цвет: фабричный голубой/синий
Упаковка: в пакетик",50,"12,9","1293,3",17-20кд,3 103 ₽,17-20кд,
,Чехол для планшета,"Материал: кожзам, термопластичный пластик
На модель: Samsung tab S6 lite P615 
Цвет: фабричный синий
Упаковка: в коробку",50,"24,6","2447,8",17-20кд,4 504 ₽,17-20кд,
,,,,,,,,,
,"Ветровка (ЧЗ в стоимость и срок не входят, + 20 000р, + 3-5кд)","Материал: противоветровый полиэстер
Размер: в ассортименте от M до 4XL
Цвет: фабричный белый
Упаковка: в пакетик",50,"11,7","1094,9",20-25кд,3 764 ₽,17-20кд,
,Чехол для планшета,"Материал: кожзам
На модель: Samsung tab S6 lite P615 
Цвет: фабричный голубой/синий
Упаковка: в пакетик",50,"6,1","594,90 ₽",20-25кд,3 103 ₽,17-20кд,
,Чехол для планшета,"Материал: кожзам, термопластичный пластик
На модель: Samsung tab S6 lite P615 
Цвет: фабричный синий
Упаковка: в коробку",50,"14,8","1 436,93 ₽",20-25кд,4 504 ₽,17-20кд,
,,,,,,,,,
,"Значки (фабрика уходит на праздники ориентировочно 29 апреля, выходит 4 мая)","Материал: цинковый сплав
Заливка лаком
Размер: 1,5*2,35см
Застежка: бабочка


Застежка: игла",100,"3,16


3,76","298,78 ₽


354,26 ₽","28-33кд авиа

31-36кд авиа","11 450,67 ₽",21-23кд,
,,"Застежка: бабочка


Застежка: игла",100,"3,47


4,06","330,26 ₽


385,73 ₽",25-30кд альтернативная доставка,,,
,Чехол для планшета с подставкой (сроки не включают праздники с 29-30 апреля по 5 мая),"Материал: силикон, пластик
На модель: Samsung tab S6 lite P615 
Цвет: фабричный голубой
Упаковка: в пакетик",50,"10,19


15,51","981,59 ₽


1 531,45 ₽","20-25кд - авиа

18-22кд - альтернативная доставка",3 426 ₽,16-18кд,
,Чехол для планшета с ремнем (сроки не включают праздники с 29-30 апреля по 5 мая),"Материал: силикон
На модель: Samsung tab S6 lite P615 
Цвет: фабричный голубой
Упаковка: в пакетик",50,"15,93


22,93","1 529,12 ₽


2 256,35 ₽","20-25кд - авиа

18-22кд - альтернативная доставка",4 210 ₽,16-18кд,
,Чехол для планшета (сроки не включают праздники с 29-30 апреля по 5 мая),"Материал: кожзам, tpu пластик
На модель: Samsung tab S6 lite P615 
Цвет: в пантон
Упаковка: в пакетик",500,"14,10


24,43","1 363,99 ₽


2 432,71 ₽","33-38кд - авиа

30-33кд - альтернативная доставка","11 505,74 ₽",20-22кд,
