,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Спонж,"Материал: силикон
Размер: примерно 6 см
Упаковка: опп-пакет", Дизайн: нет,4000,"0,2","16,8",45-50,,,,1 500,1,11-13,
,,,,7000,"0,2","16,6",,,,,,,,
,,,,24000,"0,2","16,2",,,,,,,,
,,,,26000,"0,2","16,2",,,,,,,,
 ,Спонж,"Материал: губчатый материал
Размер: примерно 6*10 см(поробочка)
Упаковка: опп-пакет + пластиковая коробочка

В ту же цену можно сделать следующий кастом: голубой и белый спонж в одной упаковке, голубая лента", Дизайн: нет,4000,"0,7","60,4",50-55,,,,1 700,1,11-13,
,,,,7000,"0,7","59,0",,,,,,,,
,,,,24000,"0,6","56,2",,,,,,,,
,,,,26000,"0,6","53,6",,,,,,,,
 ,Браслет,"Материал: нержавеющая сталь
Размер: универсальный
Упаковка: опп-пакет", Дизайн: нет,4000,"1,1","96,1",50-55,,,,2 000,1,11-13,
,,,,7000,"1,1","93,3",,,,,,,,
,,,,24000,"0,9","77,7",,,,,,,,
,,,,26000,"0,9","77,7",,,,,,,,
 ,Картонка,"Материал: картон
Размер: по макету клиента
Упаковка: нет
Примечание от фабрики: полный кастом по макету клиента", Дизайн: полный кастом по макету клиента,4000,"0,3","28,9",50-55,,,,6 000,10,20-22,
,,,,7000,"0,3","25,9",,,,,,,,
,,,,24000,"0,2","20,3",,,,,,,,
,,,,26000,"0,2","14,9",,,,,,,,
 ,Варежка для душа,"Материал: вискоза
Размер: 23*15 см
Упаковка: опп
Цвета: см. доп. фото"," Дизайн: нет, сток",4000,"1,3","116,1",50-55,"1,5","134,0",40-45,7 900,10,20-22,
,,,,7000,"1,3","114,6",,"1,5","132,5",,,,,
,,,,24000,"1,3","113,1",,"1,5","131,1",,,,,
,,,,26000,"1,3","112,6",,"1,5","130,6",,,,,
 ,Зеркало,"Материал: пу+ нержавеющая сталь
Размер: 85*73 мм
Упаковка: опп
Цвета: см. доп. фото"," Дизайн: нет, сток",4000,"1,2","109,4",60-65,"1,4","121,0",50-55,7 900,10,20-22,
,,,,7000,"1,2","104,1",,"1,3","115,6",,,,,
,,,,24000,"1,2","101,4",,"1,3","112,9",,,,,
,,,,26000,"1,1","98,4",,"1,2","109,6",,,,,
 ,Наклейка,"Материал: мелованная бумага
Размер: по макету клиента (считали по размеру примерно 5*3 см)
Упаковка: нет
Примечание от фабрики: полный кастом по макету клиента", Дизайн: полный кастом по макету клиента,4000,"0,0","2,2",35-40,"0,0","2,4",35-30,4 200,5,15-17,
,,,,7000,"0,0","1,8",,"0,0","1,9",,,,,
,,,,24000,"0,0","1,1",,"0,0","1,3",,,,,
,,,,26000,"0,0","1,1",,"0,0","1,2",,,,,
,,,,,,,,,,,,,,
,,,,4000,"0,0","1,1",0,"0,0","1,2",,,,,
,,,,26000,"1,3","116,1",0,"1,5","134,0",,,,,
,,,,,,,,,,,,,,
 ,Зеркало,"Материал: ПУ + нержавеющая сталь
Размер: 10,5*7 см
Упаковка: ОПП
Примечание от фабрики: зеркало из нержавеющей стали", Дизайн: тиснение/тиснение серебром/тиснение золотом/ шелкография/тампопечать,7000,"2,6","224,0",55-65,"2,9","247,8",45-55,26300 (в стоимость включена цена за открытие формы),10,20-22,
,,,,26000,"2,8","236,2",,"3,1","260,1",,,,,
