,"Менеджер: Ким Софья
Email: sofia.k@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ЖД ($.):,Цена за шт. ЖД (руб.):,Цена за шт. Авиа ($.):,Цена за шт. Авиа (руб.):,Срок тиража ЖД,Срок тиража Авиа,Образец,Срок образца,Доп. фото
,Набор елочных игрушек,"Материал: PLA
Вес каждой 30г
Инд упаковка",100,"15,1","1377,8","15,7","1433,3",40-45,30-35,5300,17-19 ,
,,,300,"14,9","1366,5","15,5",1422,,,,,
,,,500,"14,9","1364,2","15,5","1419,7",,,,,
,,,1000,"14,9","1362,5","15,5",1418,,,,,
,Кинетическая елка,"Материал: PLA
Вес: 25г
Инд упаковка",100,"10,7","980,2","11,3","1035,8",40-45,30-35,2700,17-19,
,,,300,"10,6","968,9","11,2","1024,4",,,,,
,,,500,"10,6","966,6","11,2","1022,2",,,,,
,,,1000,"10,6","964,9","11,2","1020,5",,,,,
,Ваза,"Материал: PLA
Вес: 300г
Инд упаковка",100,"26,8","2455,3","30,5","2794,4",40-45,30-35,3700,17-19,
,,,300,"26,7","2444,0","30,4","2783,1",,,,,
,,,500,"26,7","2441,7","30,4","2780,8",,,,,
,,,1000,"26,7","2440,0","30,4","2779,1",,,,,
,Органайзер,"Материал: PLA
Вес: 165г
Инд упаковка",100,"18,7","1713,7","22,4","2052,8",40-45,30-35,3200,17-19,
,,,300,"18,6","1702,4","22,3","2041,5",,,,,
,,,500,"18,6","1700,1","22,3","2039,2",,,,,
,,,1000,"18,6","1698,4","22,3","2037,5",,,,,
,Набор подсвечников,"Материал: PLA
Вес каждого: 50 г (без гипса)
Инд упаковка",100,"5,1","461,8","5,2","478,9",40-45,30-35,2000,17-19,
,,,300,"4,9","450,5","5,1","467,6",,,,,
,,,500,"4,9","448,2","5,1","465,3",,,,,
,,,1000,"4,9","446,5","5,1","463,6",,,,,
