,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото,условия поставки + наценка
,Джус боллы АньХуэй,"https://drive.google.com/drive/folders/1aoVw3R6dDbL2kezDSdtASR_7iM4-s1Qd?usp=sharing

Объем: 1,2 кг
Вкусы: манго, клубника, черника, яблоко, йогурт, личи, апельсин, виноград, персик, коричневый сахар, маракуйя 
Условия хранения: комнатная температура, без попадания прямых солнечных лучей",400,"16,76","1 633,55 ₽",32-42 календ. дн.,5900 - 1 вкус,12-14 календ. дн.,,"карго наше 1,7"
,,,11000,"7,22","660,77 ₽",80-100 календ. дн,,,,"конт 1,7"
,,,,"12,17","1 174,05 ₽",37-47 календ. дн.,,,,"карго наше 1,7"
,,,,"10,64","1 019,34 ₽",,,,,"карго олег 1,7"
,Джус боллы Дукин,"https://drive.google.com/drive/folders/1hC42B0q_dJ_zl9x8N3jiRzV9yhfZvNto?usp=sharing

Объем: 1,25 кг
Вкусы: манго, клубника, черника, яблоко, йогурт, личи, апельсин, виноград, персик, коричневый сахар, маракуйя 
Условия хранения: комнатная температура, без попадания прямых лучей света",400,"18,19","1 780,63 ₽",31-42 календ. дн.,5700 - 1 вкус,12-14 календ. дн.,,"карго наше 1,7"
,,,9000,"7,21","659,70 ₽",80-100 календ. дн,,,,"конт 1,7"
,,,,"12,75","1 236,49 ₽",40-50 календ. дн.,,,,"карго наше 1,7"
,,,,"10,96","1 056,83 ₽",,,,,"карго олег 1,7"
,Джус боллы с рефа,"https://drive.google.com/drive/folders/1ytk5W1Ts4Lbip_XETj8xmjw6GNdK2r1Y?usp=sharing

Объем: 3 кг
Вкусы: манго, клубника, черника, яблоко,  апельсин,  маракуйя, йогурт
Условия хранения: комнатная температура, без попадания прямых лучей света
Упаковывают в безопасные коробы из пенопласта",400,"42,30","4 138,42 ₽",32-44 календ. дн.,5100 - 1 вкус,12-14 календ. дн.,,"карго наше 1,6"
,,,2500,"19,85","1 816,02 ₽",80-100 календ. дн,,,,"конт 1,7"
,,,,"30,53","2 954,10 ₽",33-45 календ. дн.,,,,"карго наше 1,6"
,,,,"26,42","2 540,77 ₽",,,,,"карго олег 1,6"
