,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Ланчбокс + сумка,"Материал: 
Ланчбокс: пластик, силикон
Сумка: 100% полиэстер
Цвет: выкраска по требованию клиента
Размеры:
Ланчбокс: 177*175*101мм
Сумка: 220*140*300мм
Упаковка в OPP-пакет

Кастом (только от 3000): возможно изменение цвета по пантону клиента, нанесение лого/картинки по макету клиента",3000,"18,7","1746,8",80-90 календ. дн.,"34000,00",15-30 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,Ланчбокс ,"Материал: 
Ланчбокс: пластик, силикон
Цвет: выкраска по требованию клиента
Размеры:
Ланчбокс: 177*175*101мм
Упаковка в OPP-пакет

Кастом (только от 3000): возможно изменение цвета по пантону клиента, нанесение лого/картинки по макету клиента",3000,"11,7","1093,9",,,,
,Бутылка двухслойная,"Материал: боросиликатное стекло, пластик, силикагель
Размер:17,8 * 7 см
Объем: 360 мл
Упаковка: индивидуальная заводская коробка
Цвет: под дерево
Нанесение: шелкография / обжиг глазурью

Имеет отделение для заварки (верхняя часть)",300,"9,9","903,2",45-50 календарных дней,"Образец с нанесением.

12110 руб.","5-8 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,,"Материал: боросиликатное стекло, пластик, силикагель
Размер:17,8 * 7 см
Объем: 360 мл
Упаковка: индивидуальная заводская коробка
Цвет: под дерево
Нанесение: стикеры по инд. дизайну (на другой фабрике)

Имеет отделение для заварки (верхняя часть)",300,"10,46

*Цена примерная, зависит от дизайна и требований к стикеру","957,6

*Цена примерная, зависит от дизайна и требований к стикеру",50-55 календарных дней,"Образец стикера.

9950 руб.

Образец бутылки из стока.
4550 руб.

","8-10 календарных дней фото/видео (стикера)

13-15 календарных дней доставка до Москвы",
,Часы светодиодные,"Материал: ABS-пластик, стекло, LED-экраны
Размер: 218,5*30*58,7 мм
Цвет: заводской черный
Нанесение: логотип картинкой на обратную сторону (вкладыш)
Упаковка: Индивидуальная заводская коробка

Работает от Wi-Fi (управляется через приложение)
Настройка отображения цифр и цветовой схемы

Мощность: 5W
Напряжение: 5V
Разъем Type-C

В набор входит type-C провод, инструкция",300,"70,8","6475,6",35-45 календарных дней,"Образец качества из наличия.

10920 руб.","1-2 календарных дня фото/видео

13-15 календарных дней доставка до Москвы",
,Часы светодиодные,"Материал: металл, пластик стекло, LED-экраны
Размер: 21,6*6*7,5 мм
Цвет: заводской черный + имитация под орех
Нанесение: логотип на заднюю поверхность светодиода
Упаковка: Индивидуальная заводская коробка

Работает от Wi-Fi (синхронизируется по времени)
Цвета подсветки настраиваются через приложение

Мощность: 1W
Напряжение: 5V
Разъем Type-C
",300,"45,5","4158,4",40-45 календарных дней,"Образец с нанесением.

12900 руб.","3-5 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,Брелок кнопка,"Материал: пластик
Подсветка: включена (семицветная, либо 1 из семи стандартных цветов: красный, желтый, зеленый, синий...)
Цвет кнопки: фабричный
Нанесение: сублимация 1 цвет",250,"1,8","163,69 ₽",37-42 календарных дней,7 200 ₽,"7-10 календарных дней фото/видео

19-21 календарных дней доставка до Москвы",
,Ежедневник,"Материал: кожзам
Цвет: наиболее близкий к пантону, фабричный
Размер: А5
Количество страниц: 100 страниц / 200 листов
Нанесение: цветная уф-печать
Упаковка: в индивидуальный пакетик",300,"5,1","500 ₽
",35-40 календарных дней,5 900 ₽,"7-10 календарных дней фото/видео

19-21 календарных дней доставка до Москвы",
,,Нанесение: тиснение,,"4,8",470 ₽,33-38 календарных дней,,,
,Диффузор,"Набор в подарочной коробке
Материал: шпат, стекло, картон
Кастом наклеек",300,"25,0","2 419,83 ₽",40-45 календ дней,12 000,"7 календ дней фото/видео

10-12 календарных дней доставка до Москвы",
,,"Набор в подарочной коробке
Материал: шпат, стекло, картон
Без кастома",300,"24,4","2 363,62 ₽",28-33 календ дня,5600,"1 день фото/видео

10-12 календарных дней доставка до Москвы",
,Диффузор,"Набор в подарочной коробке
Коробка 265 х 189 х 83, чаша 9 х 52 мм
Материал: шпат, стекло, картон
Без кастома",300,"21,5","2 076,30 ₽",28-33 календ дня,5600,"1 день фото/видео

10-12 календарных дней доставка до Москвы",
,Сумка для термокружки,"Материал: ткань
Размер: 24*7 см
Цвет: см. доп. фото
Съёмный ремень, на пластиковых карабинах

Кастом: печать лого (шелкография)",300,"5,02","459,67",45-50 календ. дн.,4100,10 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
