,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,Кисточка,"Материал: пластик
Размер: 15*1,7 см
Упаковка: опп-пакет
Цвет: белый, прозрачный
Цвет кисточки: белый
","Дизайн: печать лого на ручке, уф, одноцветная",1000,"1,0","100,4",40-45,"1,1","112,7",30-35,9 200,3-5,13-17,
,,,,4000,"0,9","94,9",,"1,0","106,4",,,,,
,,,,7000,"0,8","93,0",,"1,0","104,3",,,,,
,,,,24000,"0,8","91,2",50-55,"1,0","102,3",40-45,,,,
,,,,26000,"0,7","89,4",,"0,9","100,3",,,,,
,Гидрогелевая маска для лица,"Материал: пвх + гель
Размер: 19,5* 11 см
Упаковка: ОПП-пакет 
Цвета: красный, белый, чёрный, серый, зелёный, голубой, розовый, фиолетовый

", Дизайн: лого клиента могут сделать с помощью шелкографии на пвх-части товара ,1000-3000,"2,7","251,9",45-50,"3,3","304,1",35-40,6 500,8,20-22,
,,,,4000,"2,4","222,6",,"3,0","274,8",,,,,
,,,,7000,"2,4","218,4",,"2,9","270,6",,,,,
,,,,24000,"2,3","209,0",50-55,"2,8","261,1",40-45,,,,
,,,,26000,"2,2","207,5",,"2,8","259,7",,,,,
,Кисточка,"Материал: пластик
Размер: 15*4,3 см
Упаковка: опп-пакетик
Цвета: белый, прозрачный
Цвета кисточек: рыжий, белый, розовый
","Дизайн: печать лого (шелкография, одноцветная) на ручке",1000,"0,8","83,7",35-40,"1,0","97,9",25-30,9 200,3-5,13-17,
,,,,4000,"0,8","79,7",,"0,9","93,3",,,,,
,,,,7000,"0,8","76,6",,"0,9","89,7",,,,,
,,,,24000,"0,7","73,6",45-50,"0,8","86,3",35-40,,,,
,,,,26000,"0,7","70,8",,"0,8","83,0",,,,,
 ,Маска,"Материал: силикон
Упаковка: индивидуальная упаковка (могут упаковать в опп-пакет)
Цвет: розовый (только розовый, смена цвета от 10000шт.)
Пять штук в одной упаковке", Дизайн: нет,1000,"3,6","373,6",40-45,"4,9","505,0",30-35,2 300,2,12-14,
,,,,4000,"3,5","359,2",,"4,7","485,6",,,,,
,,,,7000,"3,3","345,4",,"4,5","466,9",,,,,
,,,,24000,"3,3","338,6",45-50,"4,3","448,9",35-40,,,,
,,,,26000,"3,3","325,6",,"4,1","431,6",,,,,
,Спонж,"Материал: силикон
Размер: 6,5*5 см
Упаковка: индивидуальная упаковка
Цвет: белый
", Дизайн: нет,1000,"0,8","83,7",40-45 ,"0,9","94,2",30-35,2 000,1-2,11-13,
,,,,4000,"0,8","81,6",,"0,9","92,0",,,,,
,,,,7000,"0,8","81,5",,"0,9","88,5",,,,,
