,"Менеджер: Марковская Злата
Email: zlata@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Шоппер синий,"Материал: полиэстер
Размер: 60см ширина * 50см высота * 15см дно
Размер ручки: 160 см
Плотность 340г/м
Выкрас: PANTONE 2387 C
Печать: цветная сублимационная печать двухсторонняя","6000

6500

7000","4,05

3,89

3,74","371

357

343",60-65 календарных дней,8000,"6-8 календарных дней фото/видео

18-20 календарных дней с доставкой в Москву",
,Шоппер черный,"Материал: полиэстер
Размер: 60см ширина * 50см высота * 15см дно
Размер ручки: 160 см
Плотность 340г/м
Выкрас: PANTONE Black 7 C
Печать: одноцветная сублимационная печать односторонняя до формата А4","400

450

500","4,86

4,68

4,57","415

401

390",40-45 календарных дней,8000,"6-8 календарных дней фото/видео

18-20 календарных дней с доставкой в Москву",
,Шоппер черно-розовый,"Материал: канвас
Размер: 60см высота * 50см ширина * 20см дно
Плотность 340г/м
Размер ручки: 160 см
Выкрас: PANTONE Black 7 C (можно подобрать наиболее близкие к пантону цвета оранжевого и синего и оставить ту же цену)
Печать: цифровая печать односторонняя
Стропа и ремувка цвета маджента
Внутри 1 отсек для бутылки алкоголя
Ремувка на карабине, размер до 12 см в сложенном виде, крепится на полукольцо","6000

6500

7000","7,32

7,21

7,08","670

660

650",60-65 календарных дней,"20 000 - без выкраса в пантон, на образце можно подобрать только максимально похожие цвета или запечатать цифровой печатью (при цифровой печати на тираже цвета будут отличаться)","6-8 календарных дней фото/видео

18-20 календарных дней с доставкой в Москву",
,,"Материал: канвас
Размер: 60см высота * 50см ширина * 20см дно
Плотность 340г/м
Размер ручки: 160 см
Выкрас: PANTONE Black 7 C (можно подобрать наиболее близкие к пантону цвета оранжевого и синего и оставить ту же цену)
Печать: цифровая печать односторонняя
Стропа и ремувка цвета маджента
Внутри 1 отсек для бутылки алкоголя
Ремувка на карабине, размер до 12 см в сложенном виде, крепится на полукольцо","400

450

500","8,71

8,61

8,42","790

780

770",50-55 календарных дней,,,
,Шоппер черно-розовый,"Материал: канвас
Размер: 60см высота * 50см ширина * 20см дно
Плотность 340г/м
Размер ручки: 160 см
Выкрас: выкрасить в пантон цвета оранжевого и синего
Печать: цифровая печать односторонняя
Стропа и ремувка цвета маджента
Внутри 1 отсек для бутылки алкоголя
Ремувка на карабине, размер до 12 см в сложенном виде, крепится на полукольцо","6000

6500

7000","7,89

7,77

7,65","675

665

655",60-65 календарных дней,"20 000 - без выкраса в пантон, на образце можно подобрать только максимально похожие цвета или запечатать цифровой печатью (при цифровой печати на тираже цвета будут отличаться)","6-8 календарных дней фото/видео

18-20 календарных дней с доставкой в Москву",
,,"Материал: канвас
Размер: 60см высота * 50см ширина * 20см дно
Плотность 340г/м
Размер ручки: 160 см
Выкрас: выкрасить в пантон цвета оранжевого и синего
Печать: цифровая печать односторонняя
Стропа и ремувка цвета маджента
Внутри 1 отсек для бутылки алкоголя
Ремувка на карабине, размер до 12 см в сложенном виде, крепится на полукольцо","400

450

500","10,17

10,05

9,7","870

860

830",50-55 календарных дней,,,
,"Рукавицы

Стоимость ориентировочная, окончательная после предоставления макетов и изготовления образца","Материал: нейлон (непромокаемая, водонепроницаемая дышащая ткань и мембрана или покрытие из PTFE (он же Teflon) или PU (полиуретан))
 Внутрення подкладка: флис
 Размер - на мужскую руку
 Карабин, резинка
Цвет: Снаружи синий PANTONE 2387 C, внутри оранжевый флис 1585С
Логотип: жаккардовый шеврон
Упаковка в прозрачный пакет

Минимальный тираж: 5000 шт",6000-7000,"10,5","930,4",65-70 календ.дней,16300 руб,"15-20 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,,"Стоимость жаккардовой бирки с лого и резинки

25,5 руб","Ориентировочная стоимость подарочной упаковки 350 руб, окончательная после предоставления макетов",,,
