,,"Менеджер: Садова Алина Дмитриевна
Email: alinas@megamind.ru
Телефон: +7 (920) 663-50-75
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наценка,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"1,7",сумка в китайском стиле из фетра,"Материал: фетр
Размер: 35 см *20 см*15 см
Упаковка: OPP-пакетик
Примечание от фабрики: кастом возможен только при наличии макета, фабрика макеты не делает, посчитать без макета также не могут", Дизайн: сток,200,"8,1","916,1",35-40 ,,,,4 000,5,15-17,
,,,," Дизайн: бирка с лого компании (цена примерная, точная после предоставления фото-рефа бирки и расположения)",200,"8,2","931,9",42-52,,,,10 000,7,17-19,
,"1,7",джибитсы,"Материал: пвх
Размер: приблизительно 3*3 см, могут подстроить размер под запрос.
Упаковка:  OPP-упаковка (учтена в стоимости).
Примечание от фабрики: джибитсы под индивидуальный запрос, минимальный тираж 8000 шт одного вида - меньше фабрика не изготовливает из-за того, что страдает качество исполнения картинки, хотят, чтобы получилось четкое изображение и ровная форма. В стоимость тиража и образца включена стоимость открытия 1 формы для изготовления джибитса. Фабрика может сделать джибитсы в дизайне ""Вкусвилл"", например, фирменное лого и название компании. Но нужен макет!", Дизайн: форма по макету или фото-референсу (учтен в стоимости),8000,"0,6","66,2",51-61 ,,,,24 000,15,25-27,
,"1,7",3-д игра-наклейки ,"Материал: PET
Примерный размер готового изделия: 12,8 см *12,2 см
Упаковка:  OPP-пакетик
Примечания от фабрики: в комплект входит: карточка-основа+стикер с визуалом помещения+2 комплекта маленьких стикеров. Закупка стока от 2 шт, кастомизация от 10.000 шт

"," Дизайн: по макету клиента с рефом на магазин ""Вкусвилл"" (цена примерная, точная после предоставления макета), пример макета, который предложила я в доп фото",10000,"0,6","65,0",57-62 ,,,,18 000,5,15-17,
,"1,7",Таблетница,"Материал: ПС+силикон
Размер: 8,5*11*2,6 см
Упаковка: заводская упаковка
Примечание от фабрики: стильная и практичная таблетница из 4 отделелений с силиконовым ремешком. Можно класть в сумку или использовть в качестве брелока. Долго прослужит, благодаря высококачественным и прочным материалам. Стильный вид никого не оставит равнодушным", Дизайн: лого 1 цвет на ремешке (двухцветное лого нанести на силиконовый ремешок нельзя),100,"5,3","580,9",50-55 кд,,,,"12 000,00",10,20-22,
,"1,7","Таблетница
(маленький размер)","Материал: ПП+силикон
Размер: 7,8*7,2*3,5 см
Упаковка: заводская упаковка
Примечание от фабрики: таблетница с разделителем по дням недели.  Легкая, компактная, удобная в использовании"," Дизайн: лого 2 цвета, уф печать",500,"2,6","287,4",50-55 кд,,,,"5 500,00",7,17-19,
,"1,7","Таблетница
(большой размер)","Материал: ПП+силикон
Размер: 11*7,2*3,5 см
Упаковка: заводская упаковка
Примечание от фабрики: таблетница с разделителем по дням недели.  Легкая, компактная, удобная в использовании"," Дизайн: лого 2 цвета, уф печать",500,"3,1","336,1",50-55 кд,,,,"7 000,00",7,17-19,
,"1,7",Таблетница,"Материал: пластик
Размер: 18,5*13,8*4 см
Упаковка: заводская упаковка
Примечание от фабрики: 21 отделение для таблеток и витамин", Дизайн: лого 1 цвет (для двухцветного логотипа могут предложить уф наклейку),200,"6,5","731,8",45-50 кд,,,,"10 000,00",8,18-20,
,"1,7",Таблетница,"Материал: пластик
Размер: 18,5*13,8*4 см
Упаковка: заводская упаковка
Примечание от фабрики: 28 отделений для таблеток и витамин", Дизайн: лого 1 цвет (для двухцветного логотипа могут предложить уф наклейку),200,"7,3","819,0",45-50 кд,,,,"11 500,00",8,18-20,
,"1,7","Шоппер
(стоимость примерная, точная после предоставления макета)","Материал: тпу, полиэстер
Размер: 50*40 см
Упаковка: заводская упаковка
", Дизайн: изготовление по макету клиента,1000,"9,6","1064,3",65-70 кд,,,,"18 500,00",14,24-26,
,"1,7","Кейс для столовых приборов
(стоимость и сроки примерные, точные после предоставления макета и после открытия форм)","Материал: пластик
Размер: 20*8 см
Упаковка: заводская упаковка

Требуется открытие 3 форм. 
Стоимость открытия форм включена в стоимость за единицу.", Дизайн: изготовление по макету клиента,5000,"5,2","586,4",50-55 кд,,,,"6 000,00",30,40-42,
,"1,6",Кейс со столовыми приборами,"Материал: нержавеющая сталь, пластик
Размер: 20,2*5,3 см
Цвета:  белый, зеленый, темно-зеленый, синий
Упаковка: заводская упаковка
Примечание от фабрики: в комплект входит ложка и вилка, без палочек. Кейс очень удобно брать с собой в путешествия, компактный и легкий. Также можно использовать в качестве подставки под телефон. Чтобы открыть, достаточно потянуть за ярлычок. ", Дизайн: лого 2 цвета,1000,"4,5","514,2",45-50 кд,,,,"9 000,00",7,17-19,
