,"Менеджер: Багандова Виктория
Email: victoriabagandova@megamind.ru
Телефон: +8 (991) 641-94-30
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Набор для сборки ""Самолет S7""10 ","Материал: дерево
Размер: 31*18,5*12,5 см 
Упаковка: пластиковая упаковка 
Примечание от фабрики: 
Не могут сделать наклейки, могут покрасить с цвет самолета С7 ", Дизайн: покраска в цвет самолета с7 ,6000,"3,3","294,6",1767300,40-45,,,0,,,,10-12,Реф покраски
,,,,,,,,,,,,,,,,
 ,"Набор для сборки ""Самолет S7"" F16","Материал: дерево
Размер: 17,5*12*6,5
Упаковка: пластиковая упаковка
Примечание от фабрики: 
Не могут сделать наклейки, могут покрасить с цвет самолета С7 ", Дизайн: покраска в цвет самолета с7 ,6000,"2,2","203,1",1218300,40-45,,,0,,,,10-12,
 ,"Набор для сборки ""Самолет S7""10 ","Материал: дерево
Размер: 31*18,5*12,5 см 
Упаковка: пластиковая упаковка 
Примечание от фабрики: 
Не могут сделать наклейки, могут покрасить с цвет самолета С7 ", Дизайн: БЕЗ ДИЗАЙНА  ,6000,"3,3","294,6",1767300,40-45,,,0,,,,10-12,
,"Шоппер-раскраска 

Большой размер","Материал: холщовая ткань
Размер: 32*27 см
Упаковка: заводская упаковка
Примечание от фабрики: утолщенный холст, не выцветает, прочный и долговечный
", Дизайн: нанесение рисунка по макету клиента ,6000,"2,6","233,5",1400940,50-55,,,0,,10 000,10,20-22,
,"Шоппер-раскраска 

Большой размер","Материал: холщовая ткань
Размер: 32*27 см
Упаковка: заводская упаковка
Примечание от фабрики: утолщенный холст, не выцветает, прочный и долговечный


В комплект входят 8 фломастеров для раскрашивания, в стоковой упаковке. Нет возможности кастомизировать.", Дизайн: нанесение рисунка по макету клиента ,6000,"5,0","445,8",2674740,50-55,,,0,,10 000,10,20-22,
,"Шоппер-раскраска 

Маленький размер","Материал: холщовая ткань
Размер: 24*22 см
Упаковка: заводская упаковка
Примечание от фабрики: утолщенный холст, не выцветает, прочный и долговечный
", Дизайн: нанесение рисунка по макету клиента ,6000,"2,2","198,1",1188600,50-55,,,0,,10 000,10,20-22,
,"Шоппер-раскраска 

Маленький размер","Материал: холщовая ткань
Размер: 24*22 см
Упаковка: заводская упаковка
Примечание от фабрики: утолщенный холст, не выцветает, прочный и долговечный


В комплект входят 8 фломастеров для раскрашивания, в стоковой упаковке. Нет возможности кастомизировать.", Дизайн: нанесение рисунка по макету клиента ,6000,"4,6","410,4",2462460,50-55,,,0,,10 000,10,20-22,
,Мешок для обуви-раскраска ,"Материал: холщовая ткань
Размер: 27*35 см
Упаковка: заводская упаковка
Примечание от фабрики: утолщенный холст, не выцветает, прочный и долговечный


Без фломастеров", Дизайн: нанесение рисунка по макету клиента ,6000,"2,2","192,5",1154760,55-60,,,0,,11 000,12,22-24,
,Мешок для обуви-раскраска ,"Материал: холщовая ткань
Размер: 27*35 см
Упаковка: заводская упаковка
Примечание от фабрики: утолщенный холст, не выцветает, прочный и долговечный


 
В комплект входят 6 фломастеров для раскрашивания, цветная карточка.
", Дизайн: нанесение рисунка по макету клиента ,6000,"2,4","216,6",1299540,55-60,,,0,,11 000,12,22-24,
,Набор фломастеров для рисования на ткани,"Материал: пластик
Размер:  20*19,5 см
Упаковка: заводская упаковка
Примечание от фабрики: 

8 цветов в наборе. Стоковые цвета фломастеров
", Дизайн: печать на подложке и на фломастерах по макету клиента ,6000,"2,4","216,6",1299480,75-80,,,0,,101 000,30,40-42,
,Набор фломастеров,"Материал: пластик
Размер фломастера: 8,5*1 см  
Упаковка: заводская упаковка
Примечание от фабрики: 

8 цветов в наборе. Стоковые цвета фломастеров
", Дизайн: сток в опп пакете,6000,"0,8","76,0",455760,45-50,,,0,,2 000,5,15-17,
 ,Наклейки ,"Материал: виниловая пленка+эпоксидная смола 
Размер: 5*5 см 
Упаковка: OPP пакет 
Примечание от фабрики: ", Дизайн: под дизайн самолета  ,6000,"3,2","280,7",1683900,45-50,,,0,,10 550,5,15-17,
 ,Набор для создания брелока ,"Материал: пластик (бусины)/ хлопок, полиэстер (веревка)/металл (кольца)
Размер: регулируемый
Упаковка: OPP пакет 
Примечание от фабрики: 
В случайно порядке смешают круглые бусины выбранных цветов, фигурные бусины и бусины-буквы (цифры) и бусины в форме мячика просто прилагаются в каждый набор в выбранном количестве

Стоимость образца возвращается после производства тиража "," Дизайн: бусины цветов S7 + розовые, бежевые. Два вида веревки: темно-зеленая и розовая. Бусины в форме конфет розового и зеленого цвета с разными рисунками. Бусины в форме мячиков для тенниса зеленого цвета. Бусины в форме букв ""LOVE S7""",6000,"3,2","280,7",1683900,35-40,,,0,,8 050,5,15-17,
