,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,"Наклейки ""Хрупкое""","Материал: 
Размер: 9*15 см
Упаковка: 
Примечание от фабрики: ", Дизайн: сток,1 упаковка (336 шт),-,-,-,"75,4","6408,3",10-15,"6408,3",3,13-15,
,,,,-,-,-,-,-,-,-,,,,
 ,Тканевый шкаф для одежды,"Материал: металлические балки + пластиковые крепежи (PP) + нетканный материал (спанбонд)
Размер: в собранном виде 1,5*43*165 см
Упаковка: индивидуальная коробка
Цвет: возможные цвета см в доп фото (наличие необходимо уточнить перед заказом", Дизайн: сток,50 (серый цвет),"29,3","2491,0",35-40,-,-,-,-,-,-,
,,, Дизайн: печать лого на лицевой стороне в открытом состоянии (см доп фото),200,"29,7","2523,4",50-55,-,-,-,,,,
 ,Замок для ключей,"Материал: алюминевый сплав
Размер: внутреннее отделение 6,2*3*8,5 см + внешний размер 14*11*7 см
Упаковка: индивидуальная коробочка
Цвет: см доп фото
", Дизайн: сток,50,"14,3","1213,0",30-35,-,-,-,7 000,10,20-22,
,,, Дизайн: печать на лицевой тороне,50,"15,8","1338,8",55-60,-,-,-,,,,
 ,Флипчарт 60*90 см,"Материал: алюминиевый сплав
Размер: 60*90 см
Упаковка: индивидуальная коробка

Комплектация на доп фото", Дизайн: сток,20,"90,9","7722,7",35-40,-,-,-,-,-,-,
,,, Дизайн: ,-,-,-,-,-,-,-,,,,
 ,Перчатки,"Материал: хлопок 100%
Размер: L-XL
Упаковка: опп-пакет
", Дизайн: сток,300 пар,"1,1","93,7",30-35,"1,4","119,5",20-25,4 000,5,15-17,
,,, Дизайн: шелкография,300 пар,"1,0","85,0",30-35,"1,3","110,8",20-25,,,,
 ,Бахилы,"Материал: нетканный материал
Размер: 40х15 см
Упаковка: опп-пакет
", Дизайн: сток,300 пар,-,-,-,"0,4","35,0",15-17,1 400,3,13-15,
,,,,,,,,,,,,,,
 ,"Скотч ""хрупко""","Материал: BOPP
Размер: длина - 91 м, ширина - 4,8 см
Упаковка: заводская коробка
", Дизайн: сток,100,"3,1","265,4",30-35,"4,1","350,2",20-25,2 200,3,13-15,
,,,,,,,,,,,,,,
 ,Скотч стандартный,"Материал: BOPP
Размер: длина - 100 м, ширина - 5 см
Упаковка: заводская коробка", Дизайн: печать по всей длине рулона,100,"4,3","362,2",45-50,"5,2","445,7",35-40,9 200,10,20-22,
,,,,280,"2,6","221,6",45-50,"3,4","291,6",35-40,,,,
,Скотч малярный,"Материал: крепированная бумага
Размер: длина - 50 м, ширина - 5 см
Упаковка: заводская коробка 
", Дизайн: печать по всей длине рулона,100,"11,3","958,4",55-60,-,-,-,33 500,10,20-22,
,,,,500,"4,3",362.91,55-60,-,-,-,,,,
 ,Шоппер вязаный,"Материал: жаккард
Размер: 40*10*30 см
Упаковка: опп-пакет
Примечание от фабрики: 
Возможет отвяз в цветах клиента по раскладке фабрики, жаккардовая бирка или вышивка логотипа", Дизайн: вышивка логотипа в паттерне отвяза,200,"7,2","608,9",40-45,-,-,-,8 500,5,15-17,
,,,,,-,-,-,-,-,-,,,,
,Шоппер,"Материал: хлопок 100%
Размер: 45*30 см
Упаковка: опп-пакет
Примечание от фабрики: 
Выкрас в пантон клиента, регулировка длины лямок", Дизайн: печать логотипа,200,"5,3","447,2",40-45,-,-,-,6 500,7,17-19,
,,,,,-,-,-,-,-,-,,,,
 ,Дождевик,"Материал: эва
Размер: 150*60*65 см
Упаковка: заводская, см. доп.фото
Цвета: белый, чёрный, розовый, голубой, сиреневый, жёлтый
", Дизайн: сток,300,"3,9","331,5",30-35,-,-,-,8 000,10,20-22,
,,, Дизайн: шелкография (1 цвет),,"4,1","349,7",35-40,-,-,-,,,,
 ,Планшет с зажимом,"Материал: пвх водонепроницаемый 
Размер: А4
Упаковка: опп
Цвета: см.фото", Дизайн: сток,50,"6,1","517,5",30-35,"7,8","663,8",20-25,4 300,5,15-17,
,,, Дизайн: офсетная печать,,"6,2","530,0",35-40,"8,0","676,2",25-30,,,,
