,,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Ставка,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,"1,7","коффер 1 （цена примерная, точная после предоставления макета)","Материал: бамбуковое волокно (время разложения -3-4 года)
Размер: 10,5*8,5 см, 400 мл
Упаковка: белая картонная коробка
Примечание от фабрики: смогут выкрасить саму кружку+силиконовую крышку и держатель, смогут добавить разный дизайн на кол-во по 500 шт"," Дизайн: нанесение печати на кружку, выкрас в цвет силиконовых частей",2400,"5,4","589,8",62-67 кд,,,,"29 000,00",12-14 кд (фото и видео); 12-14 кд (доставка в Москву),
,,,,,,,,,,,,,,
 ,"1,4","коффер 2 （цена примерная, точная после предоставления макета)","Материал: 304 нержавеющая сталь, пластик
Размер: 11 см*8 см*6 см
Объем: 360 мл
Упаковка: заводская упаковка
Примечание от фабрики: смогут нанести разный рисунок на кол-во по 500 штук, покрытие у кружек - soft-touch", Дизайн: нанесение рисунка или лого на кружку,2400,"6,5","696,2",62-67 кд,,,,"25 500,00",14-16 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,"1,45","коффер 3 （цена примерная, точная после предоставления макета)","Материал: 304 нержавеющая сталь, пластик
Размер: 11 см*8 см*6 см
Объем: 360 мл
Упаковка: заводская упаковка
Примечание от фабрики: смогут нанести разный рисунок на кол-во по 300 штук", Дизайн: нанесение рисунка или лого на кружку,2400,"6,5","700,3",52-57 кд,,,,"8 000,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,"1,45","коффер 4 цена примерная, точная после предоставления макета)","Материал: 316 нержавеющая сталь, пластик
Размер: 18,5*6,5  см
Объем: 500 мл
Упаковка: заводская упаковка
Примечание от фабрики: смогут нанести разный рисунок на кол-во по 300 штук, есть держатель и трубочка, трубочка легко моется", Дизайн: нанесение рисунка или лого на кружку,2400,"7,3","792,1",47-52 кд,,,,"11 500,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,"1,4","коффер 4 цена примерная, точная после предоставления макета)","Материал: 316 нержавеющая сталь, пластик
Размер: 19*8,5  см
Объем: 500 мл
Упаковка: заводская упаковка
Примечание от фабрики: смогут нанести разный рисунок на кол-во по 300 штук", Дизайн: нанесение рисунка или лого на кружку,2400,"7,7","833,7",52-57 кд,,,,"19 500,00",9-11 кд (фото и видео); 12-14 кд (отправка в Москву),
,"1,7",ведро с фиксатором для пакета,"Материал: пэт, термопластичная резина
Размер: 24,5см*22см*16см*16см
Упаковка: заводская упаковка
Примечание от фабрики: возможно нанесение лого на верхнюю часть ведра", Дизайн: нанесение лого на переднюю часть ведра в 1 цвет,2400,"8,8","983,8",47-57 кд,,,,"20 000,00",7-9 кд (фото и видео); 12-14 кд (доставка в Москву),
,"1,7",сумка-авоська для бутылки (цена примерная),"Материал: х/б
Размер: 55*40 см
Упаковка: заводская упаковка.
Примечание от фабрики: сумки-авоськи разных цветов, подходят как для бутылок, так и для термосов, фабрика сможет извотовить сумочки  с наплечным ремнем. Можно сделать по 500 шт разного цвета", Дизайн: без лого,2400,"2,9","305,2",57-67 кд,,,,"3 500,00",10-12 кд - фото и видео; 12-14 кд - доставка в Мск,
,"1,7","Авоськи с орнаментом города (цена примерная, точная после предоставления макета)","Материал: хлопок
Размер: 18x8x8 см, вес: 40 гр.
Упаковка: индивидуальный пакет
Примечание от фабрики: готовы изготовить авоськи из любой ткани и фурнитуры при тираже от 1000 шт.", Дизайн: возможно сделать полную кастомизацию с учетом орнаментов и национальных цветов каждого города. Тираж от 1000 шт.,2400,"3,2","313,3",60-70 кд,,,,"17 130,00",19-22 кд -фото и видео; 12-14 кд -доставка в Мск,
,"1,7","сумочки для мелочей и бутылок （цена примерная, точная после предоставления макета)","Материал: полиэстер
Размер: 17*10*5 см
Упаковка: индивидуальный пакет
Примечание от фабрики: готовы изготовить сумочки от 500 шт по макетам", Дизайн: возможно сделать полную кастомизацию с учетом орнаментов и национальных цветов каждого города. Тираж от 500 шт.,500,"7,9","961,4",45-55 кд,,,,"10 000,00",5-7 кд -фото и видео; 12-14 кд -доставка в Мск,
,"1,6","сумочки для мелочей и бутылок （цена примерная, точная после предоставления макета)","Материал: полиэстер
Размер: 17*10*5 см
Упаковка: индивидуальный пакет
Примечание от фабрики: готовы изготовить сумочки от 500 шт по макетам", Дизайн: возможно сделать полную кастомизацию с учетом орнаментов и национальных цветов каждого города. Тираж от 500 шт.,500,"6,3","778,2",45-50 кд,,,,"10 000,00",5-7 кд -фото и видео; 12-14 кд -доставка в Мск,
