,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Футболка,"Материал: хлопок 100%
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Для точного просчета нужем макет клиента", Дизайн: печать проявляющимися чернилами,300,"33,0","2902,6",50-60,,,,14 500,14,24-26,
,,,,,,,,,,,,,,
 ,Футболка,"Материал: хлопок 100%
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Для точного просчета нужем макет клиента", Дизайн: печать шелкография,100,"14,3","1258,3",45-50,,,,8 600,7,17-19,
,,,,,,,,,,,,,,
 ,Лонгслив,"Материал: хлопок 100%
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Ткань цвета варенка", Дизайн: печать лого,500,"35,1","3562,7",65-70,,,,25 300,7,17-19,
,,,,,,,,,,,,,,
 ,Худи,"Материал: хлопок 55,5%, 44,5% полиэстер; подклада - 93,5% полиэстер, 6,5% спандекс 
Размер: S, M, L, XL, XXL, 3XL
Упаковка: опп-пакет
Примечание от фабрики: 
Мин.кол-во от 100 шт., возможные цвета см. в доп.фото", Дизайн: термонтрансфер/вышивка,100,"33,3","2927,8",45-50,,,35-40,7 500,10,20-22,
,,,,,,,,,,,,,,
,Свитшот,"Материал: хлопок 55,5%, 44,5% полиэстер; подклада - 93,5% полиэстер, 6,5% спандекс 
Размер: S, M, L, XL, XXL, 3XL
Упаковка: опп-пакет
Примечание от фабрики: 
Мин.кол-во от 100 шт., возможные цвета см. в доп.фото", Дизайн: термонтрансфер/вышивка,100,"29,5","2593,5",45-50,,,35-40,7 500,10,20-22,
,,,,,,,,,,,,,,
,Худи с липучкой ,"Материал: хлопок 55,5%, 44,5% полиэстер; подклада - 93,5% полиэстер, 6,5% спандекс 
Размер: S, M, L, XL, XXL, 3XL
Упаковка: опп-пакет
Примечание от фабрики: 
Мин.кол-во от 100 шт., возможные цвета см. в доп.фото, худи с липучкой для шевронов", Дизайн: термонтрансфер/вышивка,100,"39,1","3442,7",45-50,,,35-40,7 500,10,20-22,
,,,,,,,,,,,,,,
,Кепка,"Материал: хлопок
Размер: 57 см., взрослый 
Упаковка: опп-пакет
Примечание от фабрики: 
Мин.кол-во от 300 шт.", Дизайн: по макету клиента ,300,"12,4","1092,2",50-55 производство; 25-30 доставка,,,50-55 производство; 15-20 доставка,41 200,15,25-27,
,,,,,,,,,,,,,,
,Рюкзак,"Материал: оксфорд
Размер: по макету клиента 
Упаковка: опп-пакет
Примечание от фабрики: 
Мин.кол-во от 1000 шт.", Дизайн: полный кастом по макету клиента ,1000,"14,1","1242,0",60-65,,,50-55,20 100,10,20-22,
,,,,,,,,,,,,,,
,Шеврон,"Материал: ткань
Размер:  примерно 5*6 см
Упаковка: ОПП пакет
Примечание от фабрики: мин.тираж от 1000 шт. на 1 стиль ", Дизайн: полный кастом по макету клиента ,1000,"1,4","116,0",55-60,,,45-50,5 000,14,24-26,
