,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Кабель - ланъярд,"Материал: цинковый сплав, нейлон, пластик
Цвет: стоковый
Длина: 0,3м (ремувка) /
1,2м (шнур-ланъярд)

Разъемы: lightning - USB Type C
Коробка: только фирменная 
",500,"4,98(короткий)

5,86 (длинный)","453,23 (короткий)

533,09 (длинный)",45-50 кд,3500,15-17 кд,
,Термос с определением темературы,"Материал: нержавеющая сталь 304, пластик
Цвет: черный, красный, синий, белый, розовый, серебристый, золотой
Объем: 500 мл
Размер: 22.5 х 6.5 см
Нанесение: лазерная гравировка",500,"5,0","480,23 ₽",28-33 кд,"6 834,00 ₽",13-15 кд,
,Контейнер для еды,"Материал: нержавеющая сталь, силикон
Размер: 18,8 х 11 х 7 см
Цвет: розовый, бирюзовый, серый
Нанесение: шелкография
Стальная полость вынимается, в комплекте силиконовый держатель, стальные приборы (палочки, ложка), держатель для приборов",500,"11,9","1090,5",50-55 кд,"7784,98",20-22 кд,
,Чехол для ноутбука,"Материал: нейлон
Размер: 38 х 27,5 (для ноутбуков 15 дюймов)
Цвет: белый, пудровый, зеленый, голубой, коралловый, розовый, коричневый
Нанесение: нашивка (патч) или вышивка
Застежка на магните",500,"10,3","943,0",52-57 кд,"16217,23",17-19 кд,
,Картхолдер,"Материал: кожзам
Размер: 10,5 х 7,5
Цвет: выкрас в базовые цвета
Нанесение: шелкография, тиснение
",500,"2,3","215,32 ₽",40-45 кд,"6625,59",20-22 кд,
,Держатель для телефона,"Материал: металл
Размер: 15 х 5,5 см
Цвет: стоковый серый
Нанесение: шелкография
",500,"11,1","1016,1",45-50 кд,"12732,94",20-22 кд,
,Колонка,"Материал: пластик
Размер: 20 х 8,6 см
Цвет: черный, серый, синий, камуфляжный хакки
Нанесение: сбоку на динамик

Воспризведение через bluetooth
В стоимость входит дизайн фирменной коробочки и кастомное имя колонки при поиске bluetooth
",500,"39,7","3 695,09 ₽",60-65 кд,"14131,14",17-19 кд,
,Колонка,"Материал: АБС + ПК + силикон
Размер: 16 х 8,6 см
Цвет: слоновой кости
Нанесение: шелкография

Воспризведение через bluetooth
",500,"72,0","6 649,90 ₽",60-65 кд,25 644,17-19 кд,
,Косметичка,"Материал: пвх
Размер: 22 х 13 х 12,5 см
Цвет: черный или розовый
Нанесение: шелкография
",500,"6,2","567,7",50-55 кд,"6 378,35 ₽",15-17 кд,
,Настольный шар,"Материал: синтетическая смола
Диаметр: 8 см
Цвет: выкрас в цвет клиента
Нанесение: тампопечать

Есть возможность сделать кастомную коробочку
",500,"13,55

14,43 с коробочкой под клиента

","1 268,31 ₽ 

1 348,61 ₽ c коробочкой под клиента",65-70 кд,"51062,77",32-34 кд,
,Блокнот,"Материал: бумага
Размер: 14 х 9 см
Кол-во страниц: 60
Цвет: сиреневый, розовый, белый, желтый, голубой, серый, зеленый
Можно выбрать разлинованные либо пустые страницы",500,"0,7","68,29 ₽",32-37 кд,"3710,13",17-19 кд,
,Елочная игрушка с подсветкой,"Материал: дерево
Размер: 12 х 10 х 5 см

Нанесение: шелкография на крыше или сбоку",500,"2,7","251,92 ₽",40-45 кд,"8230,86",19-21 кд,
,Сквиш,"Материал: ПУ
Размер: 6,8 х 4,7 х 8:2 см
Цвет: выкрас в цвет клиента
Нанесение: тампопечать",500,"3,32","304,1",44-49 кд,"8441,27",14-16 кд,
,Елочный домик стекло,"Материал: стекло
Размер: 8,3 х 4,2 см
Цвет: синий
Нанесение: аквапринт
Кастом коробки: нанесение лого",500,"3,66 без кастома коробки

4,42 с кастомом коробки","338,16 ₽ без кастома коробки

407,76 ₽ с кастомом коробки",55-60 календ. дн.,"25 800 руб. без коробки

34 700 руб. с коробкой","Фото 15 календ. дн.

С доставкой 25-27 календ. дн.",
,Елочный домик стекло,"Материал: стекло
Размер: 5,8 х 4,2 х 9 см
Цвет: стоковый
Нанесение: аквапринт  (можно нанести маленькое лого на лицевой стороне, либо большое снизу)
Кастом коробки: нанесение лого на белую коробку",500,"3,45 без кастома коробки

3,57  с кастомом коробки","318,49 ₽ без кастома коробки

329,20 ₽ с кастомом коробки
",90-95 календ. дн.,"5950 руб. без кастома коробки

21400 с кастомом коробки","Фото 15 календ. дн.

С доставкой 25-27 календ. дн.",
,Елочный домик стекло,"Материал: стекло
Размер: 5,3 х 5,8 х 10,2 см
Цвет: стоковый
Нанесение: аквапринт (можно нанести маленькое лого на лицевой стороне, либо большое снизу)
Кастом коробки: нанесение лого на белую коробку",500,"
4,14 без кастома коробки

4,73  с кастомом коробки","365,22 ₽ без кастома коробки

417,09 ₽ ₽ с кастомом коробки",95-100 календ. дн.,"5950 руб. без кастома коробки

21400 с кастомом коробки","Фото 15 календ. дн.

С доставкой 25-27 календ. дн.",
,Елочный домик стекло,"Материал: стекло
Размер: 12 х 10 х 4 см
Цвет: голубой
Нанесение: аквапринт (можно нанести маленькое лого на лицевой стороне, либо большое снизу)
Кастом коробки: нанесение лого на белую коробку",500,"4,50 без кастома коробки

4,91 с кастомом коробки","420,65 ₽ без кастома коробки

458,12 ₽ с кастомом коробки",60-65 календ. дн.,"14900 руб. без кастома коробки

31400 с кастомом коробки","Фото 15 календ. дн.

С доставкой 25-27 календ. дн.",
