,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д."
 ,Рюкзак,"Основной материал: PU + полиэстер
Подклад: хлопок
Наполнитель: PP-хлопок 200g
Размер: 28см х 43см х 16.5см
Ширина ручки: 2cм
Ширина лямок: 5см
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная
Упаковка: инд пакет (хороший)"," Дизайн: ПВХ шеврон с лого в 1 цвет, 4*4 см, на стропе лого, цвет материала приближенный к  18-1763 TPG, пуллеры красные (приближенные к пантону цвет)  ",300,"44,16","4074,10",65-70,"49,40","4546,19",55-60,15 000,10,20-22
,Капюшон,"Материал: полиэстер + PU
Упаковка: инд пакет (хороший)
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная","Дизайн: ПВХ шеврон с лого красно-белый 4*4 см, красный пуллер из шнурка (приближенный цвет ),  материала приближенный к  18-1763 TPG",500,"31,39","2955,26",65-70,"35,21","3318,59",55-60,15 000,10,20-22
,Несессер,"Основной материал: PU + полиэстер
Подклад: хлопок
Наполнитель: PP-хлопок 200g
Размер: 25см х 35см х 10cм
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная
Упаковка: инд пакет (хороший)"," Дизайн:  на стропе лого, цвет материала приближенный к  18-1763 TPG, пуллеры красные (приближенные к пантону цвет) ",300,"19,78","2030,08",60-65,"21,34","2200,47",50-55,12 000,10,20-22
,Чехол для ноутбука,"Материал: полиэстер + PU
Подклад: полиэстер
Размер: 35*25 см
Упаковка: инд пакет (хороший)
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная","Дизайн: ПВХ шеврон с лого в 1 цвет, 4*4 , цвет материала приближенный к  18-1763 TPG, пуллеры красные (приближенные к пантону цвет)  ",300,"21,72","2204,75",60-65,"24,86","2487,66",50-55,14 000,10,20-22
,Шоппер,"Материал: полиэстер + PU
Подклад: хлопок
Размер: 35*33*18 см
Ручки: 15*7 см
Упаковка: инд пакет (хороший)
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная
"," Дизайн: ПВХ шеврон с лого в 1 цвет, 4*4 см, на стропе лого, цвет материала приближенный к  18-1763 TPG, пуллеры красные (приближенные к пантону цвет) , стропа с лого 1 цвет ",500,"26,05","2444,25",65-70,"29,72","2774,71",55-60,15 200,10,20-22
,сумка для телефона,"Материал: полиэстер + PU
Подклад: хлопок
Размер: 20*15*4 см
Ручки: 9*5 см
Упаковка: инд пакет (хороший)
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная"," Дизайн: ПВХ шеврон с лого в 1 цвет, 4*4 см, на стропе лого, цвет материала приближенный к  18-1763 TPG, пуллеры красные (приближенные к пантону цвет) , стропа с лого 1 цвет ",500,"15,35","1681,67",65-70,"16,41","1777,26",55-60,14 000,10,20-22
,Поясная сумка,"Основной материал: PU + полиэстер
Подклад: хлопок
Наполнитель: PP-хлопок 200g
Размер: 25cm x 17cm x 6cm
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная
Упаковка: инд пакет (хороший)"," Дизайн: ПВХ шеврон с лого в 1 цвет, 4*4 см, на стропе лого, цвет материала приближенный к  18-1763 TPG, пуллеры красные (приближенные к пантону цвет) , стропа с лого 1 цвет ",300,"19,11","1899,52",60-65,"20,67","2009,92",50-55,14 000,10,20-22
,рюзкак,"Материал: tpu blazar 
Материал подкладки: полиэстер 135 гр
Материал вставки-наполнителя: пенополиэтилен
Размер рюкзака: 53,5*38*10,5 см
Размер внешнего кармана: 25,5*28 см
Размер лямки: 47*5,6 см
Размер спинки: 27*34 см
Длина водотталкивающей молнии внешнего кармана: 26 см 
можно добавить: 
шеврон - примерно 90 рублей к цене
бирку - примерно 40 рубелй к цене
печать на подкладе - примерно 80-90 рублей к цене (одноцветную) 
можно добавить сублимацию на стропе: если одноцветная - то к цене + 50 рублей
","Дизайн: цвет сумки красный, брендированный пуллер",300,"44,0","4063,28",60-65,"49,1","4518,46",50-55,15 000,10,20-22
,"
чехол для ноутюука
","Материал: tpu blazar 
Материал подкладки: полиэстер 135 гр
Размер: 36*25.5*1.5 см
Фурнитура: стандартная молния и пуллер коллекции
Одно центральное отделение                                                                            
можно добавить: 
шеврон - примерно 90 рублей к цене
бирку - примерно 40 рубелй к цене
печать на подкладе - примерно 80-90 рублей к цене (одноцветную) 
","Дизайн: цвет сумки - красный, брендированный пуллер",300,"19,160","1729,18",60-65,"21,260","1907,52",50-55,15 000,10,20-22
,"
Монетница на паракордовом шнуре","Материал: tpu blazar 
Материал подкладки: полиэстер 135 гр
Размер: 10.5*10*1.5 см
Фурнитура: стандартная молния и пуллер коллекции
Одно центральное отделение
Толщина шнурка: 7 мм, длина шнурка 6-69см                                                                          
можно добавить: 
шеврон - примерно 90 рублей к цене
бирку - примерно 40 рубелй к цене
печать на подкладе - примерно 80-90 рублей к цене (одноцветную) 
","Дизайн: цвет сумкикрасный, брендированный пуллер",300,"14,170","1354,81",60-65,"15,510","1468,31",50-55,15 000,10,20-22
,"
Несессер","Материал: tpu blazar 
Размер: 9,8*10,2*21,2 см
Материал подкладки: полиэстер 135 гр
можно добавить: 
шеврон - примерно 90 рублей к цене
бирку - примерно 40 рубелй к цене
печать на подкладе - примерно 80-90 рублей к цене (одноцветную) ","Дизайн: цвет косметички красный, брендированный пуллер",300,"14,750","1327,72",60-65,"16,660","1499,69",50-55,15 000,10,20-22
,"

Холдер для бутылки
","Материал: tpu blazar 
Размер: 8,6*18 (подходит для бутылки диаметром 7,2 см)
Высота тканевой затяжной части: 2 см
Материал подкладки: полиэстер 135 гр
Материал вставки-наполнителя: пенополиэтилен
Ширина стропы: 3 см
Длина стропы: 136 см                                                                                              
можно добавить: 
шеврон - примерно 90 рублей к цене
бирку - примерно 40 рубелй к цене

","Дизайн: цвет сумки красный, сублимация на стропе",300,"18,100","1629,22",60-65,"19,910","1792,10",50-55,15 000,10,20-22
,"
Кроссбоди","Материал: tpu blazar 
Размер: 18*3,8*13 см
Материал подкладки: полиэстер 135 гр
Материал вставки-наполнителя: пенополиэтилен
Ширина стропы: 3 см
Длина стропы: 136 см                                                                  можно добавить: 
шеврон - примерно 90 рублей к цене
бирку - примерно 40 рубелй к цене
печать на подкладе - примерно 80-90 рублей к цене (одноцветную) 
шелкография на стропе: к цене плюс 80-90 рублей
термотрансфер на стропе: к цене плюс 80-90 рублей
плетение на стропе: к цене плюс 125 рублей","Дизайн: брендированный пуллер, лого на стропе,",300,"18,970","1807,43",60-65,"20,700","1963,38",50-55,15 000,10,20-22
