,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Поднос,"Материал: пластик
Размер: 41*27*3 см
Внутренняя сторона: 35*24 см
Упаковка: опп-пакет
Имеет текстуру дерева", Дизайн: печать логотипа шелкография,500,"8,7","782,2",45-50,,,,7 300,10,20-22,
,,,,1000,"8,2","737,1",,,,,,,,
,,, Дизайн: полная запечатка,500,"9,4","846,4",,,,,,,,
,,,,1000,"8,7","784,5",,,,,,,,
 ,Поднос,"Материал: пластик
Размер: 43*30,5*3 см
Упаковка: опп-пакет
Ребристая текстура", Дизайн: печать логотипа шелкография,500,"5,8","523,8",45-50,,,,7 300,10,20-22,
,,,,1000,"5,5","493,0",,,,,,,,
,,, Дизайн: полная запечатка,500,"7,1","635,4",,,,,,,,
,,,,1000,"6,7","598,4",,,,,,,,
 ,Поднос,"Материал: бамбук
Размер: 41*29*2 см
Упаковка: опп-пакет
Натуральное дерево", Дизайн: печать логотипа шелкография (только от 1000 штук),1000,"12,0","1083,4",50-55,,,,8 100,10,20-22,
,,,,,,,,,,,,,,
 ,Поднос,"Материал: нержавеющая сталь
Размер: 41*30*2 см
Упаковка: опп-пакет
Ребристая текстура", Дизайн: печать логотипа шелкография,500,"10,1","909,3",50-55,,,,5 900,10,20-22,
,,,,1000,"8,9","802,3",,,,,,,,
