,,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Менеджер,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Света Ч,Худи ,"Материал:  хлопок, футер 3-нитка 300гр, состав: хлопок 82%, полиэстер  12%, эластан 6%
манжеты и низ изделия - кашкорсе
Размер:  S/M/L/XL/XXL  
Упаковка:  Белая картонная кашированная коробка со структурой бетона. Крышка на магнитах, худи упакован  с люксовой бумагой тишью
Примечание от фабрики: цена примерная, для расчета точной стоимости необходима проработка образца"," Дизайн: индивидуальный пошив: 
- Капюшон с внутренним тиснением
- на левой лопатке — термоперенос контурной схемы здания (или планировки проекта SENSE).
- металлический шильд с лазерной гравировкой «SENSE»
- запечатка подклада
",100,"156,3","13284,1",55-60,"159,6","13564,6",45-50,17 000,10,20-22,
,,,,,120,"132,6","11271,7",,"135,9","11552,2",,,,,
 ,Света Ч,ШАПКА-БИНИ,"Материал: акриловое волокно
Размер: индивидуальный пошив, около - 22*20*7 см
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, для расчета точной стоимости необходима проработка образца"," Дизайн: индивидуальный пошив, выбор цвета нитей из раскладки, светоотражающий шильд с печатью логотипа",200,"8,9","756,8",45-50,"9,1","772,9",35-40,14 000,7,17-19,
 ,Лена,ШОППЕР ,"Материал: полиэстер 
Размер: 31х39 
Упаковка: пакет 
Примечание от фабрики: "," Дизайн: по референсу,  ьканевая бирка с логотипом ",300,"8,4","713,9",55-60,"9,7","823,6",45-50,5 206,7,17-19,
,,,,,500,"7,9","671,1",55-60,"9,2","780,7",45-50,,,,
 ,Света Ч,Брелоки,"Материал: пвх
Размер: около 12*2 см
Упаковка: индивидуальный пакетик"," Дизайн: выкрас в пантон, вдавленное тиснение логотипа",200,"2,1","182,0",35-40,"2,2","189,4",25-30,14 000,7,17-19,
,,,,,500,"1,4","114,5",,"1,4","122,0",,,,,
