,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Джиббитсы,"Материал: ПВХ
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Требуется макет от клиента
Требуется размер от клиента
Каждая цена посчитана на 1 вариант дизайна. В зависимости от дизайна цена не меняется", Дизайн: полный кастом по макету клиента,1500,"0,8","63,6",45-50,,,,,,10-12,
,,,,2500,"0,7","58,7",,,,,,,,
 ,Ремувки,"Материал: ПВХ
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Требуется макет от клиента
Требуется размер от клиента
Цены даны на 1 макет", Дизайн: полный кастом по макету клиента,2000,"3,0","251,6",45-50,,,,,,10-12,
,,,,3000,"2,9","244,3",,,,,,,,
 ,Брелок,"Материал: металл, эмаль
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Требуется макет от клиента
Требуется размер от клиента
Цены даны на 1 макет", Дизайн: полный кастом по макету клиента,2000,"2,9","245,4",45-50,,,,,,10-12,
,,,,3000,"2,7","233,0",,,,,,,,
 ,"Худи 
1-2 основная партия","Материал: хлопок 100%
Размер: см.доп фото
Упаковка: опп-пакет
Примечание от фабрики:  есть возможность создания худи по размерам клиента (требуется информация от клиента)
"," Дизайн: полный кастом по макету клиента, термотрансферная печать ",500 (по 250 шт каждого дизайна),"41,0","3487,9",50-55,,,,17 600 (по одному образцу каждого дизайна),9,19-21,
,,,,1000 (по 500 шт каждого дизайна),"39,8","3381,0",,,,,,,,
 ,"Худи 
VIP","Материал: хлопок 100%
Размер: см.доп фото
Упаковка: опп-пакет
Примечание от фабрики:  есть возможность создания худи по размерам клиента (требуется информация от клиента)
"," Дизайн: полный кастом по макету клиента, термотрансферная печать ",200 (по 100 шт каждого дизайна),"57,7","4900,5",,,,,9 900,,,
,,,,500 (по 250 шт каждого дизайна),"48,0","4080,0",,,,,,,,
 ,Игрушка (маленькая),"Материал: плюш
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Требуется макет от клиента
", Дизайн: полный кастом по макету клиента,500,"7,2","612,2",45-50,,,,10 000,7,17-19,
,,,,1000,"6,9","583,4",,,,,,,,
,,,,1500,"6,7","569,2",,,,,,,,
 ,Игрушка (сидячая),"Материал: плюш
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Требуется макет от клиента
", Дизайн: полный кастом по макету клиента,500,"10,3","876,2",45-50,,,,10 000,7,17-19,
,,,,1000,"10,0","847,4",,,,,,,,
 ,Игрушка (браслет на руку),"Материал: плюш
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Требуется макет от клиента
", Дизайн: полный кастом по макету клиента,500,"9,3","791,5",45-50,,,,10 000,7,17-19,
,,,,1000,"8,3","706,2",,,,,,,,
 ,Игрушка (вип),"Материал: плюш
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Требуется макет от клиента
", Дизайн: полный кастом по макету клиента,100,"14,5","1230,0",45-50,,,,10 000,7,17-19,
,,,,250,"13,8","1168,7",,,,,,,,
 ,Шоппер с игрушкой,"Материал: холщовая ткань + плюшевая игрушка
Размер: по макету клиента, примерно 35-40 см
Упаковка: опп-пакет
Цвет: из раскладки фабрики (см. доп.фото)
Примечание от фабрики: 
Оба дизайна стоят одинаково
Выкрас в Пантон от 3000 шт.

Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно"," Дизайн: полный кастом по макету клиента, цена за 1 дизайн
надпись может быть напечатана/вышита/выткана",500,"18,41","1 565,12",60-70,,,,20 000,10,20-22,
,,,,2000,"17,40","1 478,90",,,,,,,,
 ,Шоппер-рюкзак,"Материал: водонепроницаемый полиэстер/нейлон
Размер: по макету клиента, примерно 35-40 см
Упаковка: опп-пакет
Цвет: из раскладки фабрики 
Примечание от фабрики: 
Выкрас в Пантон от 3000 шт.

Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно", Дизайн: полный кастом по макету клиента,300,"19,56","1 662,29",60-70,,,,17 000,10,20-22,
,,,,,,,,,,,,,,
 ,Форма для льда (только буква С),"Материал: силикон
Размер: по макету клиента, примерно 8*4*3 см
Упаковка: опп-пакет
Примечание от фабрики: 

Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно", Дизайн: открытие формы,500,"11,62","987,33",45-55,,,,"217000
(стоимость открытия формы)",15,25-27,
,,,,,,,,,,,,,,
,Форма для льда (форма из 3 ячеек в форме букв),"Материал: силикон
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 

Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно",,,"10,69","908,34",45-55,,,,"200000
(стоимость открытия формы)",15,25-27,
