,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Брелок ,"Материал: металл, кожа 
Размер: 104х42
Упаковка: индивид пакет 
Примечание от фабрики:  фабркиа может сделать тиснение без золотом, если делать др цвет - это будет шелкография "," Дизайн: брелок по макету клиента, цвет бронза, внури черная кожа,  лого - тиснение золотом ",500,"4,2","432,9",50-55,"4,4","454,4",40-45 ,9 057,7-10,17-22,
,,,лого СОЮЗ металл буквы на кожанной поверхности  (наклейка),500,"4,4","447,7",50-55,"4,6","469,3",40-45 ,,,,
,Брелок ,"Материал: металл, кожа 
Размер: длина 10-12 см
Упаковка: индивид пакет 
Примечание от фабрики:  фабркиа может сделать тиснение лого золотом, если делать др цвет - это будет шелкография "," Дизайн: брелок  цвет бронза, внури черная кожа,  лого - тиснение золотом ",500,"4,9","509,1",50-55,"5,2","533,7",40-45 ,9 057,7-10,17-22,
,,,лого СОЮЗ металл буквы на кожанной поверхности  (наклейка),500,"5,5","568,5",50-55,"5,8","593,2",40-45 ,,,,
 ,Брелок ,"Материал: металл, кожа 
Размер: длина 10-12 см
Упаковка: индивид пакет 
Примечание от фабрики:  фабркиа может сделать тиснение лого золотом, если делать др цвет - это будет шелкография "," Дизайн: брелок  цвет бронза, внури черная кожа,  лого - тиснение золотом ",500,"4,9","509,1",50-55,"5,2","533,7",40-45 ,9 057,7-10,17-22,
,,,лого СОЮЗ металл буквы на кожанной поверхности  (наклейка),500,"5,5","568,5",50-55,"5,8","593,2",40-45 ,,,,
,Брелок ,"Материал: металл, кожа 
Размер: длина 10см
Упаковка: индивид пакет 
Примечание от фабрики:  фабркиа может сделать тиснение лого золотом, если делать др цвет - это будет шелкография "," Дизайн: брелок  цвет бронза, внури черная кожа,  лого - тиснение золотом ",500,"5,9","608,2",50-55,"6,1","629,8",40-45 ,9 057,7-10,17-22,
,,,лого СОЮЗ металл буквы на кожанной поверхности  (наклейка),500,"6,3","643,9",50-55,"6,5","665,4",40-45 ,,,,
,Брелок ,"Материал: металл, кожа 
Размер: длина 10 см
Упаковка: индивид пакет 
Примечание от фабрики:  фабркиа может сделать тиснение лого золотом, если делать др цвет - это будет шелкография "," Дизайн: брелок  цвет бронза, внури черная кожа,  лого - тиснение золотом ",500,"5,9","608,2",50-55,"6,1","629,8",40-45 ,9 057,7-10,17-22,
,,,лого СОЮЗ металл буквы на кожанной поверхности  (наклейка),500,"6,3","643,9",50-55,"6,5","665,4",40-45 ,,,,
,Брелок ,"Материал: металл, кожа 
Размер: длина 10 см
Упаковка: индивид пакет 
Примечание от фабрики:  лого  - лазер/шелкография, тиснение на коже "," Дизайн: брелок  цвет бронза, черная кожа,  лого на металической части ",500,"3,1","320,8",45-50,"3,3","335,5",35-40,8 917,7-10,17-22,
,Брелок ,"Материал: металл, кожа 
Размер: длина 10 см
Упаковка: индивид пакет 
Примечание от фабрики:  лого  - лазер/шелкография, тиснение на коже "," Дизайн: брелок  цвет бронза, черная кожа,  лого на металической части ",500,"2,8","285,0",45-50,"2,9","295,8",35-40,8 917,7-10,17-22,
,Брелок ,"Материал: металл, кожа 
Размер: длина 9 см
Упаковка: индивид пакет 
Примечание от фабрики:  лого  - лазер/шелкография, тиснение на коже "," Дизайн: брелок  кожа по карте цветов от фабрики, лого клиента ",500,"2,8","285,0",45-50,"2,9","295,8",35-40,6 400,7-10,17-22,
