,"Менеджер: Тищук Анастасия
Email: tishuk.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Cервировочное кольцо,"Материал: костяной фарфор
Размер: в ассортименте,на фото
Упаковка: транспортировочная 
", Дизайн: цветная деколь,8000 одного дизайна,"3,6","316,9",65-80,"3,9","341,6",55-70,14 000,20,30-32,
,,,,16000 одного дизайна,"3,5","303,9",65-80,"4,2","367,3",55-70,,,,
,,,,32000 одного дизайна,"3,2","279,7",75-90,"3,6","315,7",65-80,,,,
 ,Cервировочное кольцо,"Материал: костяной фарфор
Размер: в ассортименте,на фото
Упаковка: транспортировочная 
", Дизайн: цветная деколь+золотая деколь в макете,8000 одного дизайна,"3,9","342,6",65-80,"3,7","328,6",55-70,14 000,20,30-32,
,,,,16000 одного дизайна,"3,7","329,6",65-80,"4,0","354,3",55-70,,,,
,,,,32000 одного дизайна,"3,5","305,5",75-90,"3,9","341,4",65-80,,,,
 ,Набор из трех елочных игрушек,"Материал: Стекло
Размер: 8,5*2*9см
Упаковка: Пупырчатая пленка, 10 игрушек в одной картонной коробке
"," Дизайн: Индивидуальный дизайн клиента, пустая игрушка внутри",8 000 ,"11,0","957,1",65-75,"11,7","1024,5",55-60,30 000,20,30-32,
,,,,16 000,"10,1","886,8",70-80,"10,9","954,2",60-65,,,,
 ,Набор из трех елочных игрушек,"Материал: Стекло
Размер: 8,5*0,5*9см
Упаковка:  Пупырчатая пленка, 10 игрушек в одной картонной коробке
", Дизайн: Индивидуальный дизайн клиента,8 000 ,"9,4","816,9",65-75,"10,0","876,1",55-60,30 000,20,30-32,
,,,,16 000,"8,5","746,6",70-80,"9,2","805,8",60-65,,,,
 ,Набор из трех елочных игрушек,"Материал: Стекло
Размер: 8,5*1*9см
Упаковка:  Пупырчатая пленка, 10 игрушек в одной картонной коробке
", Дизайн: Индивидуальный дизайн клиента,8 000 ,"10,6","922,0",65-75,"11,3","989,4",55-60,30 000,20,30-32,
,,,,16 000,"9,7","851,7",70-80,"10,4","919,0",60-65,,,,
 ,Ёлочная игрушка,"Материал: Стекло
Размер: 8,5*2*9см
Упаковка:  Пупырчатая пленка, 10 игрушек в одной картонной коробке
"," Дизайн: Индивидуальный дизайн клиента 1 цвет, пустая игрушка внутри",8 000 ,"3,6","314,3",65-75,"4,0","350,5",55-60,24 000,20,30-32,
,,,,16 000,"3,4","301,7",70-80,"3,7","325,6",60-65,,,,
 ,Ёлочная игрушка,"Материал: Стекло
Размер: 8,5*0,5*9см
Упаковка:  Пупырчатая пленка, 10 игрушек в одной картонной коробке
", Дизайн: Индивидуальный дизайн клиента  1 цвет,8 000 ,"3,3","289,5",65-75,"3,5","310,5",55-60,24 000,20,30-32,
,,,,16 000,"3,0","264,5",70-80,"3,2","285,5",60-65,,,,
 ,Ёлочная игрушка,"Материал: Стекло
Размер: 8,5*1*9см
Упаковка:  Пупырчатая пленка, 10 игрушек в одной картонной коробке
", Дизайн: Индивидуальный дизайн клиента  1 цвет,8 000 ,"3,7","326,7",65-75,"3,9","338,1",55-60,24 000,20,30-32,
,,,,16 000,"3,4","301,7",70-80,"3,7","325,6",60-65,,,,
 ,Ёлочная игрушка (3 цвета в тираже),"Материал: Стекло
Размер: 8,5*2*9см
Упаковка:  Пупырчатая пленка, 10 игрушек в одной картонной коробке
"," Дизайн: Индивидуальный дизайн клиента, пустая игрушка внутри",8 000 ,"3,9","339,1",65-75,"4,1","363,0",55-60,24 000,20,30-32,
,,,,16 000,"3,6","314,2",70-80,"3,8","338,0",60-65,,,,
 ,Ёлочная игрушка (3 цвета в тираже),"Материал: Стекло
Размер: 8,5*0,5*9см
Упаковка:  Пупырчатая пленка, 10 игрушек в одной картонной коробке
", Дизайн: Индивидуальный дизайн клиента,8 000 ,"3,5","301,9",65-75,"3,7","322,9",55-60,24 000,20,30-32,
,,,,16 000,"3,2","277,0",70-80,"3,4","298,0",60-65,,,,
 ,Ёлочная игрушка (3 цвета в тираже),"Материал: Стекло
Размер: 8,5*1*9см
Упаковка:  Пупырчатая пленка, 10 игрушек в одной картонной коробке
", Дизайн: Индивидуальный дизайн клиента,8 000 ,"3,7","326,7",65-75,"4,0","350,5",55-60,24 000,20,30-32,
,,,,16 000,"3,6","314,2",70-80,"3,8","338,0",60-65,,,,
 ,Фоторамка,"Материал: Стекло
Размер: А5
Упаковка: Картонная коробка для каждой единицы товара
", Дизайн: Стандартный заводской дизайн,8 000 ,"7,19","662,00",55-60,"8,39","774,20",45-50,4 000,3,13-15,
,,,,16 000,"6,96","638,95",55-60,"8,10","747,64",45-50,,,,
 ,Фоторамка,"Материал: Стекло
Размер: 6 дюймов
Упаковка: Картонная коробка для каждой единицы товара

", Дизайн: Стандартный заводской дизайн,8 000 ,"4,84","445,30",55-60,"5,64","520,10",45-50,3 700,3,13-15,
,,,,16 000,"4,66","429,02",55-60,"5,43","501,48",45-50,,,,
 ,Фоторамка,"Материал: костяной фарфор
Размер: 13.5*18.6см под фото 10*15см
Упаковка: транспортировочная
Требуется открытие формы(см. столбец ""Образец"")"," Дизайн: открытие формы,цена без дизайна",8 000 ,"20,45","1 738,59",70-85,"23,31","1 981,35",60-75,20000 рублей открытие формы,20,13-15,
,,,,16 000,"20,16","1 713,62",70-85,"23,02","1 956,38",60-75,,,,
 ,Фоторамка,"Материал: белый фарфор
Размер: 13.5*18.6см под фото 10*15см
Упаковка: транспортировочная
Требуется открытие формы(см. столбец ""Образец"")"," Дизайн: открытие формы,цена примерная с дизайном как на фото",8 000 ,"13,26","1 127,28",95-120,"16,02","1 361,37",85-110,20000 рублей открытие формы,20,13-15,
,,,,16 000,"12,87","1 094,02",95-120,"15,54","1 321,23",85-110,,,,
 ,Фоторамка,"Материал: белый фарфор
Размер: 24.2*19.5*1.6см
Упаковка: транспортировочная
Требуется открытие формы(см. столбец ""Образец"")"," Дизайн: открытие формы,цена без дизайна",8 000 ,"17,75","1 509,15",95-120,"20,99","1 847,28",85-110,20000 рублей открытие формы,20,13-15,
,,,,16 000,"17,23","1 464,66",95-120,"20,37","1 792,85",85-110,,,,
 ,Фоторамка,"Материал: Дерево, стекло
Размер: А5
Упаковка: Стандартная пластиковая упаковка для каждого изделия

", Дизайн: Стандартный заводской дизайн,8 000 ,"7,60","697,11",45-50,"8,80","809,31",35-40,4 700,3,13-15,
,,,,16 000,"7,36","675,32",45-50,"8,53","784,01",35-40,,,,
 ,Фоторамка,"Материал: Дерево, стекло
Размер: 6 дюймов
Упаковка: Стандартная пластиковая упаковка для каждого изделия
", Дизайн: Стандартный заводской дизайн,8 000 ,"5,17","473,38",45-50,"5,97","548,18",35-40,4 300,3,13-15,
,,,,16 000,"5,01","458,49",45-50,"5,78","530,96",35-40,,,,
