,"Менеджер: Титова Алина
Email: alina@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Термокружка,"Материал: нержавеющая сталь
Размер: 500 мл
Упаковка: фабричная коробка
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета"," Дизайн: круговая 3D печать, 1 цвет",500,"9,3","1029,3",40-45,,,,10 100,5,15-17,
,,,,1000,"9,2","1012,1",40-45,,,,,,,
,,,,2000,"9,0","995,7",40-45,,,,,,,
 ,Термокружка,"Материал: нержавеющая сталь, пвх
Размер: 450 мл
Упаковка: фабричная коробка
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета"," Дизайн: шелкография, 1 цвет",500,"12,4","1354,9",50-55,,,,10 100,7,17-19,
,,,,1000,"12,3","1337,7",50-55,,,,,,,
,,,,2000,"12,2","1327,5",50-55,,,,,,,
 ,Термокружка,"Материал: нержавеющая сталь
Размер: 600 мл
Упаковка: фабричная коробка
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета", Дизайн: шелкография в один цвет,500,"8,3","914,1",40-45,,,,7 000,5,15-17,
,,,,1000,"8,1","896,9",40-45,,,,,,,
,,,,2000,"8,0","880,5",40-45,,,,,,,
 ,Термокружка,"Материал: нержавеющая сталь, пвх
Размер: 500мл
Упаковка: фабричная коробка
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета"," Дизайн: круговая 3D печать, 1 цвет",500,"8,1","898,6",40-45,,,,10 100,5,15-17,
,,,,1000,"8,0","881,3",40-45,,,,,,,
,,,,2000,"7,8","865,0",40-45,,,,,,,
 ,Бутылка с ароматическим кольцом,"Материал: тритан
Размер: 650 мл
Упаковка: фабричная коробка
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета"," Дизайн: шелкография, 1 цвет",500,"12,7","1371,3",50-55,,,,34 000,7,17-19,
,,,,1000,"10,6","1152,6",50-55,,,,,,,
,,,,2000,"10,1","1089,7",50-55,,,,,,,
 ,Бутылка  с ароматическим кольцом,"Материал: тритан
Размер: 1000 мл
Упаковка: фабричная коробка
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета"," Дизайн: шелкография, 1 цвет",500,"10,8","1173,1",50-55,,,,34 000,7,17-19,
,,,,1000,"10,2","1109,4",50-55,,,,,,,
,,,,2000,"9,9","1077,5",50-55,,,,,,,
 ,Бутылка,"Материал: тритан
Размер: 700 мл
Упаковка: фабричная коробка
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета"," Дизайн: шелкография, 1 цвет",500,"7,3","798,1",50-55,,,,34 000,7,17-19,
,,,,1000,"7,0","765,4",50-55,,,,,,,
,,,,2000,"6,7","733,5",50-55,,,,,,,
 ,Шоппер,"Материал: плотный хлопок, примерно 280 гр
Размер: 32х40х9 см
Упаковка: прозрачный пакет
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета", Дизайн: шелкография и золотая пленка,500,"8,2","863,6",55-60,,,,18 550,7,17-19,
,,,,1000,"8,0","846,4",55-60,,,,,,,
,,,,2000,"7,8","830,1",55-60,,,,,,,
 ,Шоппер,"Материал: смесовая ткань плотная, примерно 280 гр
Размер: 32х40х9 см
Упаковка: прозрачный пакет
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета", Дизайн: вышивка,500,"8,6","910,1",55-60,,,,18 550,7,17-19,
,,,,1000,"8,4","892,9",55-60,,,,,,,
,,,,2000,"8,3","876,6",55-60,,,,,,,
 ,Шоппер,"Материал: плотный хлопок, примерно 280 гр
Размер: 32х40х9 см
Упаковка: прозрачный пакет
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета", Дизайн: полная запечатка,500,"8,9","941,1",55-60,,,,18 550,7,17-19,
,,,,1000,"8,7","923,9",55-60,,,,,,,
,,,,2000,"8,6","907,6",55-60,,,,,,,
 ,Бутылка,"Материал: нержавеющая сталь
Размер: 500 мл
Упаковка: фабричная коробка
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета", Дизайн: шелкография либо гравировка,500,"10,0","1093,4",55-60,,,,9 700,10,20-22,
,,,,1000,"9,9","1076,2",55-60,,,,,,,
,,,,2000,"9,7","1059,9",55-60,,,,,,,
 ,Бутылка,"Материал: нержавеющая сталь
Размер: 500 мл
Упаковка: фабричная коробка
Примечание от фабрики: цена ориентировочная, окончательная после утверждения макета

Минимальный тираж 2000 шт", Дизайн: шелкография либо гравировка,2000,"9,8","1 068,71 ₽",55-60,,,,19 000,10,20-22,
