,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Рюкзак,"Материал: хлопок, плюш
Размер: 26*24*10 см
Упаковка: опп-пакет
Примечание от фабрики: 
Все имеющиеся модели в доп. фото ", Дизайн: нет,200,"8,3","707,5",30-35,"10,0","849,0",20-25,2 400,2,12-14,
,,,,-,-,-,-,-,-,-,,,,
 ,Рюкзак,"Материал: хлопок, нейлон
Размер: 18*18*6 см
Упаковка: опп-пакет
Примечание от фабрики: 
Много животных. Фото полной коллекции по запросу", Дизайн: нет,200,"8,2","697,6",30-35,"9,9","837,1",20-25,2 500,2,12-14,
,,,,-,-,-,-,-,-,-,,,,
,Тостер,"Материал: АБС, металл
Размер: 28,2х18,4х21,3
Упаковка: фабричная коробка
Примечание от фабрики: 
Цвета из каталога фабрики (см.доп.фото), 120-140V, 50-60HZ,
"," Дизайн: шелкография, выжигающий лого",500,"48,6","4133,8",70-75,"56,1","4764,3",60-65,164 700,10,20-22,
,,,,1000,"31,7","2693,9",70-75,"39,1","3324,4",60-65,,,,
 ,Игрушки на пальцы,"Материал: ПВХ
Размер: 20,2х16,5х4,5
Упаковка: опп-пакет
", Дизайн: сток,300 наборов,"4,1","349,3",35-40,"4,6","388,2",25-30,12 200,10,20-22,
,,, Дизайн: кастом картонной подложки,,"6,8","581,3",45-50,"7,3","620,2",35-40,,,,
 ,Поильник,"Материал: силикон
Обьем: 240 мл
Упаковка: опп-пакет
", Дизайн: сток,200,"3,4","287,5",30-35,"4,1","351,6",30-35,2 500,3,13-15,
 ,Поильник,"Материал: полипропилен, силикон
Обьем: 240 мл
Упаковка: опп-пакет
", Дизайн: сток,200,"5,6","479,2",30-35,"7,2","608,8",30-35,2 500,3,13-15,
 ,Поильник,"Материал: полипропилен,силикон
Обьем: 240 мл
Упаковка: опп-пакет
", Дизайн: сток,200,"5,5","469,8",30-35,"6,7","568,9",30-35,2 500,3,13-15,
 ,Френч пресс,"Материал: стекло +металл
Обьем: чаник 600 мл + стакан 200 мл
Упаковка: стоковая коробочка
", Дизайн: вырезка лого в металле на каждом предмете,500,"25,0","2124,0",55-60,"31,7","2691,2",45-50,8 200,7,17-19,
