,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Рюкзак ,"Материал: оксфорд+полиэстер 
Размер: 40х29х11
Упаковка: пакет 
Примечание от фабрики: ", Дизайн: pvc шильд с лого,700,"13,6","1151,5",40,"17,7","1502,6",30,15 468,7,15-17,
,,, Дизайн: металлическая бирка,700,"14,1","1201,2",40,"18,3","1552,4",30,,,,
,,, Дизайн: жаккардовая бирка ,700,"13,7","1183,9",40,"17,8","1535,1",30,,,,
,Рюкзак ,"Материал:  оксфорд+полиэстер 
Размер: 43х30х11
Упаковка: пакет 
Примечание от фабрики: ", Дизайн: pvc шильд с лого,700,"25,4","2154,9",40,"32,0","2720,6",30,8 807,7,15-17,
,,, Дизайн: металлическая бирка,700,"25,8","2192,2",40,"32,5","2757,9",30,,,,
,,, Дизайн: жаккардовая бирка ,700,"25,2","2142,4",40,"31,9","2708,2",30,,,,
,Рюкзак ,"Материал:  оксфорд+полиэстер 
Размер: 43х29х15
Упаковка: пакет 
Примечание от фабрики: ", Дизайн: pvc шильд с лого,700,"22,2","1889,6",40,"28,0","2381,2",30,16 033,7,15-17,
,,, Дизайн: металлическая бирка,700,"22,5","1914,5",40,"28,6","2431,0",30,,,,
,,, Дизайн: жаккардовая бирка ,700,"22,8","1939,4",40,"28,3","2406,1",30,,,,
,Рюкзак ,"Материал: оксфорд
Размер: 42х30х14
Упаковка: пакет 
Примечание от фабрики: "," Дизайн: рюкзак черный цвет, pvc шильд с лого",700,"38,6","3276,9",45,"45,4","3862,1",35,12 184,7,15-17,
,Рюкзак ,"Материал: полиэстер 
Размер: 44х30х15
Упаковка: пакет 
Примечание от фабрики: ", Дизайн: pvc шильд с лого,700,"22,3","1890,9",40,"26,5","2250,0",30,16 033,7,15-17,
,,, Дизайн: металлическая бирка,700,"22,4","1903,4",40,"26,8","2274,9",30,,,,
,,, Дизайн: жаккардовая бирка ,700,"22,1","1878,5",40,"26,6","2262,4",30,,,,
