,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Рюкзак,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 40 х 12 х  30 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте", Дизайн: полный кастом по макету клиента,300,"29,1","2707,7",85-90,"32,0","2 976,59",75-80,"8 400,00",21,31-33,
,,,,500,"28,4","2650,1",,"31,4","2918,8",,,,,
,,,,1000-1500,"28,1","2606,7",,"30,9","2875,4",,,,,
,,,,2000,"27,2","2529,1",,"30,0","2790,0",,,,,
 ,Чехол для ноутбука,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,300,"16,7","1526,0",85-90,"18,4","1 709,69",75-80,"5 000,00",21,31-33,
,,,,500,"16,4","1526,4",,"18,1","1679,6",,,,,
,,,,1000-1500,"16,2","1510,8",,"17,9","1664,0",,,,,
,,,,2000,"15,8","1465,5",,"17,3","1614,3",,,,,
,Сумка для аккумулятора,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,300,"5,8","536,8",85-90,"6,0","563,8",75-80,"3 000,00",21,31-33,
,,,,500,"5,6","520,6",,"5,9","547,5",,,,,
,,,,1000,"5,4","505,0",,"5,7","531,9",,,,,
,,,,2000,"5,3","489,4",,"5,5","515,4",,,,,
 ,Шоппер,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,300,"16,7","1533,9",85-90,"18,3","1 684,4",75-80,"5 000,00",21,31-33,
,,,,500,"16,3","1503,8",,"18,0","1 654,4",,,,,
,,,,1000-1500,"16,0","1474,4",,"17,7","1 624,9",,,,,
,,,,2000,"15,5","1430,2",,"17,1","1 576,2",,,,,
 ,Поясная сумка,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 13 х 20 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,300,"10,1","931,0",85-90,"10,9","998,2",75-80,"3 800,00",21,31-33,
,,,,500,"9,9","914,9",,"10,7","982,1",,,,,
,,,,1000-1500,"9,6","885,4",,"10,4","952,6",,,,,
,,,,2000,"9,3","858,5",,"10,0","923,7",,,,,
 ,Косметичка,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,300,"8,8","809,8",85-90,"9,5","870,3",75-80,"3 500,00",21,31-33,
,,,,500,"8,5","784,4",,"9,2","844,9",,,,,
,,,,1000-1500,"8,4","774,8",,"9,1","835,3",,,,,
,,,,2000,"8,2","751,2",,"8,8","809,9",,,,,
,Брелок с металлическим шильдом,"Материал: полиэстер, жаккардовая ткань, металлический сплав
Длина: 18 см
Диаметр шильда: 3 см
Персонализация: эмбоссинг"," Дизайн: выкрас нитей в цвет, близкий к пантону клиена + эмбоссинг на шильде",300,"2,4","220,3",85-90,"2,8","254,5",75-80,"7 800,00",12-15,22-25,
,,,,500,"2,3","209,9",,"2,4","225,2",,,,,
,,,,1000 - 1500,"2,0","185,3",,"2,2","199,0",,,,,
,,,,2000,"1,7","153,9",,"1,8","165,6",,,,,
