,"Менеджер: Богдан Фёдор
Email: fedorb@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Тубус,"Материал: крафт-картон плотностью 157 г
Размер: 350*96*96 мм
Упаковка: ОРР пакет
"," Дизайн: одноцветная черная печать, без ламинирования",1000,"2,7","241,6",241600,50-55,,,0,,10 300,10,20-22,
,,"Материал: крафт-картон плотностью 157 г
Размер: 350*103*103 мм
Упаковка: ОРР пакет
"," Дизайн: одноцветная черная печать, без ламинирования",1000,"3,2","286,4",286420,50-55,,,0,,,,,
 ,Чехол для одежды,"Материал: полиэстер
Размер: 60*100см
Упаковка: ОРР пакет
Примечание от фабрики: Необхидимо сделать образец для проверки эффекта нанесения ", Дизайн: Шелкография логотипа клиента,1000,"12,1","948,14 ₽","948 140,00 ₽",55-60,,,0,,17 300,8,18-20,
,,,,,,,,,,,0,,,,,
 ,Сумка,"Материал: Нейлон
Размер: 20*15*5см (Возможна настройка размера)
Упаковка: ОРР пакет
Примечание от фабрики: Нейлон со складками и эффектом стирки (подобрано в соотествии с рефом)", Дизайн: Индивидуальный дизайн по макету клиента,1000,"24,22","1 734,75 ₽","1 734 750,00 ₽",60-65,,,0,,19 000,18,28-30,
,,,,,,,,,,,0,,,,,
 ,Вешалка,"Материал: Алюминиевый сплав, полиэстер
Размер: 21*42 см
Упаковка: ОРР пакет
Примечание от фабрики: "," Дизайн: Выкрас вешалки в пантон, бирка по индивидуальному дизайну клиента",1000,"5,1","498,86 ₽","498 860,28 ₽",55-60,,,0,,7 800,10,20-22,
,,,,,,,,,,,0,,,,,
