,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Антистресс,"Материал: алюминиевый сплав
Размер: 38*38*38MM
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"12,9","1096,1",40-45 ,"13,8","1168,9",30-35,5 669,3-5,10-12,
,Антистресс,"Материал: алюминиевый сплав
Размер: 38*38*38MM
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"14,4","1220,4",40-45 ,"15,2","1293,3",30-35,5 669,3-5,45790-45792,
,Антистресс,"Материал: ABS
Размер: 50*50*50MM
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"3,3","279,0",40-45 ,"3,7","312,4",30-35,5 669,3-5,45790-45792,
,Антистресс,"Материал: алюминиевый сплав
Размер: диаметр 45мм
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"6,7","570,7",40-45 ,"7,3","619,3",30-35,5 900,3-5,45790-45792,
,Антистресс,"Материал: алюминиевый сплав
Размер: диаметр 40мм
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"7,7","613,8",40-45 ,"7,8","659,4",30-35,5 900,3-5,45790-45792,
,Антистресс,"Материал: алюминиевый сплав
Размер: диаметр 40мм
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"8,8","744,3",40-45 ,"10,0","849,7",30-35,5 929,3-5,45790-45792,
,Антистресс,"Материал: алюминиевый сплав
Размер: диаметр 40мм
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"6,6","559,1",40-45 ,"7,2","613,7",30-35,5 929,3-5,45790-45792,
,Антистресс,"Материал: алюминиевый сплав
Размер: 41*41MM
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"5,8","493,7",40-45 ,"6,2","524,1",30-35,5 374,3-5,45790-45792,
,Антистресс,"Материал:  ABS
Размер: диаметр 36мм
Упаковка: пакет
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"2,9","247,6",40-45 ,"3,3","277,9",30-35,5 900,3-5,45790-45792,
,Антистресс,"Материал:  алюминиевый сплав                                  Размер: диаметр 55мм
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"8,8","751,4",40-45 ,"9,5","803,0",30-35,5 900,3-5,45790-45792,
,Антистресс,"Материал:  нержавеющая сталь                              Размер: диаметр 38, высота 6 мм
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"3,2","275,0",40-45 ,"3,5","296,2",30-35,5 900,3-5,45790-45792,
,Антистресс,"Материал:  нержавеющая сталь                              Размер: диаметр 30, высота 8 мм
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"4,4","374,9",40-45 ,"4,8","407,8",30-35,5 900,3-5,45790-45792,
,Антистресс,"Материал: алюминиевый сплав
Размер: 30*30MM
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"5,5","464,6",40-45 ,"6,0","510,2",30-35,5 900,3-5,45790-45792,
,Антистресс,"Материал: алюминиевый сплав
Размер: 25*37MM 
Упаковка: коробка 
Примечание от фабрики: ", Дизайн:  лого. лазер ,350,"6,8","580,8",40-45 ,"7,2","611,1",30-35,5 900,7,17-19,
,Сквиш ,"Материал: pu
Размер: 63мм 
Упаковка: пакет 
Примечание от фабрики: ", Дизайн:  выкрас+лого,350,"1,8","151,0",45-50,1.92,"163,0",35-40,9 663,5-7,15-17,
,Сквиш ,"Материал: pu
Размер: 5х5 
Упаковка: пакет 
Примечание от фабрики: ", Дизайн:  выкрас+лого,350,"1,8","153,5",45-50,"1.,96","166,8",35-40,9 663,7,15-17,
,Сквиш ,"Материал: pu
Размер: 40 мм 
Упаковка: пакет 
Примечание от фабрики: ", Дизайн:  выкрас+лого,350,"2,0","165,9",45-50,"2,1","179,2",35-40,9 663,7,15-17,
,Сквиш ,"Материал: pu
Размер: 63мм 
Упаковка: пакет 
Примечание от фабрики: "," Дизайн:  стоковые цвета, лого 1 цвет ",350,"2,0","165,6",45-50,"2,2","185,6",35-40,9 663,7,15-17,
,Сквиш  банан  17см,"Материал: pu
Размер: 17 см
Упаковка: пакет 
Примечание от фабрики: "," Дизайн:  выкрас , лого 1 цвет ",350,"1,8","171,5",45-50,"2,0","187,0",35-40,10 050,7,15-17,
,Сквиш  банан  9см,"Материал: pu
Размер: 9 см 
Упаковка: пакет 
Примечание от фабрики: "," Дизайн:  выкрас , лого 1 цвет ",350,"1,3","133,6",45-50,"1,4","138,8",35-40,10 050,7,15-17,
,Антистресс,"Материал: pla пластик 
Размер: три размера на фото 
Упаковка: пакет 
Примечание от фабрики: "," Дизайн:  выкрас , лого 1 цвет ",350,"4,8","456,8",35-40,"5,2","494,5",25-30,8 717,6,15-17,
,Антистресс,"Материал: pla пластик 
Размер: 
Упаковка: пакет 
Примечание от фабрики: "," Дизайн:  выкрас , лого 1 цвет ",350,"2,2","243,0",35-40,"2,6","280,7",25-30,8 717,5,15-17,
,Головоломки ,"Материал: металл 
Размер:  
Упаковка: пластиковая коробочка
Примечание от фабрики: "," Дизайн: сток, можно микс наборов из несколько вариантов ",350 наборов ,"1,5","130,1",35-40,"2,0","167,2",25-30,1 954,3,15-17,
,Кубик,"Материал: пластик 
Размер: 
Упаковка: пластиковая коробочка
Примечание от фабрики: стоковые цвета - золото и серебро, 350шт не выкрашивают ", Дизайн: лого на одной стороне 1 цвет,350,"3,2","318,9",35-40,"3,7","361,9",25-30,6 842,5,15-17,
,Головоломки ,"Материал: металл 
Размер: 
Упаковка: пакет                                                                    Примечание от фабрики:  если есть в наличии, можно сделать микс из моделей, у фабрики нет минималки на данный товар", Дизайн:  сток  ,350,"4,5","381,9",35-40,"5,1","432,8",25-30,1 954,3,15-17,
,Брелок фотоаппарат   с картой 8G,"Материал: пластик 
Размер: 29*29.5*26.5mm
Упаковка: коробка                                                                   Примечание от фабрики:  лого минималка от 20000шт ", Дизайн:  сток  ,350,"9,8","831,3",35-40,"10,0","850,4",25-30,2 056,2,10,
,Брелок фотоаппарат  с картой 8G,"Материал: пластик 
Размер: 40*47*36mm
Упаковка: коробка                                                                   Примечание от фабрики:  лого минималка от 20000шт ", Дизайн:  сток  ,350,"23,3","1977,1",35-40,"23,6","2002,5",25-30,3 183,2,10,
,Таблетница  7 отделений ,"Материал: пластик 
Размер: 11,7х7,3
Упаковка: коробка                                                                   Примечание от фабрики:  ", Дизайн:  лого 1 цвет  ,400,"3,0","269,3",32-37,"3,4","304,0",22-27,7 803,5,10-12,
,Сквиш таблетка,"Материал: pu
Размер: 11*4.2cm
Упаковка: пакет                                                                  Примечание от фабрики: ", Дизайн:  лого 1 цвет  ,500,"1,9","177,1",40-45,"2,0","197,3",30-35,,,,
