,"Менеджер: Тищук Анастасия
Email: tishuk.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.",Образец
 ,Чайная пара,"Материал: костяной фарфор
Упаковка: транспортировочная
Примечание от фабрики: эту деколь ранее не делали,нужен образец 20000 рублей(20 дней на образец+12 дней на доставку)"," Дизайн: цветная деколь,ручка золотая полоса",300,"13,5","1145,8",70-75,"15,2","1293,5",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
,,,,500,"13,0","1104,6",70-75,"14,7","1250,5",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
 ,Чайная пара,"Материал: костяной фарфор
Упаковка: транспортировочная
"," Дизайн: цветная деколь,ручка золотая ",300,"17,4","1475,2",70-75,"19,1","1622,9",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
,,,,500,"16,8","1430,0",70-75,"18,5","1576,0",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
 ,Чайная пара,"Материал: костяной фарфор
Упаковка: транспортировочная
"," Дизайн: цветная деколь,ручка золотая ",300,"16,8","1424,5",70-75,"18,5","1572,3",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
,,,,500,"16,2","1379,9",70-75,"18,0","1525,9",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
 ,Чайная пара,"Материал: костяной фарфор
Упаковка: транспортировочная
"," Дизайн: цветная деколь,ручка золотая ",300,"17,1","1451,0",70-75,"18,9","1609,7",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
,,,,500,"16,5","1406,1",70-75,"18,4","1562,9",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
 ,Чайная пара,"Материал: костяной фарфор
Упаковка: транспортировочная
"," Дизайн: цветная деколь,ручка золотая ",300,"13,5","1145,8",70-75,"15,2","1293,5",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
,,,,500,"13,0","1104,6",70-75,"14,7","1250,5",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
 ,Кофейная пара,"Материал: костяной фарфор
Упаковка: транспортировочная
"," Дизайн: цветная деколь,ручка золотая ",300,"10,3","873,7",70-75,"11,3","960,9",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
,,,,500,"9,8","835,8",70-75,"10,8","921,9",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
 ,Чайная пара,"Материал: костяной фарфор
Упаковка: транспортировочная
"," Дизайн: цветная деколь,ручка золотая ",300,"19,5","1653,7",70-75,"21,3","1812,4",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
,,,,500,"18,9","1606,3",70-75,"20,7","1763,2",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
 ,Чайная пара,"Материал: костяной фарфор
Упаковка: транспортировочная
"," Дизайн: цветная деколь,ручка золотая ",300,"48,3","4103,8",70-75,"53,5","4544,4",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
,,,,500,"47,1","4001,7",70-75,"52,2","4436,9",60-65,"от 12000 до 20000 руб/дизайн
Фото/видео 20 дней
С доставкой - 22-32 дня"
