,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб",Наценка,"Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Кодовый замок,"Материал: алюминиевый корпус + стальные нити в ПВХ оболочке
Размер: диаметр 3 см, толщина веревки 0,3 см
Упаковка: опп пакет
"," Дизайн: печать лого клиента + наклейка для письма маркером на обратной стороне (1*1,5 см)",40000,"1,3","130,9",,75-85 (18000 можно отгрузить к концу апреля),,,,9 000,15,25-27,
,,,,18000,"1,3","137,6",,"60-65 
(обещают 20 дн пр-во)",,,,,,,
,,,Дизайн: сток,18000,"1,5","152,5",,60-65,,,,9 000,15,25-27,
 ,Замок,"Материал: сплав металлов + пластик
Размер: 44*32*11 мм
Цвета: розовый, синий, салатовый, оранжевый, черный, бирюзовый, красный( см доп фото)
Упаковка: опп пакет
Примечание от фабрики: пермаментный маркер должен подойти для покрытия , возможно сделать только 8 разных вариаций ключей ", Дизайн: печать лого в 3 цвета ,40000,"1,3","132,6",,75-85 ,,,,14 000,10,20-22,
,,,Дизайн: сток,18000,"1,2","121,2",,75-85,,,,4 000,3,13-15,
 ,Кодовый замок,"Материал: железо
Размер:  5,7*4*0,8 см
Цвета: розовый, салатовый, голубой
Упаковка: опп пакет
Примечание от фабрики: пермаментный маркер должен подойти для покрытия  ", Дизайн: печать лого (одноцвет),40000,"1,0","107,5",,80-90,,,,16 000,10,20-22,
,,, Дизайн: сток,18000,"1,0","100,7",,65-75,,,,3 500,1,11-13,
 ,Кодовый замок,"Материал: алюминиевый корпус + стальные нити в ПВХ оболочке
Размер: 3,3*4,1 см, толщина веревки 0,25 см
Упаковка: опп пакет
Цвета: черный, белый, желтый, красный, бирюзовый", Дизайн: печать лого клиента + наклейка для письма маркером на обратной стороне,40000,"0,8","84,6",,65-75,,,,7 000,7,17-19,
,,,Дизайн: сток,18000,"0,8","85,7",,65-75,,,,3 500,1,11-13,
 ,Кодовый замок,"Материал: алюминиевый корпус + стальные нити в ПВХ оболочке
Размер: 4 см, толщина веревки 0,3 см 
Упаковка: опп пакет
Цвета: см фото", Дизайн: печать лого клиента + наклейка для письма маркером на обратной стороне (примерно 30*10 мм),40000,"0,8","85,0",,80-85,,,,4 000,7,17-19,
,,,,18000,"1,0","98,11

НАЦЕНКА 1,5",,65-70,,,,,,,
,,,Дизайн: сток,18000,"0,8","77,0",,65-70,,,,3 500,1,11-13,
 ,Кодовый замок,"Материал: цинковый сплав
Размер: 5,6*2,3*1 см, толщина стержня 0,28 см 
Упаковка: опп пакет
Цвета: черный, серебристый, розовый, зеленый, синий, красный", Дизайн: шелкография лого клиента + наклейка для письма маркером на обратной стороне (примерно 8*20 мм),40000,"0,9","91,9","1,6",95-100,"Выкрас в цвет, близкий к пантону ЖД обычное 1,6

0,89","Выкрас в цвет, близкий к пантону  ЖД обычное 1,6

91,87",95-100,4 900,7,17-19,
,,,,18000,"1,0","97,6","1,7",80-85,"Выкрас в цвет, близкий к пантону ЖД обычное 1,7

1,0","Выкрас в цвет, близкий к пантону  ЖД обычное 1,7

97,61",80-85,,,,
,,,Дизайн: сток,18000,"0,8","84,1","1,7",67-72,,,,3 500,1,11-13,
