,"Менеджер: Добрынин Павел
Email: paveld@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,Тарелка,"Материал: керамика
Размер: диаметр - 28 см, высота -2,3 см
Упаковка: заводская коробка

", Дизайн: сток,500,"14,6","1499,1",28-33,"18,9","1946,6",18-23,3 900,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 28 см, высота -2,3 см
Упаковка: заводская коробка

", Дизайн: сток,500,"14,6","1499,1",28-33,"18,9","1946,6",18-23,3 900,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22,5 см, высота -2,5 см
Упаковка: заводская коробка

", Дизайн: сток,500,"10,1","1044,6",28-33,"12,8","1320,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22,5 см, высота -2,5 см
Упаковка: заводская коробка

", Дизайн: сток,500,"10,1","1044,6",28-33,"12,8","1320,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22,5 см, высота -2,5 см
Упаковка: заводская коробка

", Дизайн: сток,500,"10,1","1044,6",28-33,"12,8","1320,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22,5 см, высота -2,5 см
Упаковка: заводская коробка

", Дизайн: сток,500,"10,1","1044,6",28-33,"12,8","1320,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22,5 см, высота -2,5 см
Упаковка: заводская коробка

", Дизайн: сток,500,"10,1","1044,6",28-33,"12,8","1320,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22,5 см, высота -2,5 см
Упаковка: заводская коробка

", Дизайн: сток,500,"10,1","1044,6",28-33,"12,8","1320,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22 см, высота -2 см
Упаковка: заводская коробка

", Дизайн: сток,500,"14,6","1353,9",28-33,"18,9","1758,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22,3 см, высота -2,5 см
Упаковка: заводская коробка

", Дизайн: сток,500,"14,6","1353,9",28-33,"18,9","1758,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22,5 см, высота -2,5 см
Упаковка: заводская коробка

", Дизайн: сток,500,"14,6","1353,9",28-33,"18,9","1758,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22,5 см, высота -2,5 см
Упаковка: заводская коробка

", Дизайн: сток,500,"14,6","1353,9",28-33,"18,9","1758,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 22,5 см, высота -2,5 см
Упаковка: заводская коробка

", Дизайн: сток,500,"14,6","1353,9",28-33,"18,9","1758,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 28,3 см, высота -2,3 см
Упаковка: заводская коробка

", Дизайн: сток,500,"14,6","1353,9",28-33,"18,9","1758,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 27,8 см, высота -2,3 см
Упаковка: заводская коробка

", Дизайн: сток,500,"14,6","1353,9",28-33,"18,9","1758,0",18-23,3 800,2,12-14,
,,,,,,,,,,,,,,
 ,Тарелка,"Материал: керамика
Размер: диаметр - 28 см, высота -2,3 см
Упаковка: заводская коробка

", Дизайн: сток,500,"14,6","1353,9",28-33,"18,9","1758,0",18-23,3 800,2,12-14,
