,"Менеджер: Марковская Злата
Email: zlata@megamind.ru
Телефон: 
",,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,коэффициент,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Ушки лисьи на магнитах по своему дизайну,"Материал: флисовая ткань/фетр, синтепон, магнит (можно вшить в основание ушек)
Размер: стандартный примерно 4,5*5см
Цвета согласно фабричным, наиболее близкие к пантону","2,2",11000,"0,7","69,11 ₽",55-60кд,4 483 ₽,18-20кд,
,Магнит на ножке,"Материал: магнитное железо
Размер: 20*25мм
Максимальное произведение магнитной энергии: 35-50 (КДЖ/м3)
Нанесение: логотип вышивкой на шапку","1,7",11000,"0,9","82,40 ₽",35-40кд,1 809 ₽,17-19кд,
,Ушки на резинке с мехом по своему дизайну,"Материал: пряжа
Размер: стандартный примерно 5*7см с ушами
Цвета согласно фабричным, наиболее близкие к пантону","2,2",11000,"0,8","72,60 ₽",55-60кд,4 483 ₽,18-20кд,
,Балаклава с пуговицей или на завязках по своему дизайну,"Материал: пряжа
Размер: стандартный примерно 15*2,5см
Цвета согласно фабричным, наиболее близкие к пантону","2,2",11000,"1,5","137,83 ₽",50-55кд,3 174 ₽,25-27кд,
,Шапочка Санты,"Материал: байка
Цвета: фабричные красный, желтый, синий, зеленый, фиолетовый

Размеры (на выбор, на цену не влияет): 
Вариант 1: диаметр 2,5 см, высота 8 см
Вариант 2: диаметр 3,5 см, высота 8 см
Вариант 3: диаметр 4,5 см, высота 11 см",,"11100

Размеры 1 и 2
В одном тираже 3 расцветки шапочек.","0,5","41,6",55-60 календарных дней,13 630руб.,"Фото/видео: 10 календарных дней
Доставка до Москвы: 13-15 календарных дней",* Варианты кастомизации сантовских шапочек
,,,,"11100

Размер 3
В одном тираже 3 расцветки шапочек.","0,5","48,5",,,,
,Рога оленя,"Материал: синтепон, мохер
Размер: ~4*5см
Цвет в доп.фото
фабричная форма на выбор
можно вшить магнит в основание","2,2",3700,"0,9","80,0",50-55 календ.дней,4 475руб.,"Фото/видео: 4-5 календ.дней
Доставка: 12-14 калнд.дней",
,,,2,11000,"0,8","73,0",55-60 календ.дней,,,
,Рога оленя,"Материал: синтепон, мохер
Размер: ~4,8*6см
Цвет в доп.фото
фабричная форма 
можно вшить магнит в основание","2,2",3700,"1,2","108,0",50-55 календ.дней,4 475руб.,"Фото/видео: 4-5 календ.дней
Доставка: 12-14 калнд.дней",
,,,2,11000,"1,1","98,0",55-60 календ.дней,,,
,Мини шапочка,"Материал: акрил
Примерный размер: 4*5 см
Цвета согласно фабричным, наиболее близкие к пантону

Наклейка либо магнит",,11100,"1,8","159,5",50-55 календ.дней,7500 руб,22-24 календ.дней,
,Мини шарф,"Материал: акрил
Примерный размер: 4*5 см
Цвета согласно фабричным, наиболее близкие к пантону

Наклейка либо магнит",,11100,"1,8","167,4",50-55 календ.дней,7500 руб,22-24 календ.дней,
,Мини рукавицы,"Материал: акрил
Примерный размер: 4*5 см
Цвета согласно фабричным, наиболее близкие к пантону

Наклейка либо магнит
Цена за комплект из 2 шт",,11100,"2,8","250,8",50-55 календ.дней,7500 руб,22-24 календ.дней,
,Заячьи ушки,"Материал: синтепон, мохер
Размер: ~7- 8 см
Фабричная форма 
Можно вшить магнит в основание","2,2","3700

11100","1,22

1,22","111,05

110,65",55-60 кд,"4 531,10","Фото/видео: 5-7 календ.дней
Доставка: 12-14 калнд.дней",
