,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Рюкзак,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 40 х 12 х  30 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте


", Дизайн: полный кастом по макету клиента,300,"28,5","3139,0",75-80,"31,09","3 357,40",65-70,"8 400,00","Фото 17-21 календ дней

Доставка 10-12 календ дн",
,,,,500,"27,93","3016,55",,"30,48","3291,95",,,,
,,,,1000,"27,48","2967,46",,"30,03","3242,86",,,,
,,,,3000,"26,59","2871,54",,"29,14","3146,94",,,,
 ,Поясная сумка,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 13 х 20 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,300,"9,7","1062,5",75-80,"10,3","1112,15",65-70,"3 800,00","Фото 17-21 календ дней

Доставка 10-12 календ дн",
,,,,500,"9,64","1041,04",,"10,28","1109,89",,,,
,,,,1000,"9,33","1007,74",,"9,97","1076,59",,,,
,,,,3000,"9,03","975,02",,"9,67","1043,87",,,,
 ,Шоппер,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,300,"16,2","1777,7",75-80,"17,59","1 899,70",65-70,"5 000,00","Фото 17-21 календ дней

Доставка 10-12 календ дн",
,,,,500,"15,85","1711,62",,"17,28","1865,84",,,,
,,,,1000,"15,54","1678,32",,"16,97","1832,54",,,,
,,,,3000,"15,24","1645,59",,"16,66","1799,82",,,,
 ,Косметичка,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,300,"8,6","940,7",75-80,"9,13","985,71",65-70,"3 500,00","Фото 17-21 календ дней

Доставка 10-12 календ дн",
,,,,500,"8,24","889,88",,"8,81","951,85",,,,
,,,,1000,"8,17","881,86",,"8,74","943,83",,,,
,,,,3000,"7,77","839,66",,"8,35","901,62",,,,
 ,Кросс-боди сумка,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 36 х 33 х  11,5 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,300,"8,9","979,9",75-80,"9,42","1017,23",65-70,"4 000,00","Фото 17-21 календ дней

Доставка 10-12 календ дн",
,,,,500,"8,6","928,29",,"9,11","983,37",,,,
,,,,1000,"8,52","920,27",,"9,03","975,35",,,,
,,,,3000,"8,13","878,07",,"8,64","933,15",,,,
 ,Чехол для ноутбука,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,300,"16,4","1771,2",75-80,"17,85","1 928,16",65-70,"5 000,00","Фото 17-21 календ дней

Доставка 10-12 календ дн",
,,,,500,"16,09","1737,32",,"17,54","1894,3",,,,
,,,,1000,"15,92","1719,83",,"17,38","1876,8",,,,
,,,,3000,"15,33","1655,5",,"16,78","1812,48",,,,
,Сумка для аккумулятора,,,300,"5,7","610,3",75-80,"5,91","637,83",65-70,"3 000,00","Фото 17-21 календ дней

Доставка 10-12 календ дн",
,,,,500,"5,48","592,22",,"5,74","619,76",,,,
,,,,1000,"5,32","574,73",,"5,58","602,27",,,,
,,,,3000,"5,16","557,8",,"5,42","585,34",,,,
 ,Брелок с металлическим шильдом,"Материал: полиэстер, жаккардовая ткань, металлический сплав
Длина: 18 см
Диаметр шильда: 3 см
Персонализация: эмбоссинг"," Дизайн: выкрас в пантон, эмбоссинг по макету клиента",500,"2,0","216,0",75-80,"2,31","249,48",65-70,"7800 без доставки

15000 с доставкой","Фото 12-15 календ дней

Доставка 10-12 календ дн",
,,,,1000,"1,4","151,2",75-80,"1,3","140,4",65-70,,,
,,,,3000,"1,1","116,6",75-80,"1,03","111,24",65-70,,,
