,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,
Фото,Наименование,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,
,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д."
Хрустальный подсвечник,Хрустальный подсвечник, Дизайн: выкрас по макету клиента,100,,"8311,3",80-90,,,,"23 420,35","Фото 39

Доставка 10-12"
 ,Хрустальная чаша, Дизайн: выкрас по макету клиента,100,,"8694,5",80-90,,,,"25 140,01","Фото 39

Доставка 10-12"
 ,Хрустальная рамка, Дизайн: выкрас в зеленый,104,,"5509,0",80-90,,,,"17 183,40","Фото 39

Доставка 10-12"
,, Дизайн: выкрас в красный,104,,"5892,3",80-90,,,,"17 814,64","Фото 39

Доставка 10-12"
 ,Хрустальная чаша, Дизайн: выкрас в розовый,104,,"7519,0",80-90,,,,"22 391,13","Фото 39

Доставка 10-12"
,, Дизайн: выкрас в фиолетовый,104,,"8285,5",80-90,,,,"24 127,04","Фото 39

Доставка 10-12"
,, Дизайн: выкрас в красный,104,,"8285,5",80-90,,,,"24 127,04","Фото 39

Доставка 10-12"
 ,Хрустальный подсвечник, Дизайн: выкрас в розовый,104,,"6092,3",80-90,,,,"18 687,66","Фото 39

Доставка 10-12"
,, Дизайн: выкрас в фиолетовый,104,,"6475,5",80-90,,,,"19 318,90","Фото 39

Доставка 10-12"
,, Дизайн: выкрас в красный,104,,"6475,5",80-90,,,,"19 318,90","Фото 39

Доставка 10-12"
,, Дизайн: выкрас в зеленый,104,,"5709,0",80-90,,,,"17 425,18","Фото 39

Доставка 10-12"
 ,Хрустальный подсвечник, Дизайн: градиент по макету клиента,104,,"5436,2",80-90,,,,"16 776,08","Фото 39

Доставка 10-12"
