,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Фонарик,"Материал: абс пластик
Размер: 16,5х5,9х34 мм
Упаковка: индивидуальная упаковка
Примечание от фабрики: возможна лазерная гравировка, а также кастом индивидуальной коробки фонарика", Дизайн: сток ,150/300,"43,4","3687,0",30-35,"45,3","3847,2",20-25,5 900,3,13-15,
,,,"Дизайн: лазерная гравировка, кастом индивидуальной коробки ",500,"46,3","3933,4",50-55,"48,2","4093,6",40-45,,,,
 ,Курвиметр,"Материал: абс пластик
Размер: 11,4х2,5х5 см
Упаковка: индивидуальная упаковка
Примечание от фабрики: курвиметр предоставлен в английской версии", Дизайн: сток ,150,"12,8","1090,6",40-45,"13,2","1119,0",30-35,5 800,7,17-19,
,,," Дизайн: лазерное нанесение логотипа, брендирование индивидуальной коробки ",300,"12,8","1085,0",40-45,"13,1","1113,3",30-35,,,,
 ,Дальнометр,"Материал:  абс пластик
Размер: 11,2х2,5х5 см
Упаковка: индивидуальная упаковка
Примечание от фабрики: есть наличие на складе, что ускоряет процесс транспортировки", Дизайн: сток ,150/300,"25,4","2154,7",30-35,"26,3","2233,4",20-25,3 700,3,13-15,
,,, Дизайн: нанесение логотипа на индивидуальную коробку ,2000,"27,1","2299,1",60-65,"28,0","2377,8",45-50,"Фабрика не дает образец, доступен только предтиражник",-,-,
,Водонепоницаемая колонка ,"Материал: пластик 
Размер: 86*42.3*95.3мм
Цвета: чёрный, красный, синий, фиолетовый
Упаковка: заводская цветная коробка
Примечание от фабрики: 
30Гц-15кГц, 300мАч-500мАч, Bluetooth-версия 5.1
Настройка цвета по Пантону от 3000 шт.
Настройка упаковки  от 1000 шт.", Дизайн: сток ,150/500,"21,3","1806,9",35-40,только карго,только карго,только карго,3 400,5,15-17,
,,,,,,,,,,,,,,
 ,Водонепоницаемая колонка ,"Материал: пластик 
Размер: 86*42.3*95.3мм
Цвета: чёрный, красный, синий, фиолетовый
Упаковка: заводская цветная коробка
Примечание от фабрики: 
30Гц-15кГц, 300мАч-500мАч, Bluetooth-версия 5.1
Настройка цвета по Пантону от 3000 шт.
Настройка упаковки  от 1000 шт.", Дизайн: печать лого клиента (свой вид печати на фабрике),150,"21,7","1844,2",40-47,только карго,только карго,только карго,8 500,10,20-22,
,,,,500,"9,4","798,8",,только карго,только карго,,,,,
