,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Бутылка,"Материал: ПП-пластик
Размер: 480 мл
Упаковка: заводская коробка 
Примечание от фабрики: 
Тиснение или печать на поверхности ПУ
Цвета: см. доп. фото
Мин тираж 300 шт.", Дизайн: печать на поверхности,300,"7,3","621,1",45-50,,,,,10,20-22,
,,,,500,"5,9","504,4",,,,,,,,
 ,Коробка,"Материал: гофрированный картон
Размер: 30*21*7 см
Цвет: по макету клиента
Примечание от фабрики: 

После получения точного макета, необходимо будет пересчитать стоимость "," Дизайн: полный кастом по макету клиента, офсетная печать",100,"13,11","1 114,22",45-50,"14,20","1 206,79",35-40,22 800,7,10-12,
,,,,300,"8,32","707,29",,"9,41","799,86",,,,,
,,,,500,"6,74","573,25",,"7,83","665,81",,,,,
,,"Материал: гофрированный картон
Размер: 265*165*50 мм
Цвет: по макету клиента
Примечание от фабрики: 

После получения точного макета, необходимо будет пересчитать стоимость "," Дизайн: полный кастом по макету клиента, офсетная печать",100,"12,08","1 026,62",45-50,"12,95","1 100,67",35-40,20 600,7,10-12,
,,,,300,"7,29","619,69",,"8,16","693,74",,,,,
,,,,500,"5,71","485,65",,"6,58","559,70",,,,,
 ,Набор стикеров (из 5 шт.),"Материал: ПВХ
Размер: примерно 3*3 см
Упаковка: опп 
Примечание от фабрики: 
Объёмные, 3D

Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно"," Дизайн: полный кастом по макету клиента, открытие формы",100,"2,95","250,91",40-45,"3,39","287,93",30-35,6 500,7,10-12,
,,,,300,"2,19","186,25",,"2,63","223,28",,,,,
,,,,500,"1,85","157,52",,"2,29","194,55",,,,,
 ,Тубус,"Материал: картон, металл
Размер: 73х140 мм/ 80х120 мм
Упаковка: опп-пакет
Примечание от фабрики: создание и нанесение по макету клиента, металлическая/картонная крышка", Дизайн: четырехцветная печать CMYK,1000,"2,5","210,1",35-40,"3,1","267,3",25-30,12 000 (1 размер+1 крышка),5,15-17,
,,,,2000,"2,4","203,2",,"3,1","260,5",,,,,
,,,,4000,"2,1","180,9",,"2,8","235,3",,,,,
,,,,8000,"2,0","170,1",,"2,6","224,5",,,,,
,,,,10000,"1,7","147,2",,"2,3","195,9",,,,,
