,"Менеджер: Шубина Дарья
Email: daryashu@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Конструктор

Минимальный тираж на брендирование коробки и инструкции от фабрики - от 3000 шт.","Материал: пластик
Размер: 18*22*8 см
Упаковка: брендированная коробка
Примечание от фабрики: ", Дизайн: брендирование коробки и инструкции по макету клиента,3000,"10,9","949,3",65-70,,,,53 000,12,22-24,
,,,,,,,,,,,,,,
 ,"Конструктор

100 стоковых конструкторов от фабрики и брендирование коробки и инструкции на другой фабрике","Материал: пластик
Размер: 18*22*8 см
Упаковка: брендированная коробка
Примечание от фабрики: ", Дизайн: брендирование коробки и инструкции по макету клиента,100,"111,4","9470,5",55-60,,,,19 500,14,24-26,
,,,,,,,,,,,,,,
 ,Подушка с подогревом,"Материал: плюш
Размер: 45*45 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: термотрансферная печать логотипа,1000,"18,1","1572,9",65-70,,,,11 000,12,22-24,
,,,,,,,,,,,,,,
,Подушка с подогревом,"Материал: плюш
Размер: 45*45 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: тиснение логотипа,1000,"18,7","1622,6",65-70,,,,11 000,12,22-24,
,,,,,,,,,,,,,,
 ,"Беспроводная зарядка-ночник-будильник

Требуется оформление ДС и СС, примерная стоимость 100 тыс. руб., в цену за единицу не включены","Материал: пластик
Размер: 20*6,4*9,75 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: нанесение логотипа на пластиковую часть,400,"21,0","1852,5",45-50,,,,7 000,8,18-20,
,,,,600,"20,3","1796,6",45-50,,,,,,,
 ,"Увлажнитель воздуха

Требуется оформление ДС и СС, примерная стоимость 100 тыс. руб., в цену за единицу не включены","Материал: пластик, полипропелен
Размер: 16*17*21 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: нанесение логотипа,400,"19,2","1694,5",45-50,,,,9 500,8,18-20,
,,,,600,"18,6","1643,3",45-50,,,,,,,
 ,"Ночник-увлажнитель воздуха

Требуется оформление ДС и СС, примерная стоимость 100 тыс. руб., в цену за единицу не включены","Материал: пластик
Размер: 7,9*7,9*16,4
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: нанесение логотипа,400,"8,2","721,0",47-52,,,,10 000,12,22-24,
,,,,600,"8,0","698,5",47-52,,,,,,,
 ,"Ночник-увлажнитель воздуха

Требуется оформление ДС и СС, примерная стоимость 100 тыс. руб., в цену за единицу не включены","Материал: пластик
Размер: 7,6*7,6*11,8
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: нанесение логотипа,400,"4,0","357,2",45-50,,,,10 000,8,18-20,
,,,,600,"3,9","345,3",45-50,,,,,,,
 ,"Массажёр

Требуется оформление ДС и СС, примерная стоимость 100 тыс. руб., в цену за единицу не включены","Материал: АБС пластик
Размер: 18,8*16,7*5,3 см
Упаковка: заводская упаковка
Примечание от фабрики:

Работает от двух батареек
Номинальная мощность: 3 W
Номинальное напряжение: 5 V
Пульсирующая сила: 15 ", Дизайн: нанесение логотипа,600,"6,8","599,4",45-50,,,,6 500,10,20-22,
 ,"Автомобильный очиститель воздуха

Требуется оформление ДС и СС, примерная стоимость 100 тыс. руб., в цену за единицу не включены","Материал: АБС пластик+металл
Размер: 160*65 мм
Упаковка: заводская упаковка
Примечание от фабрики:

Мощность продукта: 2 Вт
Напряжение продукта: DC 5 В
Источник питания: USB-прикуриватель
Принцип очистки: очистка фильтром (HEPA, активированный уголь)
Скорость вращения вентилятора: 3800 об/мин
Применимое пространство: 3-10 кубических метров
Цвета: черный, мокко-золотой
Размер фильтра: диаметр 4 см * высота 6,5 см", Дизайн: нанесение логотипа,600,"23,8","2062,2",55-60,,,,11 000,10,20-22,
 ,"Портативная кофемашина

Требуется оформление ДС и СС, примерная стоимость 100 тыс. руб., в цену за единицу не включены","Материал: пластик АБС
Размер: 75*250 мм
Упаковка: заводская упаковка
Примечание от фабрики:

Емкость резервуара для воды: 80 мл
Мощность: 120~150 Вт
Источник питания: Универсальный автомобильный интерфейс", Дизайн: возможно нанесение логотипа только в 1 цвет,600,"59,2","5096,2",70-75,,,,14 500,12,22-24,
 ,"Робот на солнечной батарее

Требуется оформление СС, примерная стоимость 85 тыс. руб., в цену за единицу не включен","Материал: пластик
Размер: 11*3.5*6 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: нанесение логотипа,3000,"9,1","806,0",55-60,,,,8 000,12,22-24,
