,"Менеджер: Тищук Анастасия
Email: tishuk.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,Елочная игрушка,"Материал: костной фарфор
Размер: 7 см,0.5 см
Упаковка: траспортировочная
Примечание от фабрики: необходимо открытие формы,нужно закладывать доп время и бюджет(столбец ОБРАЗЕЦ) ",цветная двухсторонняя деколь,25000,"4,9","413,5",75-100,"0,0",,65-90,20000 открытие+10000 дизайн,20-25,32-37,
,,,цветная двухсторонняя деколь,3000,"4,8","411,0",75-100,"0,0",,65-91,,,,
,Елочная игрушка,"Материал: костной фарфор
Размер: 10 см 
Упаковка: траспортировочная
Примечание от фабрики: необходимо открытие формы,нужно закладывать доп время и бюджет(столбец ОБРАЗЕЦ) ", Дизайн: белье,17000,"4,1","347,7",85-100,"4,7","403,0",65-90,"20000 рублей открытие фомы+20000 рублей за деколь,",30,40-42,
,,, Дизайн: белье+цветная деколь,17000,"6,0","510,4",85-100,"6,7","565,7",65-90,,,,
,Елочная игрушка,"Материал: костной фарфор
Размер: 10 см 
Упаковка: траспортировочная
Примечание от фабрики: необходимо открытие формы,нужно закладывать доп время и бюджет(столбец ОБРАЗЕЦ) ", Дизайн: белье,7000,"4,6","387,5",70-85,"4,8","410,9",60-75,"20000 рублей открытие фомы+20000 рублей за деколь,",30,40-42,
,,, Дизайн: белье+цветная деколь,7000,"6,7","568,3",70-85,"7,0","591,7",60-75,,,,
,Елочная игрушка,"Материал: костной фарфор
Размер: 10 см 
Упаковка: траспортировочная
Примечание от фабрики: необходимо открытие формы,нужно закладывать доп время и бюджет(столбец ОБРАЗЕЦ) ", Дизайн: белье,7000,"4,6","387,5",70-85,"4,8","410,9",60-75,"20000 рублей открытие фомы+20000 рублей за деколь,",30,40-42,
,,, Дизайн: белье+цветная деколь,7000,"6,7","568,3",70-85,"7,0","591,7",60-75,,,,
,"Елочная игрушка
ПЛОСКАЯ","Материал: костной фарфор
Размер: 10 см,толщина до 1см
Упаковка: траспортировочная
Примечание от фабрики: необходимо открытие формы,нужно закладывать доп время и бюджет(столбец ОБРАЗЕЦ) ", Дизайн: белье,17000,"3,7","316,7",85-100,"4,3","364,1",65-90,"20000 рублей открытие фомы+20000 рублей за деколь,",30,40-42,
,,, Дизайн: белье+цветная деколь,17000,"5,0","421,0",85-100,"5,5","468,4",65-90,,,,
 ,"Елочная игрушка
ПЛОСКАЯ","Материал: костной фарфор
Размер: 10 см,толщина до 1см
Упаковка: траспортировочная
Примечание от фабрики: необходимо открытие формы,нужно закладывать доп время и бюджет(столбец ОБРАЗЕЦ) ", Дизайн: белье,7000,"4,0","340,8",70-85,"4,2","359,4",60-75,"20000 рублей открытие фомы+20000 рублей за деколь,
",30,40-42,
,,, Дизайн: белье+цветная деколь,7000,"5,4","462,1",70-85,"5,7","480,7",60-75,,,,
 ,"Елочная игрушка
ПЛОСКАЯ","Материал: костной фарфор
Размер: 10 см,толщина до 1см
Упаковка: траспортировочная
Примечание от фабрики: необходимо открытие формы,нужно закладывать доп время и бюджет(столбец ОБРАЗЕЦ) ", Дизайн: белье,7000,"4,0","340,8",70-85,"4,2","359,4",60-75,"20000 рублей открытие фомы+20000 рублей за деколь,
",30,40-42,
,,, Дизайн: белье+цветная деколь,7000,"5,4","462,1",70-85,"5,7","480,7",60-75,,,,
,"Елочная игрушка
ДУТАЯ","Материал: костной фарфор
Размер: 10 см х 1,5см
Упаковка: траспортировочная
Примечание от фабрики: необходимо открытие формы,нужно закладывать доп время и бюджет(столбец ОБРАЗЕЦ) ", Дизайн: белье,17000,"4,1","347,7",85-100,"4,7","403,0",65-90,"20000 рублей открытие фомы+20000 рублей за деколь,",30,40-42,
,,, Дизайн: белье+цветная деколь,17000,"6,0","510,4",85-100,"6,7","565,7",65-90,,,,
 ,"Елочная игрушка
ДУТАЯ","Материал: костной фарфор
Размер: 10 см х 1,5см
Упаковка: траспортировочная
Примечание от фабрики: необходимо открытие формы,нужно закладывать доп время и бюджет(столбец ОБРАЗЕЦ) ", Дизайн: белье,7000,"4,6","387,5",70-85,"4,8","410,9",60-75,"20000 рублей открытие фомы+20000 рублей за деколь,
",30,40-42,
,,, Дизайн: белье+цветная деколь,7000,"6,7","568,3",70-85,"7,0","591,7",60-75,,,,
 ,"Елочная игрушка
ДУТАЯ","Материал: костной фарфор
Размер: 10 см х 1,5см
Упаковка: траспортировочная
Примечание от фабрики: необходимо открытие формы,нужно закладывать доп время и бюджет(столбец ОБРАЗЕЦ) ", Дизайн: белье,7000,"4,6","387,5",70-85,"4,8","410,9",60-75,"20000 рублей открытие фомы+20000 рублей за деколь,
",30,40-42,
,,, Дизайн: белье+цветная деколь,7000,"6,7","568,3",70-85,"7,0","591,7",60-75,,,,
 ,Полусфера,"Материал: костной фарфор
Размер: 10 см 
Упаковка: траспортировочная
Примечание от фабрики:  деколь на плоской части полусферы", Дизайн: белье,17000,"3,7","317,1",85-100,"5,0","425,8",65-90,20000 рублей,20,30-32,
,,, Дизайн: белье+цветная деколь,17000,"5,5","469,9",85-100,"6,9","588,5",65-90,,,,
,Полусфера,"Материал: костной фарфор
Размер: 10 см 
Упаковка: траспортировочная
Примечание от фабрики:  деколь на плоской части полусферы", Дизайн: белье,7000,"3,8","324,5",70-85,"5,1","433,7",60-75,20000 рублей,20,30-32,
,,, Дизайн: белье+цветная деколь,7000,"5,8","494,3",70-85,"7,2","614,4",60-75,,,,
 ,Полусфера,"Материал: костной фарфор
Размер: 10 см 
Упаковка: траспортировочная
Примечание от фабрики:  деколь на плоской части полусферы", Дизайн: белье,7000,"3,8","324,5",70-85,"5,1","433,7",60-75,20000 рублей,,10-12,
,,, Дизайн: белье+цветная деколь,7000,"5,8","494,3",70-85,"7,2","614,4",60-75,,,,
 ,Медальон,"Материал: костной фарфор
Размер: 8-10 см,толщина 1 см
Упаковка: траспортировочная
Примечание от фабрики:  деколь на плоской части полусферы
", Дизайн: цветная деколь без золота,800,"6,5","554,2",70-85,"6,7","572,9",60-75,20000 рублей,,10-12,
 ,Полусфера,"Материал: костной фарфор
Размер: 6.5 см 
Упаковка: траспортировочная
Примечание от фабрики:  деколь на плоской части полусферы", Дизайн: цветная деколь без золота,800,"7,1","601,4",70-85,"7,5","641,2",60-75,20000 рублей,,10-12,
