,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Полароид,"Материал: пластик, электронные компоненты
Размер: примерно 15*12*7 см
Упаковка: заводская коробка
Примечание от фабрики: 
В наборе: пленка для полароида(5 или 10 шт.), чехол, батарейки, ремешок, инструкция к использованию (русский язык)
Подходит как пленка Fuji, так и Instax
Технические характеристики:
Несколько режимов съемки
Размер карточки для фото: 4*6 см
Доп. кастом:
1. Ремешок по макету клиента, маериал обсуждается
2. Чехол из плотного прозрачного пластика по форме фотоаппарата"," Дизайн: 
1. Кастом цвета полароида (цвет любой детали), выкрас в пантон клиента
2. Запечатка прозрачного чехла по макету клиента, шелкография
3. Печать лого шелкография на корпусе фотоаппарата
4. Кастомный ремешок в комплекте (печать на ремешке, отвяз по цвету, близкому к пантону клиента)
5. Кастом заводской коробки при необходимости
6. Возможен кастом корпуса (отлив по макету клиента, вдавленная/выпуклая буква или лого)",8000,"139,53","12 557,51",85-90,"142,58","12 831,94",75-80,17 500,20,30-32,
,,,,200,"161,16","14 504,09 ₽",75-80,,,,,,,
 ,Полароид,"Материал: пластик, электронные компоненты
Размер: примерно 15*12*7 см
Упаковка: заводская коробка
Примечание от фабрики: 
В наборе: пленка для полароида(5 или 10 шт.), чехол, батарейки, ремешок, инструкция к использованию (русский язык)
Подходит как пленка Fuji, так и Instax
Технические характеристики:
Несколько режимов съемки
Размер карточки для фото: 4*6 см
Доп. кастом:
1. Ремешок по макету клиента, маериал обсуждается
2. Чехол из плотного прозрачного пластика по форме фотоаппарата"," Дизайн: 
1. Кастом цвета полароида (цвет любой детали), выкрас в пантон клиента
2. Запечатка прозрачного чехла по макету клиента, шелкография
3. Печать лого шелкография на корпусе фотоаппарата
4. Кастомный ремешок в комплекте (печать на ремешке, отвяз по цвету, близкому к пантону клиента)
5. Кастом заводской коробки при необходимости
6. Возможен кастом корпуса (отлив по макету клиента, вдавленная/выпуклая буква или лого)",8000,"140,40","12 635,77",85-90,"143,45","12 910,19",75-80,17 500,20,30-32,
,,,,200,"161,81","14 562,94",75-80,,,,,,,
 ,Полароид,"Материал: пластик, электронные компоненты
Размер: примерно 15*12*7 см
Упаковка: заводская коробка
Примечание от фабрики: 
В наборе: пленка для полароида(5 или 10 шт.), чехол, батарейки, ремешок, инструкция к использованию (русский язык)
Подходит как пленка Fuji, так и Instax
Технические характеристики:
Несколько режимов съемки
Размер карточки для фото: 4*6 см
Доп. кастом:
1. Ремешок по макету клиента, маериал обсуждается
2. Чехол из плотного прозрачного пластика по форме фотоаппарата"," Дизайн: 
1. Кастом цвета полароида (цвет любой детали), выкрас в пантон клиента
2. Запечатка прозрачного чехла по макету клиента, шелкография
3. Печать лого шелкография на корпусе фотоаппарата
4. Кастомный ремешок в комплекте (печать на ремешке, отвяз по цвету, близкому к пантону клиента)
5. Кастом заводской коробки при необходимости
6. Возможен кастом корпуса (отлив по макету клиента, вдавленная/выпуклая буква или лого)",8000,"141,02","12 691,52",85-90,"144,07","12 965,95",75-80,17 500,20,30-32,
,,,,200,"162,46","14 621,79",75-80,,,,,,,
 ,Полароид,"Материал: пластик, электронные компоненты
Размер: примерно 15*12*7 см
Упаковка: заводская коробка
Примечание от фабрики: 
В наборе: пленка для полароида(5 или 10 шт.), чехол, батарейки, ремешок, инструкция к использованию (русский язык)
Подходит как пленка Fuji, так и Instax
Технические характеристики:
Несколько режимов съемки
Размер карточки для фото: 4*6 см
Доп. кастом:
1. Ремешок по макету клиента, маериал обсуждается
2. Чехол из плотного прозрачного пластика по форме фотоаппарата"," Дизайн: 
1. Кастом цвета полароида (цвет любой детали), выкрас в пантон клиента
2. Запечатка прозрачного чехла по макету клиента, шелкография
3. Печать лого шелкография на корпусе фотоаппарата
4. Кастомный ремешок в комплекте (печать на ремешке, отвяз по цвету, близкому к пантону клиента)
5. Кастом заводской коробки при необходимости
6. Возможен кастом корпуса (отлив по макету клиента, вдавленная/выпуклая буква или лого)",8000,"139,47","12 552,13",85-90,"142,52","12 826,56",75-80,17 500,20,30-32,
