,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Декантер,"Материал: стекло
Размер: 27*8,5см
Упаковка: заводская коробка", Дизайн: возможно нанесение лого от большего тиража,200,"12,8","1230,0",50-55 календ. дн.,,,,"8 900,00","Фото/видео 3-4 календ.дня
Доставка 12-14 календ.дня",
,,,,,,,,,,,,,
 ,Декантер,"Материал: стекло
Размер: 1500мл
Упаковка: заводская коробка", Дизайн: возможно нанесение лого от большего тиража,150,"10,3","998,02 ₽",50-55 календ. дн.,,,,"2 800,00","Фото/видео 3-4 календ.дня
Доставка 12-14 календ.дня",
,,,,,,,,,,,,,
 ,Декантер,"Материал: стекло
Размер: 1500мл
Упаковка: заводская коробка", Дизайн: возможно нанесение лого от большего тиража,150,"15,9","1 509,38 ₽",50-55 календ. дн.,,,,"3 000,00","Фото/видео 3-4 календ.дня
Доставка 12-14 календ.дня",
,,,,,,,,,,,,,
 ,Декантер,"Материал: стекло
Размер: 1500мл
Упаковка: заводская коробка", Дизайн: возможно нанесение лого от большего тиража,150,"15,8","1 498,62 ₽",50-55 календ. дн.,,,,"3 000,00","Фото/видео 3-4 календ.дня
Доставка 12-14 календ.дня",
,,,,,,,,,,,,,
 ,Плед,"Материал: хлопок
Размер: 1,5*2 м
Примечание от фабрики: ремень-держатель из экокожи"," Дизайн: возможно нанесение лого на пледе, тиснение лого на ручке",150,"35,0","3350,0",50-55 календ. дн.,,,,"15 000,00","Фото/видео 14 календ.дня
Доставка 10-12 календ.дня",
,,,,,,,,,,,,,
 ,Плед,"Материал: полиэстер
Размер: 140*180 см
Примечание от фабрики: водонепроницаемый", Дизайн: жаккардовая бирка,200,"33,7","3079,2",30-35 календ. дн.,,,,"12 000,00","Фото/видео 14 календ.дня
Доставка 12-14 календ.дня",
,,,,,,,,,,,,,
,Электрический штопор,"Материал: нержавеющая сталь 201 (корпус + штопор)
Размер: 187*43 мм
Упаковка: фабричная коробка

В комплект входит провод для зарядки USB A - USB C, инструмент для снятия фольгированной пленки
Открывает бутылку примерно за 6 сек", Дизайн: гравировка лого клиента на штопоре. Без возможности кастома коробки (от 2000шт.),150,"26,3","2 412,63 ₽",50-55,,,,"8 500,00","Фото 7

Доставка 10-12",
,Инструменты для вина,"Материал: нержавеющая сталь 201 (корпус + штопор)
Размер: 160*140*30 мм
Упаковка: фабричная коробка

В комплект входит мультитул для вина, многоразовая пробка, каплеуловитель", Дизайн: нанесение лого на коробку,200,"9,9","907,5",45-50,,,,"4 500,00","Фото 7

Доставка 10-12",
,Пробка для вина,"Материал: цинковый сплав
Цвет: фабричный металлик (розовое золото, серебро, металл, медь)
"," Дизайн: своя форма от 500шт, в других случаях из наличия",200,"6,4","586,5",45-50,,,,"2 900,00","Фото 1

Доставка 10-12",
,Доска для сервировки закусок,"Материал: дерево
Размер: 20 см
Вес: 800 гр

С наборами в комплекте", Дизайн: гравировка лого клиента,200,"14,2","1300,0",40-45,,,,5 800,"Фото 7

Доставка 10-12",
,Аэратор для вина,"Материал: стекло, пластик
Размер: 10 см

Насадка-аэратор позволяет насыщать вино кислородом и раскрывать его вкус
", Дизайн: сток,200,"2,4","220,0",35-40,,,,"3 500,00",Фото 1 Доставка 10-12,
,Термос для вина,"Материал: нержавеющая сталь
Размер: 350*80 мм

Сохраняет холод до 12 часов", Дизайн: сток,,"24,4","2250,0",45-50,,,,уточняется по запросу,уточняется по запросу,
